iso3,country_id,year,value,status,download_date,notes
AFG,afghanistan,1978,24.6,available,2026-03-03,
AFG,afghanistan,1979,49.899,available,2026-03-03,
AFG,afghanistan,2008,63.266,available,2026-03-03,
AFG,afghanistan,2012,46.956,available,2026-03-03,
AFG,afghanistan,2014,51.725,available,2026-03-03,
AFG,afghanistan,2017,47.305,available,2026-03-03,
AFG,afghanistan,2020,41.579,available,2026-03-03,
AFG,afghanistan,2021,49.73,available,2026-03-03,
ARM,armenia,1997,61.524,available,2026-03-03,
ARM,armenia,2000,38.055,available,2026-03-03,
ARM,armenia,2001,64.861,available,2026-03-03,
ARM,armenia,2007,52.696,available,2026-03-03,
ARM,armenia,2008,55.895,available,2026-03-03,
ARM,armenia,2009,59.2,available,2026-03-03,
ARM,armenia,2010,61.2,available,2026-03-03,
ARM,armenia,2011,61.959,available,2026-03-03,
ARM,armenia,2012,62.814,available,2026-03-03,
ARM,armenia,2013,62.785,available,2026-03-03,
ARM,armenia,2014,63.021,available,2026-03-03,
ARM,armenia,2015,62.292,available,2026-03-03,
ARM,armenia,2016,60.719,available,2026-03-03,
ARM,armenia,2017,60.82,available,2026-03-03,
ARM,armenia,2018,67.17,available,2026-03-03,
ARM,armenia,2019,63.704,available,2026-03-03,
ARM,armenia,2020,66.953,available,2026-03-03,
ARM,armenia,2021,67.472,available,2026-03-03,
ARM,armenia,2022,63.297,available,2026-03-03,
ARM,armenia,2023,65.294,available,2026-03-03,
BFA,burkina_faso,1975,45.8,available,2026-03-03,
BFA,burkina_faso,1985,82.816,available,2026-03-03,
BFA,burkina_faso,1991,83.925,available,2026-03-03,
BFA,burkina_faso,1994,78.7,available,2026-03-03,
BFA,burkina_faso,2005,89.1,available,2026-03-03,
BFA,burkina_faso,2006,71.628,available,2026-03-03,
BFA,burkina_faso,2007,87.3,available,2026-03-03,
BFA,burkina_faso,2014,65.624,available,2026-03-03,
BFA,burkina_faso,2018,44.893,available,2026-03-03,
BFA,burkina_faso,2019,77.618,available,2026-03-03,
BFA,burkina_faso,2022,72.337,available,2026-03-03,
BFA,burkina_faso,2023,47.453,available,2026-03-03,
BFA,burkina_faso,2024,70.062,available,2026-03-03,
CAF,car,1975,61.483,available,2026-03-03,
CAF,car,1988,77.721,available,2026-03-03,
CIV,cote_divoire,1964,81.418,available,2026-03-03,
CIV,cote_divoire,1970,57.2,available,2026-03-03,
CIV,cote_divoire,1975,69.4,available,2026-03-03,
CIV,cote_divoire,1978,77.68,available,2026-03-03,
CIV,cote_divoire,1988,65.906,available,2026-03-03,
CIV,cote_divoire,1995,46.3,available,2026-03-03,
CIV,cote_divoire,1998,63.913,available,2026-03-03,
CIV,cote_divoire,2012,67.269,available,2026-03-03,
CIV,cote_divoire,2013,75.348,available,2026-03-03,
CIV,cote_divoire,2016,66.829,available,2026-03-03,
CIV,cote_divoire,2017,56.062,available,2026-03-03,
CIV,cote_divoire,2019,64.684,available,2026-03-03,
CIV,cote_divoire,2022,67.149,available,2026-03-03,
COD,drc,1957,81.7,available,2026-03-03,
COD,drc,2005,72.581,available,2026-03-03,
COD,drc,2012,66.025,available,2026-03-03,
COD,drc,2016,63.51,available,2026-03-03,
COD,drc,2020,63.44,available,2026-03-03,
DZA,algeria,1954,63.11,available,2026-03-03,
DZA,algeria,1966,40.675,available,2026-03-03,
DZA,algeria,1975,41.204,available,2026-03-03,
DZA,algeria,1977,36.713,available,2026-03-03,
DZA,algeria,1980,20.031,available,2026-03-03,
DZA,algeria,1983,17.99,available,2026-03-03,
DZA,algeria,1984,36.43,available,2026-03-03,
DZA,algeria,1985,38.083,available,2026-03-03,
DZA,algeria,1987,42.144,available,2026-03-03,
DZA,algeria,1996,44.92,available,2026-03-03,
DZA,algeria,1997,27.52,available,2026-03-03,
DZA,algeria,2000,27.016,available,2026-03-03,
DZA,algeria,2001,27.787,available,2026-03-03,
DZA,algeria,2008,41.7,available,2026-03-03,
DZA,algeria,2009,41.4,available,2026-03-03,
DZA,algeria,2010,41.7,available,2026-03-03,
DZA,algeria,2011,40.154,available,2026-03-03,
DZA,algeria,2012,42.0,available,2026-03-03,
DZA,algeria,2013,43.2,available,2026-03-03,
DZA,algeria,2014,40.738,available,2026-03-03,
