iso3,country_id,year,value,status,download_date,notes
AFG,afghanistan,2008,7486.564,available,2026-03-03,
AFG,afghanistan,2012,6419.616,available,2026-03-03,
AFG,afghanistan,2014,7003.038,available,2026-03-03,
AFG,afghanistan,2017,6396.534,available,2026-03-03,
AFG,afghanistan,2020,6078.509,available,2026-03-03,
AFG,afghanistan,2021,7679.474,available,2026-03-03,
ARM,armenia,2000,1277.7,available,2026-03-03,
ARM,armenia,2001,1035.19,available,2026-03-03,
ARM,armenia,2002,1106.4,available,2026-03-03,
ARM,armenia,2007,1188.5,available,2026-03-03,
ARM,armenia,2008,1007.818,available,2026-03-03,
ARM,armenia,2009,1089.856,available,2026-03-03,
ARM,armenia,2010,1146.586,available,2026-03-03,
ARM,armenia,2011,1137.93,available,2026-03-03,
ARM,armenia,2012,1153.762,available,2026-03-03,
ARM,armenia,2013,1128.947,available,2026-03-03,
ARM,armenia,2014,1133.541,available,2026-03-03,
ARM,armenia,2015,1072.642,available,2026-03-03,
ARM,armenia,2016,1006.153,available,2026-03-03,
ARM,armenia,2017,1011.724,available,2026-03-03,
ARM,armenia,2018,1192.04,available,2026-03-03,
ARM,armenia,2019,1151.749,available,2026-03-03,
ARM,armenia,2020,1236.519,available,2026-03-03,
ARM,armenia,2021,1178.565,available,2026-03-03,
ARM,armenia,2022,1174.786,available,2026-03-03,
ARM,armenia,2023,1220.141,available,2026-03-03,
BFA,burkina_faso,1985,4017.788,available,2026-03-03,
BFA,burkina_faso,1994,4651.319,available,2026-03-03,
BFA,burkina_faso,1998,5882.96,available,2026-03-03,
BFA,burkina_faso,2003,5077.926,available,2026-03-03,
BFA,burkina_faso,2005,5169.139,available,2026-03-03,
BFA,burkina_faso,2006,5281.44,available,2026-03-03,
BFA,burkina_faso,2007,5242.495,available,2026-03-03,
BFA,burkina_faso,2014,5546.694,available,2026-03-03,
BFA,burkina_faso,2018,4306.498,available,2026-03-03,
BFA,burkina_faso,2019,8137.448,available,2026-03-03,
BFA,burkina_faso,2022,8045.982,available,2026-03-03,
BFA,burkina_faso,2023,5291.726,available,2026-03-03,
BFA,burkina_faso,2024,7877.546,available,2026-03-03,
CAF,car,2003,1162.024,available,2026-03-03,
CIV,cote_divoire,1992,4620.0,available,2026-03-03,
CIV,cote_divoire,1995,6302.0,available,2026-03-03,
CIV,cote_divoire,1998,5551.09,available,2026-03-03,
CIV,cote_divoire,2012,4642.227,available,2026-03-03,
CIV,cote_divoire,2013,9005.77,available,2026-03-03,
CIV,cote_divoire,2016,9476.327,available,2026-03-03,
CIV,cote_divoire,2017,7704.281,available,2026-03-03,
CIV,cote_divoire,2019,9142.071,available,2026-03-03,
CIV,cote_divoire,2022,11585.724,available,2026-03-03,
COD,drc,2005,19117.764,available,2026-03-03,
COD,drc,2012,27405.284,available,2026-03-03,
COD,drc,2016,39271.723,available,2026-03-03,
COD,drc,2020,31084.768,available,2026-03-03,
DZA,algeria,1971,2005.0,available,2026-03-03,
DZA,algeria,1972,2016.8,available,2026-03-03,
DZA,algeria,1973,2019.0,available,2026-03-03,
DZA,algeria,1974,2082.0,available,2026-03-03,
DZA,algeria,1975,2217.0,available,2026-03-03,
DZA,algeria,1976,2342.464,available,2026-03-03,
DZA,algeria,1977,2336.971,available,2026-03-03,
DZA,algeria,1978,2780.0,available,2026-03-03,
DZA,algeria,1979,3016.678,available,2026-03-03,
