iso3,country_id,year,value,status,download_date,notes
AFG,afghanistan,2014,35.058,available,2026-03-03,
AFG,afghanistan,2017,42.84,available,2026-03-03,
AFG,afghanistan,2020,53.764,available,2026-03-03,
AFG,afghanistan,2021,43.769,available,2026-03-03,
ARM,armenia,2001,37.889,available,2026-03-03,
ARM,armenia,2007,38.668,available,2026-03-03,
ARM,armenia,2008,38.141,available,2026-03-03,
ARM,armenia,2009,38.544,available,2026-03-03,
ARM,armenia,2010,38.292,available,2026-03-03,
ARM,armenia,2011,37.223,available,2026-03-03,
ARM,armenia,2012,34.62,available,2026-03-03,
ARM,armenia,2013,34.889,available,2026-03-03,
ARM,armenia,2014,38.032,available,2026-03-03,
ARM,armenia,2015,35.56,available,2026-03-03,
ARM,armenia,2016,36.584,available,2026-03-03,
ARM,armenia,2017,36.586,available,2026-03-03,
ARM,armenia,2018,24.746,available,2026-03-03,
ARM,armenia,2019,25.461,available,2026-03-03,
ARM,armenia,2020,25.984,available,2026-03-03,
ARM,armenia,2021,21.892,available,2026-03-03,
ARM,armenia,2022,24.533,available,2026-03-03,
ARM,armenia,2023,20.177,available,2026-03-03,
BFA,burkina_faso,2006,22.693,available,2026-03-03,
BFA,burkina_faso,2018,41.004,available,2026-03-03,
BFA,burkina_faso,2019,13.358,available,2026-03-03,
BFA,burkina_faso,2022,18.528,available,2026-03-03,
BFA,burkina_faso,2023,34.25,available,2026-03-03,
BFA,burkina_faso,2024,21.634,available,2026-03-03,
CIV,cote_divoire,2012,22.756,available,2026-03-03,
CIV,cote_divoire,2013,17.511,available,2026-03-03,
CIV,cote_divoire,2016,25.759,available,2026-03-03,
CIV,cote_divoire,2017,34.827,available,2026-03-03,
CIV,cote_divoire,2019,21.917,available,2026-03-03,
CIV,cote_divoire,2022,18.834,available,2026-03-03,
COD,drc,2005,18.459,available,2026-03-03,
COD,drc,2012,21.36,available,2026-03-03,
COD,drc,2020,31.372,available,2026-03-03,
EGY,egypt,2008,29.664,available,2026-03-03,
EGY,egypt,2009,29.895,available,2026-03-03,
EGY,egypt,2010,33.084,available,2026-03-03,
EGY,egypt,2011,32.099,available,2026-03-03,
EGY,egypt,2012,31.553,available,2026-03-03,
EGY,egypt,2013,28.396,available,2026-03-03,
EGY,egypt,2014,26.28,available,2026-03-03,
EGY,egypt,2015,27.605,available,2026-03-03,
EGY,egypt,2016,27.61,available,2026-03-03,
EGY,egypt,2017,26.903,available,2026-03-03,
EGY,egypt,2018,27.095,available,2026-03-03,
EGY,egypt,2019,27.959,available,2026-03-03,
EGY,egypt,2020,30.156,available,2026-03-03,
EGY,egypt,2021,28.743,available,2026-03-03,
EGY,egypt,2022,26.92,available,2026-03-03,
EGY,egypt,2023,24.567,available,2026-03-03,
EGY,egypt,2024,23.776,available,2026-03-03,
ETH,ethiopia,2013,10.482,available,2026-03-03,
ETH,ethiopia,2021,17.529,available,2026-03-03,
GEO,georgia,2012,32.562,available,2026-03-03,
GEO,georgia,2013,30.954,available,2026-03-03,
GEO,georgia,2014,28.772,available,2026-03-03,
GEO,georgia,2015,27.436,available,2026-03-03,
GEO,georgia,2016,26.815,available,2026-03-03,
GEO,georgia,2017,24.758,available,2026-03-03,
