iso3,country_id,year,value,status,download_date,notes
AFG,afghanistan,2008,191.528,available,2026-03-03,
AFG,afghanistan,2012,110.484,available,2026-03-03,
AFG,afghanistan,2014,601.892,available,2026-03-03,
AFG,afghanistan,2017,805.443,available,2026-03-03,
AFG,afghanistan,2020,806.194,available,2026-03-03,
AFG,afghanistan,2021,462.411,available,2026-03-03,
ARM,armenia,1992,56.3,available,2026-03-03,
ARM,armenia,1993,102.6,available,2026-03-03,
ARM,armenia,1994,91.8,available,2026-03-03,
ARM,armenia,1995,131.7,available,2026-03-03,
ARM,armenia,1996,159.3,available,2026-03-03,
ARM,armenia,1997,174.4,available,2026-03-03,
ARM,armenia,1998,133.8,available,2026-03-03,
ARM,armenia,1999,175.0,available,2026-03-03,
ARM,armenia,2000,169.5,available,2026-03-03,
ARM,armenia,2001,581.38,available,2026-03-03,
ARM,armenia,2002,133.7,available,2026-03-03,
ARM,armenia,2003,118.6,available,2026-03-03,
ARM,armenia,2004,108.6,available,2026-03-03,
ARM,armenia,2005,89.0,available,2026-03-03,
ARM,armenia,2006,84.6,available,2026-03-03,
ARM,armenia,2007,470.8,available,2026-03-03,
ARM,armenia,2008,300.592,available,2026-03-03,
ARM,armenia,2009,260.57,available,2026-03-03,
ARM,armenia,2010,278.152,available,2026-03-03,
ARM,armenia,2011,264.907,available,2026-03-03,
ARM,armenia,2012,244.928,available,2026-03-03,
ARM,armenia,2013,224.313,available,2026-03-03,
ARM,armenia,2014,240.423,available,2026-03-03,
ARM,armenia,2015,239.635,available,2026-03-03,
ARM,armenia,2016,215.161,available,2026-03-03,
ARM,armenia,2017,217.656,available,2026-03-03,
ARM,armenia,2018,141.168,available,2026-03-03,
ARM,armenia,2019,125.044,available,2026-03-03,
ARM,armenia,2020,108.329,available,2026-03-03,
ARM,armenia,2021,108.329,available,2026-03-03,
ARM,armenia,2022,105.802,available,2026-03-03,
ARM,armenia,2023,110.41,available,2026-03-03,
BFA,burkina_faso,1985,42.662,available,2026-03-03,
BFA,burkina_faso,1994,123.379,available,2026-03-03,
BFA,burkina_faso,1998,147.362,available,2026-03-03,
