iso3,country_id,year,value,status,download_date,notes
AFG,afghanistan,2008,2.494,available,2026-03-03,
AFG,afghanistan,2012,1.692,available,2026-03-03,
AFG,afghanistan,2014,7.915,available,2026-03-03,
AFG,afghanistan,2017,11.184,available,2026-03-03,
AFG,afghanistan,2020,11.71,available,2026-03-03,
AFG,afghanistan,2021,5.679,available,2026-03-03,
ARM,armenia,1992,1.8,available,2026-03-03,
ARM,armenia,1993,5.3,available,2026-03-03,
ARM,armenia,1994,6.6,available,2026-03-03,
ARM,armenia,1995,6.7,available,2026-03-03,
ARM,armenia,1996,9.3,available,2026-03-03,
ARM,armenia,1997,10.8,available,2026-03-03,
ARM,armenia,1998,9.4,available,2026-03-03,
ARM,armenia,1999,11.2,available,2026-03-03,
ARM,armenia,2000,11.712,available,2026-03-03,
ARM,armenia,2001,35.964,available,2026-03-03,
ARM,armenia,2002,10.781,available,2026-03-03,
ARM,armenia,2007,28.373,available,2026-03-03,
ARM,armenia,2008,22.974,available,2026-03-03,
ARM,armenia,2009,19.295,available,2026-03-03,
ARM,armenia,2010,19.523,available,2026-03-03,
ARM,armenia,2011,18.884,available,2026-03-03,
ARM,armenia,2012,17.511,available,2026-03-03,
ARM,armenia,2013,16.576,available,2026-03-03,
ARM,armenia,2014,17.498,available,2026-03-03,
ARM,armenia,2015,18.261,available,2026-03-03,
ARM,armenia,2016,17.617,available,2026-03-03,
ARM,armenia,2017,17.704,available,2026-03-03,
ARM,armenia,2018,10.589,available,2026-03-03,
ARM,armenia,2019,9.794,available,2026-03-03,
ARM,armenia,2020,8.055,available,2026-03-03,
ARM,armenia,2021,8.418,available,2026-03-03,
ARM,armenia,2022,8.262,available,2026-03-03,
ARM,armenia,2023,8.298,available,2026-03-03,
BFA,burkina_faso,1985,1.3,available,2026-03-03,
BFA,burkina_faso,1994,2.6,available,2026-03-03,
BFA,burkina_faso,1998,2.5,available,2026-03-03,
BFA,burkina_faso,2003,2.777,available,2026-03-03,
BFA,burkina_faso,2005,4.0,available,2026-03-03,
BFA,burkina_faso,2006,2.353,available,2026-03-03,
BFA,burkina_faso,2007,3.3,available,2026-03-03,
BFA,burkina_faso,2014,6.481,available,2026-03-03,
BFA,burkina_faso,2018,4.695,available,2026-03-03,
BFA,burkina_faso,2019,1.56,available,2026-03-03,
BFA,burkina_faso,2022,1.927,available,2026-03-03,
BFA,burkina_faso,2023,5.348,available,2026-03-03,
BFA,burkina_faso,2024,3.441,available,2026-03-03,
CIV,cote_divoire,1992,6.7,available,2026-03-03,
CIV,cote_divoire,1995,4.1,available,2026-03-03,
CIV,cote_divoire,1998,2.857,available,2026-03-03,
CIV,cote_divoire,2012,7.223,available,2026-03-03,
CIV,cote_divoire,2013,4.255,available,2026-03-03,
CIV,cote_divoire,2016,1.896,available,2026-03-03,
CIV,cote_divoire,2017,3.272,available,2026-03-03,
CIV,cote_divoire,2019,2.401,available,2026-03-03,
CIV,cote_divoire,2022,2.31,available,2026-03-03,
COD,drc,2005,2.948,available,2026-03-03,
COD,drc,2012,4.485,available,2026-03-03,
COD,drc,2016,5.006,available,2026-03-03,
COD,drc,2020,1.466,available,2026-03-03,
DZA,algeria,1975,38.417,available,2026-03-03,
DZA,algeria,1980,15.253,available,2026-03-03,
DZA,algeria,1984,12.355,available,2026-03-03,
