iso3,country_id,year,value,status,download_date,notes
AFG,afghanistan,1995,17,available,2026-03-03,
AFG,afghanistan,2004,6,available,2026-03-03,
AFG,afghanistan,2005,36,available,2026-03-03,
AFG,afghanistan,2006,2,available,2026-03-03,
AFG,afghanistan,2007,5,available,2026-03-03,
AFG,afghanistan,2008,153,available,2026-03-03,
AFG,afghanistan,2009,63,available,2026-03-03,
AFG,afghanistan,2010,180,available,2026-03-03,
AFG,afghanistan,2011,84,available,2026-03-03,
AFG,afghanistan,2012,57,available,2026-03-03,
AFG,afghanistan,2013,12,available,2026-03-03,
AFG,afghanistan,2014,72,available,2026-03-03,
AFG,afghanistan,2015,4,available,2026-03-03,
AFG,afghanistan,2016,6,available,2026-03-03,
AFG,afghanistan,2017,34,available,2026-03-03,
AFG,afghanistan,2018,6,available,2026-03-03,
AFG,afghanistan,2021,1,available,2026-03-03,
COD,drc,2006,7,available,2026-03-03,
COD,drc,2012,2,available,2026-03-03,
COD,drc,2013,1,available,2026-03-03,
COD,drc,2022,4,available,2026-03-03,
DZA,algeria,2004,54,available,2026-03-03,
DZA,algeria,2005,12,available,2026-03-03,
EGY,egypt,1995,4,available,2026-03-03,
ETH,ethiopia,1996,184,available,2026-03-03,
ETH,ethiopia,1999,18,available,2026-03-03,
ETH,ethiopia,2001,10,available,2026-03-03,
ETH,ethiopia,2004,0,available,2026-03-03,
ETH,ethiopia,2010,0,available,2026-03-03,
ETH,ethiopia,2011,1,available,2026-03-03,
ETH,ethiopia,2015,1,available,2026-03-03,
ETH,ethiopia,2022,11,available,2026-03-03,
HRV,croatia,1992,3911,available,2026-03-03,
HRV,croatia,1993,73,available,2026-03-03,
HRV,croatia,1994,86,available,2026-03-03,
HRV,croatia,1995,314,available,2026-03-03,
IDN,indonesia,1992,1,available,2026-03-03,
IRN,iran,1991,1,available,2026-03-03,
IRN,iran,1992,6,available,2026-03-03,
IRN,iran,1993,33,available,2026-03-03,
IRN,iran,1994,2,available,2026-03-03,
IRN,iran,1995,9,available,2026-03-03,
IRN,iran,1996,6,available,2026-03-03,
IRN,iran,1997,1,available,2026-03-03,
IRN,iran,1998,1,available,2026-03-03,
IRN,iran,1999,9,available,2026-03-03,
IRN,iran,2000,0,available,2026-03-03,
IRN,iran,2001,7,available,2026-03-03,
IRN,iran,2005,9,available,2026-03-03,
IRN,iran,2006,5,available,2026-03-03,
IRN,iran,2007,0,available,2026-03-03,
IRN,iran,2008,4,available,2026-03-03,
IRN,iran,2010,1,available,2026-03-03,
IRN,iran,2011,23,available,2026-03-03,
IRN,iran,2015,0,available,2026-03-03,
IRN,iran,2016,8,available,2026-03-03,
IRN,iran,2017,3,available,2026-03-03,
IRN,iran,2018,124,available,2026-03-03,
IRN,iran,2019,139,available,2026-03-03,
IRN,iran,2020,287,available,2026-03-03,
IRN,iran,2021,171,available,2026-03-03,
IRN,iran,2022,75,available,2026-03-03,
IRN,iran,2023,160,available,2026-03-03,
IRQ,iraq,1990,1058,available,2026-03-03,
IRQ,iraq,1991,538,available,2026-03-03,
IRQ,iraq,1996,11,available,2026-03-03,
IRQ,iraq,2013,0,available,2026-03-03,
IRQ,iraq,2014,629,available,2026-03-03,
IRQ,iraq,2015,858,available,2026-03-03,
IRQ,iraq,2016,328,available,2026-03-03,
IRQ,iraq,2017,123,available,2026-03-03,
IRQ,iraq,2018,71,available,2026-03-03,
IRQ,iraq,2019,21,available,2026-03-03,
IRQ,iraq,2020,3,available,2026-03-03,
IRQ,iraq,2021,195,available,2026-03-03,
KEN,kenya,2015,1,available,2026-03-03,
KEN,kenya,2016,0,available,2026-03-03,
KEN,kenya,2021,3,available,2026-03-03,
KGZ,kyrgyzstan,2014,3,available,2026-03-03,
KGZ,kyrgyzstan,2019,4,available,2026-03-03,
KGZ,kyrgyzstan,2021,16,available,2026-03-03,
KGZ,kyrgyzstan,2022,87,available,2026-03-03,
LBR,liberia,1990,8,available,2026-03-03,
MLI,mali,2013,31,available,2026-03-03,
MMR,myanmar,1990,19,available,2026-03-03,
MMR,myanmar,1994,1,available,2026-03-03,
MMR,myanmar,2000,22,available,2026-03-03,
MMR,myanmar,2001,25,available,2026-03-03,
MMR,myanmar,2002,23,available,2026-03-03,
MMR,myanmar,2005,3,available,2026-03-03,
MMR,myanmar,2007,1,available,2026-03-03,
MMR,myanmar,2008,18,available,2026-03-03,
MMR,myanmar,2009,2,available,2026-03-03,
MMR,myanmar,2010,7,available,2026-03-03,
MMR,myanmar,2015,5,available,2026-03-03,
MMR,myanmar,2020,2,available,2026-03-03,
MMR,myanmar,2022,2,available,2026-03-03,
MMR,myanmar,2023,3,available,2026-03-03,
MYS,malaysia,2013,0,available,2026-03-03,
SDN,sudan,1989,3,available,2026-03-03,
SDN,sudan,1990,5,available,2026-03-03,
SDN,sudan,1991,4,available,2026-03-03,
SDN,sudan,2004,2,available,2026-03-03,
SDN,sudan,2009,4,available,2026-03-03,
SDN,sudan,2011,2,available,2026-03-03,
SDN,sudan,2014,7,available,2026-03-03,
SDN,sudan,2015,0,available,2026-03-03,
SEN,senegal,1992,2,available,2026-03-03,
SEN,senegal,2000,0,available,2026-03-03,
SLE,sierra_leone,1993,5,available,2026-03-03,
SSD,south_sudan,2012,238,available,2026-03-03,
SSD,south_sudan,2013,0,available,2026-03-03,
SSD,south_sudan,2017,0,available,2026-03-03,
SYR,syria,2012,5,available,2026-03-03,
SYR,syria,2013,3,available,2026-03-03,
SYR,syria,2014,14,available,2026-03-03,
SYR,syria,2015,1,available,2026-03-03,
SYR,syria,2017,4,available,2026-03-03,
SYR,syria,2020,2,available,2026-03-03,
UKR,ukraine,2014,1,available,2026-03-03,
YEM,yemen,2015,81,available,2026-03-03,
YEM,yemen,2016,120,available,2026-03-03,
YEM,yemen,2017,45,available,2026-03-03,
YEM,yemen,2018,11,available,2026-03-03,
YEM,yemen,2019,5,available,2026-03-03,
YEM,yemen,2020,0,available,2026-03-03,
YEM,yemen,2021,6,available,2026-03-03,
YEM,yemen,2022,3,available,2026-03-03,
YEM,yemen,2023,9,available,2026-03-03,
