iso3,country_id,year,value,status,download_date,notes
AFG,afghanistan,1989,237,available,2026-03-03,
AFG,afghanistan,1990,36,available,2026-03-03,
AFG,afghanistan,1991,251,available,2026-03-03,
AFG,afghanistan,1992,90,available,2026-03-03,
AFG,afghanistan,1993,8,available,2026-03-03,
AFG,afghanistan,1994,119,available,2026-03-03,
AFG,afghanistan,1995,115,available,2026-03-03,
AFG,afghanistan,1996,371,available,2026-03-03,
AFG,afghanistan,1997,2,available,2026-03-03,
AFG,afghanistan,1998,109,available,2026-03-03,
AFG,afghanistan,2000,3,available,2026-03-03,
AFG,afghanistan,2002,246,available,2026-03-03,
AFG,afghanistan,2003,243,available,2026-03-03,
AFG,afghanistan,2004,49,available,2026-03-03,
AFG,afghanistan,2006,36,available,2026-03-03,
AFG,afghanistan,2007,1,available,2026-03-03,
AFG,afghanistan,2010,99,available,2026-03-03,
AFG,afghanistan,2011,25,available,2026-03-03,
AFG,afghanistan,2012,10,available,2026-03-03,
AFG,afghanistan,2013,10,available,2026-03-03,
AFG,afghanistan,2014,13,available,2026-03-03,
AFG,afghanistan,2015,534,available,2026-03-03,
AFG,afghanistan,2016,376,available,2026-03-03,
AFG,afghanistan,2017,419,available,2026-03-03,
AFG,afghanistan,2018,631,available,2026-03-03,
AFG,afghanistan,2019,113,available,2026-03-03,
AFG,afghanistan,2020,0,available,2026-03-03,
AFG,afghanistan,2021,11,available,2026-03-03,
BFA,burkina_faso,2017,6,available,2026-03-03,
BFA,burkina_faso,2018,5,available,2026-03-03,
BFA,burkina_faso,2019,29,available,2026-03-03,
BFA,burkina_faso,2020,152,available,2026-03-03,
BFA,burkina_faso,2021,82,available,2026-03-03,
BFA,burkina_faso,2022,44,available,2026-03-03,
BFA,burkina_faso,2023,178,available,2026-03-03,
CAF,car,2007,4,available,2026-03-03,
CAF,car,2011,64,available,2026-03-03,
CAF,car,2013,289,available,2026-03-03,
CAF,car,2014,1045,available,2026-03-03,
CAF,car,2015,278,available,2026-03-03,
CAF,car,2016,214,available,2026-03-03,
CAF,car,2017,1084,available,2026-03-03,
CAF,car,2018,315,available,2026-03-03,
CAF,car,2019,283,available,2026-03-03,
CAF,car,2020,185,available,2026-03-03,
CAF,car,2023,101,available,2026-03-03,
CIV,cote_divoire,1995,32,available,2026-03-03,
CIV,cote_divoire,2000,31,available,2026-03-03,
CIV,cote_divoire,2001,2,available,2026-03-03,
CIV,cote_divoire,2002,50,available,2026-03-03,
CIV,cote_divoire,2003,165,available,2026-03-03,
CIV,cote_divoire,2004,197,available,2026-03-03,
CIV,cote_divoire,2005,144,available,2026-03-03,
CIV,cote_divoire,2006,2,available,2026-03-03,
CIV,cote_divoire,2010,25,available,2026-03-03,
CIV,cote_divoire,2011,59,available,2026-03-03,
CIV,cote_divoire,2012,2,available,2026-03-03,
CIV,cote_divoire,2016,33,available,2026-03-03,
COD,drc,1993,3109,available,2026-03-03,
COD,drc,1994,146,available,2026-03-03,
COD,drc,1995,465,available,2026-03-03,
COD,drc,1996,171,available,2026-03-03,
COD,drc,1997,153,available,2026-03-03,
COD,drc,1998,326,available,2026-03-03,
COD,drc,1999,1698,available,2026-03-03,
COD,drc,2000,1049,available,2026-03-03,
COD,drc,2001,608,available,2026-03-03,
COD,drc,2002,2980,available,2026-03-03,
COD,drc,2003,956,available,2026-03-03,
COD,drc,2004,47,available,2026-03-03,
COD,drc,2006,8,available,2026-03-03,
COD,drc,2007,29,available,2026-03-03,
COD,drc,2008,87,available,2026-03-03,
COD,drc,2009,10,available,2026-03-03,
COD,drc,2011,48,available,2026-03-03,
COD,drc,2012,233,available,2026-03-03,
COD,drc,2013,115,available,2026-03-03,
COD,drc,2014,150,available,2026-03-03,
COD,drc,2015,5,available,2026-03-03,
COD,drc,2016,692,available,2026-03-03,
COD,drc,2017,763,available,2026-03-03,
COD,drc,2018,1777,available,2026-03-03,
COD,drc,2019,741,available,2026-03-03,
COD,drc,2020,725,available,2026-03-03,
COD,drc,2021,394,available,2026-03-03,
COD,drc,2022,822,available,2026-03-03,
COD,drc,2023,497,available,2026-03-03,
DZA,algeria,1994,15,available,2026-03-03,
DZA,algeria,1995,51,available,2026-03-03,
DZA,algeria,1997,250,available,2026-03-03,
DZA,algeria,1998,143,available,2026-03-03,
DZA,algeria,1999,3,available,2026-03-03,
DZA,algeria,2013,27,available,2026-03-03,
EGY,egypt,1995,6,available,2026-03-03,
EGY,egypt,2000,3,available,2026-03-03,
EGY,egypt,2004,1,available,2026-03-03,
EGY,egypt,2006,2,available,2026-03-03,
EGY,egypt,2008,2,available,2026-03-03,
EGY,egypt,2009,1,available,2026-03-03,
EGY,egypt,2011,31,available,2026-03-03,
EGY,egypt,2012,75,available,2026-03-03,
EGY,egypt,2013,130,available,2026-03-03,
EGY,egypt,2014,41,available,2026-03-03,
EGY,egypt,2016,1,available,2026-03-03,
ETH,ethiopia,1989,16,available,2026-03-03,
ETH,ethiopia,1991,178,available,2026-03-03,
ETH,ethiopia,1992,852,available,2026-03-03,
ETH,ethiopia,1993,71,available,2026-03-03,
ETH,ethiopia,1995,1000,available,2026-03-03,
ETH,ethiopia,1996,13,available,2026-03-03,
ETH,ethiopia,1997,6,available,2026-03-03,
ETH,ethiopia,1998,766,available,2026-03-03,
ETH,ethiopia,1999,57,available,2026-03-03,
ETH,ethiopia,2000,409,available,2026-03-03,
ETH,ethiopia,2001,348,available,2026-03-03,
ETH,ethiopia,2002,724,available,2026-03-03,
ETH,ethiopia,2003,532,available,2026-03-03,
ETH,ethiopia,2004,181,available,2026-03-03,
ETH,ethiopia,2005,183,available,2026-03-03,
ETH,ethiopia,2006,360,available,2026-03-03,
ETH,ethiopia,2007,88,available,2026-03-03,
ETH,ethiopia,2008,260,available,2026-03-03,
ETH,ethiopia,2009,75,available,2026-03-03,
ETH,ethiopia,2010,1,available,2026-03-03,
ETH,ethiopia,2011,15,available,2026-03-03,
ETH,ethiopia,2012,247,available,2026-03-03,
ETH,ethiopia,2016,178,available,2026-03-03,
ETH,ethiopia,2017,302,available,2026-03-03,
ETH,ethiopia,2018,498,available,2026-03-03,
ETH,ethiopia,2019,213,available,2026-03-03,
ETH,ethiopia,2020,577,available,2026-03-03,
ETH,ethiopia,2021,157,available,2026-03-03,
ETH,ethiopia,2022,21,available,2026-03-03,
ETH,ethiopia,2023,90,available,2026-03-03,
GEO,georgia,1997,26,available,2026-03-03,
GEO,georgia,1998,38,available,2026-03-03,
GHA,ghana,1991,30,available,2026-03-03,
GHA,ghana,1992,63,available,2026-03-03,
GHA,ghana,1993,2,available,2026-03-03,
GHA,ghana,1994,2004,available,2026-03-03,
GHA,ghana,1995,155,available,2026-03-03,
GHA,ghana,2000,30,available,2026-03-03,
GHA,ghana,2001,50,available,2026-03-03,
GHA,ghana,2002,36,available,2026-03-03,
GHA,ghana,2008,55,available,2026-03-03,
GHA,ghana,2009,8,available,2026-03-03,
GHA,ghana,2010,1,available,2026-03-03,
GHA,ghana,2022,16,available,2026-03-03,
GHA,ghana,2023,15,available,2026-03-03,
IDN,indonesia,1997,361,available,2026-03-03,
IDN,indonesia,1999,1292,available,2026-03-03,
IDN,indonesia,2000,493,available,2026-03-03,
IDN,indonesia,2001,551,available,2026-03-03,
IDN,indonesia,2002,26,available,2026-03-03,
IDN,indonesia,2004,49,available,2026-03-03,
IDN,indonesia,2011,7,available,2026-03-03,
IRQ,iraq,1992,345,available,2026-03-03,
IRQ,iraq,1993,125,available,2026-03-03,
IRQ,iraq,1994,708,available,2026-03-03,
IRQ,iraq,1995,668,available,2026-03-03,
IRQ,iraq,1996,130,available,2026-03-03,
IRQ,iraq,1997,328,available,2026-03-03,
IRQ,iraq,1998,3,available,2026-03-03,
IRQ,iraq,2000,132,available,2026-03-03,
IRQ,iraq,2001,20,available,2026-03-03,
IRQ,iraq,2002,85,available,2026-03-03,
IRQ,iraq,2003,66,available,2026-03-03,
IRQ,iraq,2004,126,available,2026-03-03,
IRQ,iraq,2005,1,available,2026-03-03,
IRQ,iraq,2006,2,available,2026-03-03,
IRQ,iraq,2007,148,available,2026-03-03,
IRQ,iraq,2013,13,available,2026-03-03,
IRQ,iraq,2014,64,available,2026-03-03,
IRQ,iraq,2015,26,available,2026-03-03,
KEN,kenya,1989,60,available,2026-03-03,
KEN,kenya,1991,17,available,2026-03-03,
KEN,kenya,1992,156,available,2026-03-03,
KEN,kenya,1993,286,available,2026-03-03,
KEN,kenya,1994,28,available,2026-03-03,
KEN,kenya,1995,56,available,2026-03-03,
KEN,kenya,1996,167,available,2026-03-03,
KEN,kenya,1997,202,available,2026-03-03,
KEN,kenya,1998,322,available,2026-03-03,
KEN,kenya,1999,211,available,2026-03-03,
KEN,kenya,2000,253,available,2026-03-03,
KEN,kenya,2001,181,available,2026-03-03,
KEN,kenya,2002,32,available,2026-03-03,
KEN,kenya,2003,7,available,2026-03-03,
KEN,kenya,2004,20,available,2026-03-03,
KEN,kenya,2005,208,available,2026-03-03,
KEN,kenya,2006,195,available,2026-03-03,
KEN,kenya,2007,65,available,2026-03-03,
KEN,kenya,2008,483,available,2026-03-03,
KEN,kenya,2009,130,available,2026-03-03,
KEN,kenya,2010,87,available,2026-03-03,
KEN,kenya,2011,133,available,2026-03-03,
KEN,kenya,2012,247,available,2026-03-03,
KEN,kenya,2013,175,available,2026-03-03,
KEN,kenya,2014,156,available,2026-03-03,
KEN,kenya,2015,167,available,2026-03-03,
KEN,kenya,2016,45,available,2026-03-03,
KEN,kenya,2017,69,available,2026-03-03,
KEN,kenya,2018,58,available,2026-03-03,
KEN,kenya,2019,97,available,2026-03-03,
KEN,kenya,2020,27,available,2026-03-03,
KEN,kenya,2021,49,available,2026-03-03,
KEN,kenya,2022,5,available,2026-03-03,
KGZ,kyrgyzstan,2010,44,available,2026-03-03,
LBR,liberia,1990,45,available,2026-03-03,
LBR,liberia,1991,306,available,2026-03-03,
LBR,liberia,1992,55,available,2026-03-03,
LBR,liberia,1993,108,available,2026-03-03,
LBR,liberia,1994,489,available,2026-03-03,
LBR,liberia,1995,23,available,2026-03-03,
LBR,liberia,1996,2000,available,2026-03-03,
LBY,libya,2008,6,available,2026-03-03,
LBY,libya,2012,377,available,2026-03-03,
LBY,libya,2013,5,available,2026-03-03,
LBY,libya,2014,1169,available,2026-03-03,
LBY,libya,2015,1201,available,2026-03-03,
LBY,libya,2016,591,available,2026-03-03,
LBY,libya,2017,691,available,2026-03-03,
LBY,libya,2018,620,available,2026-03-03,
LBY,libya,2019,152,available,2026-03-03,
LBY,libya,2020,17,available,2026-03-03,
LBY,libya,2021,2,available,2026-03-03,
LBY,libya,2022,11,available,2026-03-03,
MEX,mexico,1992,15,available,2026-03-03,
MEX,mexico,1993,34,available,2026-03-03,
MEX,mexico,1994,5,available,2026-03-03,
MEX,mexico,1995,1,available,2026-03-03,
MEX,mexico,2002,27,available,2026-03-03,
MEX,mexico,2004,219,available,2026-03-03,
MEX,mexico,2005,204,available,2026-03-03,
MEX,mexico,2006,669,available,2026-03-03,
MEX,mexico,2007,1938,available,2026-03-03,
MEX,mexico,2008,3841,available,2026-03-03,
MEX,mexico,2009,5600,available,2026-03-03,
MEX,mexico,2010,6122,available,2026-03-03,
MEX,mexico,2011,4583,available,2026-03-03,
MEX,mexico,2012,5883,available,2026-03-03,
MEX,mexico,2013,4492,available,2026-03-03,
MEX,mexico,2014,3315,available,2026-03-03,
MEX,mexico,2015,4511,available,2026-03-03,
MEX,mexico,2016,4304,available,2026-03-03,
MEX,mexico,2017,9716,available,2026-03-03,
MEX,mexico,2018,11932,available,2026-03-03,
MEX,mexico,2019,11995,available,2026-03-03,
MEX,mexico,2020,15184,available,2026-03-03,
MEX,mexico,2021,16878,available,2026-03-03,
MEX,mexico,2022,14251,available,2026-03-03,
MEX,mexico,2023,13831,available,2026-03-03,
MLI,mali,1994,30,available,2026-03-03,
MLI,mali,1997,22,available,2026-03-03,
MLI,mali,1999,59,available,2026-03-03,
MLI,mali,2002,5,available,2026-03-03,
MLI,mali,2004,20,available,2026-03-03,
MLI,mali,2012,118,available,2026-03-03,
MLI,mali,2013,28,available,2026-03-03,
MLI,mali,2014,95,available,2026-03-03,
MLI,mali,2015,69,available,2026-03-03,
MLI,mali,2016,61,available,2026-03-03,
MLI,mali,2017,169,available,2026-03-03,
MLI,mali,2018,209,available,2026-03-03,
MLI,mali,2019,169,available,2026-03-03,
MLI,mali,2020,448,available,2026-03-03,
MLI,mali,2021,345,available,2026-03-03,
MLI,mali,2022,755,available,2026-03-03,
MLI,mali,2023,375,available,2026-03-03,
MMR,myanmar,1990,234,available,2026-03-03,
MMR,myanmar,1991,355,available,2026-03-03,
MMR,myanmar,1994,8,available,2026-03-03,
MMR,myanmar,1995,1046,available,2026-03-03,
MMR,myanmar,1996,65,available,2026-03-03,
MMR,myanmar,1998,86,available,2026-03-03,
MMR,myanmar,1999,7,available,2026-03-03,
MMR,myanmar,2000,70,available,2026-03-03,
MMR,myanmar,2001,53,available,2026-03-03,
MMR,myanmar,2003,9,available,2026-03-03,
MMR,myanmar,2005,110,available,2026-03-03,
MMR,myanmar,2006,2,available,2026-03-03,
MMR,myanmar,2007,45,available,2026-03-03,
MMR,myanmar,2008,1,available,2026-03-03,
MMR,myanmar,2012,134,available,2026-03-03,
MMR,myanmar,2013,50,available,2026-03-03,
MMR,myanmar,2014,2,available,2026-03-03,
MMR,myanmar,2022,5,available,2026-03-03,
NPL,nepal,2007,30,available,2026-03-03,
PER,peru,1989,11,available,2026-03-03,
PER,peru,1990,6,available,2026-03-03,
PER,peru,1991,50,available,2026-03-03,
