iso3,country_id,year,value,status,download_date,notes
AFG,afghanistan,1992,8,available,2026-03-03,
AFG,afghanistan,1993,26,available,2026-03-03,
AFG,afghanistan,1995,4,available,2026-03-03,
AFG,afghanistan,1996,5,available,2026-03-03,
AFG,afghanistan,1997,323,available,2026-03-03,
AFG,afghanistan,1998,5801,available,2026-03-03,
AFG,afghanistan,1999,436,available,2026-03-03,
AFG,afghanistan,2000,152,available,2026-03-03,
AFG,afghanistan,2001,298,available,2026-03-03,
AFG,afghanistan,2002,11,available,2026-03-03,
AFG,afghanistan,2004,0,available,2026-03-03,
AFG,afghanistan,2005,2,available,2026-03-03,
AFG,afghanistan,2009,4,available,2026-03-03,
AFG,afghanistan,2010,3,available,2026-03-03,
AFG,afghanistan,2012,0,available,2026-03-03,
AFG,afghanistan,2013,1,available,2026-03-03,
AFG,afghanistan,2014,2,available,2026-03-03,
AFG,afghanistan,2015,6,available,2026-03-03,
AFG,afghanistan,2016,15,available,2026-03-03,
AFG,afghanistan,2017,8,available,2026-03-03,
AFG,afghanistan,2018,20,available,2026-03-03,
AFG,afghanistan,2019,31,available,2026-03-03,
AFG,afghanistan,2020,7,available,2026-03-03,
AFG,afghanistan,2021,87,available,2026-03-03,
AFG,afghanistan,2022,189,available,2026-03-03,
AFG,afghanistan,2023,43,available,2026-03-03,
ARM,armenia,2015,7,available,2026-03-03,
BFA,burkina_faso,2017,1,available,2026-03-03,
BFA,burkina_faso,2018,73,available,2026-03-03,
BFA,burkina_faso,2019,183,available,2026-03-03,
BFA,burkina_faso,2020,175,available,2026-03-03,
BFA,burkina_faso,2021,35,available,2026-03-03,
BFA,burkina_faso,2022,191,available,2026-03-03,
BFA,burkina_faso,2023,345,available,2026-03-03,
CAF,car,1991,0,available,2026-03-03,
CAF,car,1992,3,available,2026-03-03,
CAF,car,1993,4,available,2026-03-03,
CAF,car,1999,5,available,2026-03-03,
CAF,car,2000,6,available,2026-03-03,
CAF,car,2001,21,available,2026-03-03,
CAF,car,2002,21,available,2026-03-03,
CAF,car,2003,6,available,2026-03-03,
CAF,car,2004,3,available,2026-03-03,
CAF,car,2005,8,available,2026-03-03,
CAF,car,2006,133,available,2026-03-03,
CAF,car,2007,36,available,2026-03-03,
CAF,car,2008,5,available,2026-03-03,
CAF,car,2009,21,available,2026-03-03,
CAF,car,2010,7,available,2026-03-03,
CAF,car,2012,36,available,2026-03-03,
CAF,car,2013,1375,available,2026-03-03,
CAF,car,2014,54,available,2026-03-03,
CAF,car,2015,9,available,2026-03-03,
CAF,car,2016,3,available,2026-03-03,
CAF,car,2019,5,available,2026-03-03,
CAF,car,2020,3,available,2026-03-03,
CAF,car,2021,45,available,2026-03-03,
CAF,car,2022,35,available,2026-03-03,
CAF,car,2023,8,available,2026-03-03,
CIV,cote_divoire,1990,1,available,2026-03-03,
CIV,cote_divoire,1991,0,available,2026-03-03,
CIV,cote_divoire,1998,0,available,2026-03-03,
CIV,cote_divoire,1999,0,available,2026-03-03,
CIV,cote_divoire,2000,101,available,2026-03-03,
CIV,cote_divoire,2002,227,available,2026-03-03,
CIV,cote_divoire,2003,73,available,2026-03-03,
CIV,cote_divoire,2004,59,available,2026-03-03,
CIV,cote_divoire,2005,9,available,2026-03-03,
CIV,cote_divoire,2006,8,available,2026-03-03,
CIV,cote_divoire,2007,3,available,2026-03-03,
CIV,cote_divoire,2008,3,available,2026-03-03,
CIV,cote_divoire,2009,1,available,2026-03-03,
CIV,cote_divoire,2010,44,available,2026-03-03,
CIV,cote_divoire,2011,373,available,2026-03-03,
CIV,cote_divoire,2012,19,available,2026-03-03,
CIV,cote_divoire,2013,0,available,2026-03-03,
CIV,cote_divoire,2020,3,available,2026-03-03,
COD,drc,1989,28,available,2026-03-03,
COD,drc,1990,147,available,2026-03-03,
COD,drc,1991,32,available,2026-03-03,
COD,drc,1992,67,available,2026-03-03,
COD,drc,1993,150,available,2026-03-03,
COD,drc,1994,121,available,2026-03-03,
COD,drc,1995,58,available,2026-03-03,
COD,drc,1996,21248,available,2026-03-03,
COD,drc,1997,8354,available,2026-03-03,
COD,drc,1998,2764,available,2026-03-03,
COD,drc,1999,1775,available,2026-03-03,
COD,drc,2000,293,available,2026-03-03,
COD,drc,2001,197,available,2026-03-03,
COD,drc,2002,189,available,2026-03-03,
COD,drc,2004,106,available,2026-03-03,
COD,drc,2005,16,available,2026-03-03,
COD,drc,2006,153,available,2026-03-03,
COD,drc,2007,92,available,2026-03-03,
COD,drc,2008,48,available,2026-03-03,
COD,drc,2009,1096,available,2026-03-03,
COD,drc,2010,301,available,2026-03-03,
COD,drc,2011,16,available,2026-03-03,
COD,drc,2012,112,available,2026-03-03,
COD,drc,2013,50,available,2026-03-03,
COD,drc,2014,36,available,2026-03-03,
COD,drc,2016,314,available,2026-03-03,
COD,drc,2017,384,available,2026-03-03,
COD,drc,2018,150,available,2026-03-03,
COD,drc,2019,87,available,2026-03-03,
COD,drc,2020,112,available,2026-03-03,
COD,drc,2021,103,available,2026-03-03,
COD,drc,2022,193,available,2026-03-03,
COD,drc,2023,182,available,2026-03-03,
EGY,egypt,1990,4,available,2026-03-03,
EGY,egypt,1994,0,available,2026-03-03,
EGY,egypt,2005,36,available,2026-03-03,
EGY,egypt,2013,5,available,2026-03-03,
EGY,egypt,2018,4,available,2026-03-03,
EGY,egypt,2020,1,available,2026-03-03,
EGY,egypt,2023,5,available,2026-03-03,
ETH,ethiopia,1989,891,available,2026-03-03,
ETH,ethiopia,1990,158,available,2026-03-03,
ETH,ethiopia,1991,37,available,2026-03-03,
ETH,ethiopia,1993,26,available,2026-03-03,
ETH,ethiopia,1998,3,available,2026-03-03,
ETH,ethiopia,1999,0,available,2026-03-03,
ETH,ethiopia,2000,0,available,2026-03-03,
ETH,ethiopia,2001,0,available,2026-03-03,
ETH,ethiopia,2002,35,available,2026-03-03,
ETH,ethiopia,2003,509,available,2026-03-03,
ETH,ethiopia,2004,244,available,2026-03-03,
ETH,ethiopia,2005,24,available,2026-03-03,
ETH,ethiopia,2006,20,available,2026-03-03,
ETH,ethiopia,2007,153,available,2026-03-03,
