iso3,country_id,year,value,status,download_date,notes
AFG,afghanistan,1996,42,available,2026-03-03,
AFG,afghanistan,1998,8,available,2026-03-03,
AFG,afghanistan,2000,4,available,2026-03-03,
AFG,afghanistan,2001,200,available,2026-03-03,
AFG,afghanistan,2003,14,available,2026-03-03,
AFG,afghanistan,2004,53,available,2026-03-03,
AFG,afghanistan,2005,114,available,2026-03-03,
AFG,afghanistan,2006,196,available,2026-03-03,
AFG,afghanistan,2007,113,available,2026-03-03,
AFG,afghanistan,2008,108,available,2026-03-03,
AFG,afghanistan,2009,154,available,2026-03-03,
AFG,afghanistan,2010,185,available,2026-03-03,
AFG,afghanistan,2011,135,available,2026-03-03,
AFG,afghanistan,2012,83,available,2026-03-03,
AFG,afghanistan,2013,64,available,2026-03-03,
AFG,afghanistan,2014,240,available,2026-03-03,
AFG,afghanistan,2015,174,available,2026-03-03,
AFG,afghanistan,2016,341,available,2026-03-03,
AFG,afghanistan,2017,335,available,2026-03-03,
AFG,afghanistan,2018,542,available,2026-03-03,
AFG,afghanistan,2019,351,available,2026-03-03,
AFG,afghanistan,2020,338,available,2026-03-03,
AFG,afghanistan,2021,501,available,2026-03-03,
AFG,afghanistan,2022,453,available,2026-03-03,
AFG,afghanistan,2023,62,available,2026-03-03,
BFA,burkina_faso,2016,26,available,2026-03-03,
BFA,burkina_faso,2017,35,available,2026-03-03,
BFA,burkina_faso,2018,19,available,2026-03-03,
BFA,burkina_faso,2019,685,available,2026-03-03,
BFA,burkina_faso,2020,328,available,2026-03-03,
BFA,burkina_faso,2021,350,available,2026-03-03,
BFA,burkina_faso,2022,371,available,2026-03-03,
BFA,burkina_faso,2023,981,available,2026-03-03,
CAF,car,2004,20,available,2026-03-03,
CAF,car,2006,11,available,2026-03-03,
CAF,car,2007,92,available,2026-03-03,
CAF,car,2008,3,available,2026-03-03,
CAF,car,2009,135,available,2026-03-03,
CAF,car,2010,94,available,2026-03-03,
CAF,car,2011,83,available,2026-03-03,
CAF,car,2012,37,available,2026-03-03,
CAF,car,2013,1315,available,2026-03-03,
CAF,car,2014,2241,available,2026-03-03,
CAF,car,2015,423,available,2026-03-03,
CAF,car,2016,471,available,2026-03-03,
CAF,car,2017,708,available,2026-03-03,
CAF,car,2018,222,available,2026-03-03,
CAF,car,2019,145,available,2026-03-03,
CAF,car,2020,33,available,2026-03-03,
CAF,car,2021,129,available,2026-03-03,
CAF,car,2022,61,available,2026-03-03,
CAF,car,2023,28,available,2026-03-03,
CIV,cote_divoire,1993,1,available,2026-03-03,
CIV,cote_divoire,1994,4,available,2026-03-03,
CIV,cote_divoire,1995,5,available,2026-03-03,
CIV,cote_divoire,1996,5,available,2026-03-03,
CIV,cote_divoire,2002,111,available,2026-03-03,
CIV,cote_divoire,2003,115,available,2026-03-03,
CIV,cote_divoire,2004,1,available,2026-03-03,
CIV,cote_divoire,2005,0,available,2026-03-03,
CIV,cote_divoire,2006,1,available,2026-03-03,
CIV,cote_divoire,2008,1,available,2026-03-03,
CIV,cote_divoire,2010,5,available,2026-03-03,
CIV,cote_divoire,2011,726,available,2026-03-03,
CIV,cote_divoire,2013,4,available,2026-03-03,
CIV,cote_divoire,2016,16,available,2026-03-03,
COD,drc,1993,78,available,2026-03-03,
COD,drc,1994,62,available,2026-03-03,
COD,drc,1995,3,available,2026-03-03,
