iso3,country_id,year,value,status,download_date,notes
AFG,afghanistan,1979,0,available,2026-03-03,
AFG,afghanistan,1980,0,available,2026-03-03,
AFG,afghanistan,1981,0,available,2026-03-03,
AFG,afghanistan,1982,0,available,2026-03-03,
AFG,afghanistan,1983,0,available,2026-03-03,
AFG,afghanistan,1984,0,available,2026-03-03,
AFG,afghanistan,1985,0,available,2026-03-03,
AFG,afghanistan,1986,0,available,2026-03-03,
AFG,afghanistan,1987,0,available,2026-03-03,
AFG,afghanistan,1988,0,available,2026-03-03,
AFG,afghanistan,1989,0,available,2026-03-03,
AFG,afghanistan,1990,0,available,2026-03-03,
AFG,afghanistan,1991,0,available,2026-03-03,
AFG,afghanistan,1992,0,available,2026-03-03,
AFG,afghanistan,1993,0,available,2026-03-03,
AFG,afghanistan,1994,0,available,2026-03-03,
AFG,afghanistan,1995,0,available,2026-03-03,
AFG,afghanistan,1996,0,available,2026-03-03,
AFG,afghanistan,1997,0,available,2026-03-03,
AFG,afghanistan,1998,0,available,2026-03-03,
AFG,afghanistan,1999,0,available,2026-03-03,
AFG,afghanistan,2000,40290,available,2026-03-03,
AFG,afghanistan,2001,30782,available,2026-03-03,
AFG,afghanistan,2002,26687,available,2026-03-03,
AFG,afghanistan,2003,26308,available,2026-03-03,
AFG,afghanistan,2004,16983,available,2026-03-03,
AFG,afghanistan,2005,14023,available,2026-03-03,
AFG,afghanistan,2006,14959,available,2026-03-03,
AFG,afghanistan,2007,16077,available,2026-03-03,
AFG,afghanistan,2008,23177,available,2026-03-03,
AFG,afghanistan,2009,30406,available,2026-03-03,
AFG,afghanistan,2010,37101,available,2026-03-03,
AFG,afghanistan,2011,39199,available,2026-03-03,
AFG,afghanistan,2012,62304,available,2026-03-03,
AFG,afghanistan,2013,75284,available,2026-03-03,
AFG,afghanistan,2014,85407,available,2026-03-03,
AFG,afghanistan,2015,258862,available,2026-03-03,
AFG,afghanistan,2016,369072,available,2026-03-03,
AFG,afghanistan,2017,333986,available,2026-03-03,
AFG,afghanistan,2018,310107,available,2026-03-03,
AFG,afghanistan,2019,251047,available,2026-03-03,
AFG,afghanistan,2020,238791,available,2026-03-03,
AFG,afghanistan,2021,262860,available,2026-03-03,
AFG,afghanistan,2022,294493,available,2026-03-03,
AFG,afghanistan,2023,296033,available,2026-03-03,
AFG,afghanistan,2024,384732,available,2026-03-03,
AFG,afghanistan,2025,390687,available,2026-03-03,
ARM,armenia,1964,0,available,2026-03-03,
ARM,armenia,1968,0,available,2026-03-03,
ARM,armenia,1969,0,available,2026-03-03,
ARM,armenia,1970,0,available,2026-03-03,
ARM,armenia,1971,0,available,2026-03-03,
ARM,armenia,1972,0,available,2026-03-03,
ARM,armenia,1977,0,available,2026-03-03,
ARM,armenia,1978,0,available,2026-03-03,
ARM,armenia,1979,0,available,2026-03-03,
ARM,armenia,1980,0,available,2026-03-03,
ARM,armenia,1981,0,available,2026-03-03,
ARM,armenia,1982,0,available,2026-03-03,
ARM,armenia,1983,0,available,2026-03-03,
ARM,armenia,1984,0,available,2026-03-03,
ARM,armenia,1985,0,available,2026-03-03,
ARM,armenia,1986,0,available,2026-03-03,
ARM,armenia,1987,0,available,2026-03-03,
ARM,armenia,1988,0,available,2026-03-03,
ARM,armenia,1992,0,available,2026-03-03,
ARM,armenia,1993,0,available,2026-03-03,
ARM,armenia,1994,0,available,2026-03-03,
ARM,armenia,1995,0,available,2026-03-03,
ARM,armenia,1996,0,available,2026-03-03,
ARM,armenia,1997,0,available,2026-03-03,
ARM,armenia,1998,0,available,2026-03-03,
ARM,armenia,1999,0,available,2026-03-03,
ARM,armenia,2000,5228,available,2026-03-03,
ARM,armenia,2001,6087,available,2026-03-03,
ARM,armenia,2002,5667,available,2026-03-03,
ARM,armenia,2003,4965,available,2026-03-03,
ARM,armenia,2004,4044,available,2026-03-03,
ARM,armenia,2005,4339,available,2026-03-03,
ARM,armenia,2006,5401,available,2026-03-03,
ARM,armenia,2007,3985,available,2026-03-03,
ARM,armenia,2008,3764,available,2026-03-03,
ARM,armenia,2009,4085,available,2026-03-03,
ARM,armenia,2010,2947,available,2026-03-03,
ARM,armenia,2011,2652,available,2026-03-03,
ARM,armenia,2012,2888,available,2026-03-03,
ARM,armenia,2013,5363,available,2026-03-03,
ARM,armenia,2014,6287,available,2026-03-03,
ARM,armenia,2015,8491,available,2026-03-03,
ARM,armenia,2016,13092,available,2026-03-03,
ARM,armenia,2017,14907,available,2026-03-03,
ARM,armenia,2018,13697,available,2026-03-03,
ARM,armenia,2019,11097,available,2026-03-03,
ARM,armenia,2020,8850,available,2026-03-03,
ARM,armenia,2021,9291,available,2026-03-03,
ARM,armenia,2022,13474,available,2026-03-03,
ARM,armenia,2023,18378,available,2026-03-03,
ARM,armenia,2024,20459,available,2026-03-03,
ARM,armenia,2025,19799,available,2026-03-03,
COD,drc,1964,0,available,2026-03-03,
COD,drc,1965,0,available,2026-03-03,
COD,drc,1966,0,available,2026-03-03,
COD,drc,1967,0,available,2026-03-03,
COD,drc,1968,0,available,2026-03-03,
COD,drc,1969,0,available,2026-03-03,
COD,drc,1970,0,available,2026-03-03,
COD,drc,1971,0,available,2026-03-03,
COD,drc,1972,0,available,2026-03-03,
COD,drc,1973,0,available,2026-03-03,
COD,drc,1974,0,available,2026-03-03,
COD,drc,1975,0,available,2026-03-03,
COD,drc,1976,0,available,2026-03-03,
COD,drc,1977,0,available,2026-03-03,
COD,drc,1978,0,available,2026-03-03,
COD,drc,1979,0,available,2026-03-03,
COD,drc,1980,0,available,2026-03-03,
COD,drc,1981,0,available,2026-03-03,
COD,drc,1982,0,available,2026-03-03,
COD,drc,1983,0,available,2026-03-03,
COD,drc,1984,0,available,2026-03-03,
COD,drc,1985,0,available,2026-03-03,
COD,drc,1986,0,available,2026-03-03,
COD,drc,1987,0,available,2026-03-03,
COD,drc,1988,0,available,2026-03-03,
COD,drc,1989,0,available,2026-03-03,
COD,drc,1990,0,available,2026-03-03,
COD,drc,1991,0,available,2026-03-03,
COD,drc,1992,0,available,2026-03-03,
COD,drc,1993,0,available,2026-03-03,
COD,drc,1994,0,available,2026-03-03,
COD,drc,1995,0,available,2026-03-03,
COD,drc,1996,0,available,2026-03-03,
COD,drc,1997,0,available,2026-03-03,
COD,drc,1998,0,available,2026-03-03,
COD,drc,1999,0,available,2026-03-03,
COD,drc,2000,19844,available,2026-03-03,
COD,drc,2001,28257,available,2026-03-03,
COD,drc,2002,44078,available,2026-03-03,
COD,drc,2003,51942,available,2026-03-03,
COD,drc,2004,50911,available,2026-03-03,
COD,drc,2005,55950,available,2026-03-03,
COD,drc,2006,29211,available,2026-03-03,
COD,drc,2007,36291,available,2026-03-03,
COD,drc,2008,36277,available,2026-03-03,
COD,drc,2009,31104,available,2026-03-03,
COD,drc,2010,43082,available,2026-03-03,
COD,drc,2011,52315,available,2026-03-03,
COD,drc,2012,58670,available,2026-03-03,
COD,drc,2013,65353,available,2026-03-03,
COD,drc,2014,67339,available,2026-03-03,
COD,drc,2015,76029,available,2026-03-03,
COD,drc,2016,82709,available,2026-03-03,
COD,drc,2017,136152,available,2026-03-03,
COD,drc,2018,133422,available,2026-03-03,
COD,drc,2019,145502,available,2026-03-03,
COD,drc,2020,145372,available,2026-03-03,
COD,drc,2021,148099,available,2026-03-03,
COD,drc,2022,135099,available,2026-03-03,
COD,drc,2023,149805,available,2026-03-03,
COD,drc,2024,165456,available,2026-03-03,
COD,drc,2025,174606,available,2026-03-03,
ETH,ethiopia,1967,0,available,2026-03-03,
ETH,ethiopia,1968,0,available,2026-03-03,
ETH,ethiopia,1969,0,available,2026-03-03,
ETH,ethiopia,1970,0,available,2026-03-03,
ETH,ethiopia,1971,0,available,2026-03-03,
ETH,ethiopia,1972,0,available,2026-03-03,
ETH,ethiopia,1973,0,available,2026-03-03,
