iso3,country_id,year,value,status,download_date,notes
AFG,afghanistan,1990,50,available,2026-03-03,
AFG,afghanistan,1991,38,available,2026-03-03,
AFG,afghanistan,1992,60025,available,2026-03-03,
AFG,afghanistan,1993,32131,available,2026-03-03,
AFG,afghanistan,1994,19134,available,2026-03-03,
AFG,afghanistan,1995,19605,available,2026-03-03,
AFG,afghanistan,1996,18779,available,2026-03-03,
AFG,afghanistan,1997,5,available,2026-03-03,
AFG,afghanistan,1998,0,available,2026-03-03,
AFG,afghanistan,1999,0,available,2026-03-03,
AFG,afghanistan,2000,0,available,2026-03-03,
AFG,afghanistan,2001,10,available,2026-03-03,
AFG,afghanistan,2002,0,available,2026-03-03,
AFG,afghanistan,2003,24,available,2026-03-03,
AFG,afghanistan,2004,31,available,2026-03-03,
AFG,afghanistan,2005,31,available,2026-03-03,
AFG,afghanistan,2006,34,available,2026-03-03,
AFG,afghanistan,2007,43,available,2026-03-03,
AFG,afghanistan,2008,37,available,2026-03-03,
AFG,afghanistan,2009,36,available,2026-03-03,
AFG,afghanistan,2010,6434,available,2026-03-03,
AFG,afghanistan,2011,3011,available,2026-03-03,
AFG,afghanistan,2012,16184,available,2026-03-03,
AFG,afghanistan,2013,16861,available,2026-03-03,
AFG,afghanistan,2014,300421,available,2026-03-03,
AFG,afghanistan,2015,257553,available,2026-03-03,
AFG,afghanistan,2016,59770,available,2026-03-03,
AFG,afghanistan,2017,75927,available,2026-03-03,
AFG,afghanistan,2018,72228,available,2026-03-03,
AFG,afghanistan,2019,72227,available,2026-03-03,
AFG,afghanistan,2020,72278,available,2026-03-03,
AFG,afghanistan,2021,66949,available,2026-03-03,
AFG,afghanistan,2022,52159,available,2026-03-03,
AFG,afghanistan,2023,34826,available,2026-03-03,
AFG,afghanistan,2024,20866,available,2026-03-03,
AFG,afghanistan,2025,20861,available,2026-03-03,
ARM,armenia,1992,300000,available,2026-03-03,
ARM,armenia,1993,334000,available,2026-03-03,
ARM,armenia,1994,304040,available,2026-03-03,
ARM,armenia,1995,218950,available,2026-03-03,
ARM,armenia,1996,218950,available,2026-03-03,
ARM,armenia,1997,219000,available,2026-03-03,
ARM,armenia,1998,310012,available,2026-03-03,
ARM,armenia,1999,296215,available,2026-03-03,
ARM,armenia,2000,280586,available,2026-03-03,
ARM,armenia,2001,264337,available,2026-03-03,
ARM,armenia,2002,247549,available,2026-03-03,
ARM,armenia,2003,239289,available,2026-03-03,
ARM,armenia,2004,235233,available,2026-03-03,
ARM,armenia,2005,219547,available,2026-03-03,
ARM,armenia,2006,113713,available,2026-03-03,
ARM,armenia,2007,4564,available,2026-03-03,
ARM,armenia,2008,3952,available,2026-03-03,
ARM,armenia,2009,3605,available,2026-03-03,
ARM,armenia,2010,3292,available,2026-03-03,
ARM,armenia,2011,2913,available,2026-03-03,
ARM,armenia,2012,2849,available,2026-03-03,
ARM,armenia,2013,13727,available,2026-03-03,
ARM,armenia,2014,17635,available,2026-03-03,
ARM,armenia,2015,19314,available,2026-03-03,
ARM,armenia,2016,17883,available,2026-03-03,
ARM,armenia,2017,17968,available,2026-03-03,
ARM,armenia,2018,17966,available,2026-03-03,
ARM,armenia,2019,17980,available,2026-03-03,
ARM,armenia,2020,107910,available,2026-03-03,
ARM,armenia,2021,34728,available,2026-03-03,
ARM,armenia,2022,34634,available,2026-03-03,
ARM,armenia,2023,150080,available,2026-03-03,
ARM,armenia,2024,144379,available,2026-03-03,
ARM,armenia,2025,138054,available,2026-03-03,
COD,drc,1960,150000,available,2026-03-03,
COD,drc,1961,203000,available,2026-03-03,
COD,drc,1962,223000,available,2026-03-03,
COD,drc,1963,237000,available,2026-03-03,
COD,drc,1964,236000,available,2026-03-03,
COD,drc,1965,265000,available,2026-03-03,
COD,drc,1966,357100,available,2026-03-03,
COD,drc,1967,434100,available,2026-03-03,
COD,drc,1968,475400,available,2026-03-03,
COD,drc,1969,496300,available,2026-03-03,
COD,drc,1970,489000,available,2026-03-03,
COD,drc,1971,474250,available,2026-03-03,
COD,drc,1972,495250,available,2026-03-03,
COD,drc,1973,460050,available,2026-03-03,
COD,drc,1974,503250,available,2026-03-03,
COD,drc,1975,510000,available,2026-03-03,
COD,drc,1976,515000,available,2026-03-03,
COD,drc,1977,530300,available,2026-03-03,
COD,drc,1978,653000,available,2026-03-03,
COD,drc,1979,710480,available,2026-03-03,
COD,drc,1980,611110,available,2026-03-03,
COD,drc,1981,576740,available,2026-03-03,
COD,drc,1982,497600,available,2026-03-03,
COD,drc,1983,303500,available,2026-03-03,
COD,drc,1984,337330,available,2026-03-03,
COD,drc,1985,283000,available,2026-03-03,
COD,drc,1986,301230,available,2026-03-03,
COD,drc,1987,320000,available,2026-03-03,
COD,drc,1988,340675,available,2026-03-03,
COD,drc,1989,340689,available,2026-03-03,
COD,drc,1990,416435,available,2026-03-03,
COD,drc,1991,482959,available,2026-03-03,
COD,drc,1992,391127,available,2026-03-03,
COD,drc,1993,572070,available,2026-03-03,
COD,drc,1994,1724365,available,2026-03-03,
COD,drc,1995,1433760,available,2026-03-03,
COD,drc,1996,675972,available,2026-03-03,
COD,drc,1997,297536,available,2026-03-03,
COD,drc,1998,240214,available,2026-03-03,
COD,drc,1999,285270,available,2026-03-03,
COD,drc,2000,332509,available,2026-03-03,
COD,drc,2001,362014,available,2026-03-03,
COD,drc,2002,332978,available,2026-03-03,
COD,drc,2003,234033,available,2026-03-03,
COD,drc,2004,199323,available,2026-03-03,
COD,drc,2005,204341,available,2026-03-03,
COD,drc,2006,208371,available,2026-03-03,
COD,drc,2007,177390,available,2026-03-03,
COD,drc,2008,155162,available,2026-03-03,
COD,drc,2009,185809,available,2026-03-03,
COD,drc,2010,166333,available,2026-03-03,
COD,drc,2011,152748,available,2026-03-03,
COD,drc,2012,65106,available,2026-03-03,
COD,drc,2013,113357,available,2026-03-03,
COD,drc,2014,119752,available,2026-03-03,
COD,drc,2015,383095,available,2026-03-03,
COD,drc,2016,451957,available,2026-03-03,
COD,drc,2017,537089,available,2026-03-03,
COD,drc,2018,529065,available,2026-03-03,
COD,drc,2019,523733,available,2026-03-03,
COD,drc,2020,490243,available,2026-03-03,
COD,drc,2021,524148,available,2026-03-03,
COD,drc,2022,520544,available,2026-03-03,
COD,drc,2023,523392,available,2026-03-03,
COD,drc,2024,517404,available,2026-03-03,
COD,drc,2025,515083,available,2026-03-03,
ETH,ethiopia,1968,20000,available,2026-03-03,
ETH,ethiopia,1969,20000,available,2026-03-03,
ETH,ethiopia,1970,21000,available,2026-03-03,
ETH,ethiopia,1971,22730,available,2026-03-03,
ETH,ethiopia,1972,16200,available,2026-03-03,
ETH,ethiopia,1973,5400,available,2026-03-03,
ETH,ethiopia,1974,5910,available,2026-03-03,
ETH,ethiopia,1975,11150,available,2026-03-03,
ETH,ethiopia,1976,10690,available,2026-03-03,
ETH,ethiopia,1977,10940,available,2026-03-03,
ETH,ethiopia,1978,10930,available,2026-03-03,
ETH,ethiopia,1979,10930,available,2026-03-03,
ETH,ethiopia,1980,10930,available,2026-03-03,
ETH,ethiopia,1981,5450,available,2026-03-03,
ETH,ethiopia,1982,5550,available,2026-03-03,
ETH,ethiopia,1983,31370,available,2026-03-03,
ETH,ethiopia,1984,180480,available,2026-03-03,
ETH,ethiopia,1985,180400,available,2026-03-03,
ETH,ethiopia,1986,132400,available,2026-03-03,
ETH,ethiopia,1987,310500,available,2026-03-03,
ETH,ethiopia,1988,679532,available,2026-03-03,
ETH,ethiopia,1989,710166,available,2026-03-03,
ETH,ethiopia,1990,773764,available,2026-03-03,
ETH,ethiopia,1991,529620,available,2026-03-03,
ETH,ethiopia,1992,431824,available,2026-03-03,
ETH,ethiopia,1993,272632,available,2026-03-03,
ETH,ethiopia,1994,348074,available,2026-03-03,
ETH,ethiopia,1995,393479,available,2026-03-03,
ETH,ethiopia,1996,390528,available,2026-03-03,
ETH,ethiopia,1997,323064,available,2026-03-03,
ETH,ethiopia,1998,262158,available,2026-03-03,
ETH,ethiopia,1999,257683,available,2026-03-03,
ETH,ethiopia,2000,197960,available,2026-03-03,
ETH,ethiopia,2001,152554,available,2026-03-03,
ETH,ethiopia,2002,132939,available,2026-03-03,
ETH,ethiopia,2003,130274,available,2026-03-03,
ETH,ethiopia,2004,115979,available,2026-03-03,
ETH,ethiopia,2005,100813,available,2026-03-03,
ETH,ethiopia,2006,96975,available,2026-03-03,
ETH,ethiopia,2007,85179,available,2026-03-03,
ETH,ethiopia,2008,83573,available,2026-03-03,
ETH,ethiopia,2009,121880,available,2026-03-03,
ETH,ethiopia,2010,154288,available,2026-03-03,
ETH,ethiopia,2011,288839,available,2026-03-03,
ETH,ethiopia,2012,376388,available,2026-03-03,
ETH,ethiopia,2013,433933,available,2026-03-03,
ETH,ethiopia,2014,659520,available,2026-03-03,
ETH,ethiopia,2015,736081,available,2026-03-03,
ETH,ethiopia,2016,791631,available,2026-03-03,
ETH,ethiopia,2017,889412,available,2026-03-03,
ETH,ethiopia,2018,903226,available,2026-03-03,
