iso3,country_id,year,value,status,download_date,notes
AFG,afghanistan,1979,500000,available,2026-03-03,
AFG,afghanistan,1980,1734921,available,2026-03-03,
AFG,afghanistan,1981,3879984,available,2026-03-03,
AFG,afghanistan,1982,4488214,available,2026-03-03,
AFG,afghanistan,1983,4712735,available,2026-03-03,
AFG,afghanistan,1984,4417651,available,2026-03-03,
AFG,afghanistan,1985,4653193,available,2026-03-03,
AFG,afghanistan,1986,5094283,available,2026-03-03,
AFG,afghanistan,1987,5511740,available,2026-03-03,
AFG,afghanistan,1988,5622982,available,2026-03-03,
AFG,afghanistan,1989,5643989,available,2026-03-03,
AFG,afghanistan,1990,6339095,available,2026-03-03,
AFG,afghanistan,1991,6306301,available,2026-03-03,
AFG,afghanistan,1992,4552153,available,2026-03-03,
AFG,afghanistan,1993,3374575,available,2026-03-03,
AFG,afghanistan,1994,2731166,available,2026-03-03,
AFG,afghanistan,1995,2679132,available,2026-03-03,
AFG,afghanistan,1996,2674234,available,2026-03-03,
AFG,afghanistan,1997,2676675,available,2026-03-03,
AFG,afghanistan,1998,2667118,available,2026-03-03,
AFG,afghanistan,1999,2601690,available,2026-03-03,
AFG,afghanistan,2000,3587327,available,2026-03-03,
AFG,afghanistan,2001,3809763,available,2026-03-03,
AFG,afghanistan,2002,2510294,available,2026-03-03,
AFG,afghanistan,2003,2136039,available,2026-03-03,
AFG,afghanistan,2004,2414460,available,2026-03-03,
AFG,afghanistan,2005,2166139,available,2026-03-03,
AFG,afghanistan,2006,2107510,available,2026-03-03,
AFG,afghanistan,2007,3057655,available,2026-03-03,
AFG,afghanistan,2008,2833116,available,2026-03-03,
AFG,afghanistan,2009,2887114,available,2026-03-03,
AFG,afghanistan,2010,3054699,available,2026-03-03,
AFG,afghanistan,2011,2664423,available,2026-03-03,
AFG,afghanistan,2012,2586132,available,2026-03-03,
AFG,afghanistan,2013,2556483,available,2026-03-03,
AFG,afghanistan,2014,2596259,available,2026-03-03,
AFG,afghanistan,2015,2666294,available,2026-03-03,
AFG,afghanistan,2016,2501447,available,2026-03-03,
AFG,afghanistan,2017,2624265,available,2026-03-03,
AFG,afghanistan,2018,2681267,available,2026-03-03,
AFG,afghanistan,2019,2727556,available,2026-03-03,
AFG,afghanistan,2020,2594827,available,2026-03-03,
AFG,afghanistan,2021,2712869,available,2026-03-03,
AFG,afghanistan,2022,5661717,available,2026-03-03,
AFG,afghanistan,2023,6403144,available,2026-03-03,
AFG,afghanistan,2024,5766586,available,2026-03-03,
AFG,afghanistan,2025,4774083,available,2026-03-03,
ARM,armenia,1964,170,available,2026-03-03,
ARM,armenia,1968,200,available,2026-03-03,
ARM,armenia,1969,200,available,2026-03-03,
ARM,armenia,1970,200,available,2026-03-03,
ARM,armenia,1971,4070,available,2026-03-03,
ARM,armenia,1972,3500,available,2026-03-03,
ARM,armenia,1977,440,available,2026-03-03,
ARM,armenia,1978,420,available,2026-03-03,
ARM,armenia,1979,700,available,2026-03-03,
ARM,armenia,1980,333,available,2026-03-03,
ARM,armenia,1981,333,available,2026-03-03,
ARM,armenia,1982,733,available,2026-03-03,
ARM,armenia,1983,333,available,2026-03-03,
ARM,armenia,1984,333,available,2026-03-03,
ARM,armenia,1985,333,available,2026-03-03,
ARM,armenia,1986,528,available,2026-03-03,
ARM,armenia,1987,208,available,2026-03-03,
ARM,armenia,1988,300,available,2026-03-03,
ARM,armenia,1992,195000,available,2026-03-03,
ARM,armenia,1993,200116,available,2026-03-03,
ARM,armenia,1994,201837,available,2026-03-03,
ARM,armenia,1995,201439,available,2026-03-03,
ARM,armenia,1996,203232,available,2026-03-03,
ARM,armenia,1997,203690,available,2026-03-03,
ARM,armenia,1998,193147,available,2026-03-03,
ARM,armenia,1999,193228,available,2026-03-03,
ARM,armenia,2000,5787,available,2026-03-03,
ARM,armenia,2001,7206,available,2026-03-03,
ARM,armenia,2002,13244,available,2026-03-03,
ARM,armenia,2003,13158,available,2026-03-03,
ARM,armenia,2004,13409,available,2026-03-03,
ARM,armenia,2005,13965,available,2026-03-03,
ARM,armenia,2006,14913,available,2026-03-03,
ARM,armenia,2007,15435,available,2026-03-03,
ARM,armenia,2008,16333,available,2026-03-03,
ARM,armenia,2009,18004,available,2026-03-03,
ARM,armenia,2010,17553,available,2026-03-03,
ARM,armenia,2011,16491,available,2026-03-03,
ARM,armenia,2012,15937,available,2026-03-03,
ARM,armenia,2013,11995,available,2026-03-03,
ARM,armenia,2014,11839,available,2026-03-03,
ARM,armenia,2015,11211,available,2026-03-03,
ARM,armenia,2016,10707,available,2026-03-03,
ARM,armenia,2017,10786,available,2026-03-03,
ARM,armenia,2018,11040,available,2026-03-03,
ARM,armenia,2019,10962,available,2026-03-03,
ARM,armenia,2020,10334,available,2026-03-03,
ARM,armenia,2021,12255,available,2026-03-03,
ARM,armenia,2022,14868,available,2026-03-03,
ARM,armenia,2023,15072,available,2026-03-03,
ARM,armenia,2024,15933,available,2026-03-03,
ARM,armenia,2025,15779,available,2026-03-03,
COD,drc,1964,58700,available,2026-03-03,
COD,drc,1965,47000,available,2026-03-03,
COD,drc,1966,74800,available,2026-03-03,
COD,drc,1967,78190,available,2026-03-03,
COD,drc,1968,67330,available,2026-03-03,
COD,drc,1969,54530,available,2026-03-03,
COD,drc,1970,51650,available,2026-03-03,
COD,drc,1971,43470,available,2026-03-03,
COD,drc,1972,43920,available,2026-03-03,
COD,drc,1973,43380,available,2026-03-03,
COD,drc,1974,39820,available,2026-03-03,
COD,drc,1975,39410,available,2026-03-03,
COD,drc,1976,44070,available,2026-03-03,
COD,drc,1977,264940,available,2026-03-03,
COD,drc,1978,151560,available,2026-03-03,
COD,drc,1979,70450,available,2026-03-03,
COD,drc,1980,116750,available,2026-03-03,
COD,drc,1981,118970,available,2026-03-03,
COD,drc,1982,92455,available,2026-03-03,
COD,drc,1983,101571,available,2026-03-03,
COD,drc,1984,94512,available,2026-03-03,
COD,drc,1985,86418,available,2026-03-03,
COD,drc,1986,96619,available,2026-03-03,
COD,drc,1987,69428,available,2026-03-03,
COD,drc,1988,103537,available,2026-03-03,
COD,drc,1989,100786,available,2026-03-03,
COD,drc,1990,67423,available,2026-03-03,
COD,drc,1991,65816,available,2026-03-03,
COD,drc,1992,81269,available,2026-03-03,
COD,drc,1993,74817,available,2026-03-03,
COD,drc,1994,73279,available,2026-03-03,
COD,drc,1995,89742,available,2026-03-03,
COD,drc,1996,158794,available,2026-03-03,
COD,drc,1997,173994,available,2026-03-03,
COD,drc,1998,158828,available,2026-03-03,
COD,drc,1999,255942,available,2026-03-03,
COD,drc,2000,371705,available,2026-03-03,
COD,drc,2001,392142,available,2026-03-03,
COD,drc,2002,421355,available,2026-03-03,
COD,drc,2003,453465,available,2026-03-03,
COD,drc,2004,462186,available,2026-03-03,
COD,drc,2005,430919,available,2026-03-03,
COD,drc,2006,401908,available,2026-03-03,
COD,drc,2007,370372,available,2026-03-03,
COD,drc,2008,367991,available,2026-03-03,
COD,drc,2009,455852,available,2026-03-03,
COD,drc,2010,476691,available,2026-03-03,
COD,drc,2011,491470,available,2026-03-03,
COD,drc,2012,509275,available,2026-03-03,
COD,drc,2013,499551,available,2026-03-03,
COD,drc,2014,516765,available,2026-03-03,
COD,drc,2015,541487,available,2026-03-03,
COD,drc,2016,537474,available,2026-03-03,
COD,drc,2017,620805,available,2026-03-03,
COD,drc,2018,720302,available,2026-03-03,
COD,drc,2019,802974,available,2026-03-03,
COD,drc,2020,840392,available,2026-03-03,
COD,drc,2021,908401,available,2026-03-03,
COD,drc,2022,932680,available,2026-03-03,
COD,drc,2023,978209,available,2026-03-03,
COD,drc,2024,1060086,available,2026-03-03,
COD,drc,2025,1146706,available,2026-03-03,
ETH,ethiopia,1967,28600,available,2026-03-03,
ETH,ethiopia,1968,31000,available,2026-03-03,
ETH,ethiopia,1969,31000,available,2026-03-03,
ETH,ethiopia,1970,54350,available,2026-03-03,
ETH,ethiopia,1971,55200,available,2026-03-03,
ETH,ethiopia,1972,44640,available,2026-03-03,
ETH,ethiopia,1973,46300,available,2026-03-03,
ETH,ethiopia,1974,49200,available,2026-03-03,
ETH,ethiopia,1975,91410,available,2026-03-03,
ETH,ethiopia,1976,105700,available,2026-03-03,
ETH,ethiopia,1977,655350,available,2026-03-03,
ETH,ethiopia,1978,887670,available,2026-03-03,
ETH,ethiopia,1979,1623870,available,2026-03-03,
ETH,ethiopia,1980,2567998,available,2026-03-03,
ETH,ethiopia,1981,1363266,available,2026-03-03,
ETH,ethiopia,1982,1334915,available,2026-03-03,
ETH,ethiopia,1983,1351917,available,2026-03-03,
ETH,ethiopia,1984,1546134,available,2026-03-03,
ETH,ethiopia,1985,1749309,available,2026-03-03,
ETH,ethiopia,1986,1534548,available,2026-03-03,
ETH,ethiopia,1987,1487663,available,2026-03-03,
ETH,ethiopia,1988,1513307,available,2026-03-03,
ETH,ethiopia,1989,1474919,available,2026-03-03,
ETH,ethiopia,1990,1345928,available,2026-03-03,
ETH,ethiopia,1991,251243,available,2026-03-03,
ETH,ethiopia,1992,313131,available,2026-03-03,
ETH,ethiopia,1993,251828,available,2026-03-03,
ETH,ethiopia,1994,226429,available,2026-03-03,
ETH,ethiopia,1995,100986,available,2026-03-03,
ETH,ethiopia,1996,96264,available,2026-03-03,
ETH,ethiopia,1997,84386,available,2026-03-03,
ETH,ethiopia,1998,70663,available,2026-03-03,
ETH,ethiopia,1999,71040,available,2026-03-03,
ETH,ethiopia,2000,66396,available,2026-03-03,
ETH,ethiopia,2001,58980,available,2026-03-03,
ETH,ethiopia,2002,61235,available,2026-03-03,
ETH,ethiopia,2003,62674,available,2026-03-03,
ETH,ethiopia,2004,63153,available,2026-03-03,
ETH,ethiopia,2005,65447,available,2026-03-03,
ETH,ethiopia,2006,74007,available,2026-03-03,
ETH,ethiopia,2007,59845,available,2026-03-03,
ETH,ethiopia,2008,63863,available,2026-03-03,
ETH,ethiopia,2009,62877,available,2026-03-03,
ETH,ethiopia,2010,68838,available,2026-03-03,
ETH,ethiopia,2011,70601,available,2026-03-03,
ETH,ethiopia,2012,74964,available,2026-03-03,
ETH,ethiopia,2013,77109,available,2026-03-03,
ETH,ethiopia,2014,86857,available,2026-03-03,
ETH,ethiopia,2015,85839,available,2026-03-03,
ETH,ethiopia,2016,83958,available,2026-03-03,
ETH,ethiopia,2017,87448,available,2026-03-03,
ETH,ethiopia,2018,92232,available,2026-03-03,
ETH,ethiopia,2019,93467,available,2026-03-03,
ETH,ethiopia,2020,151426,available,2026-03-03,
ETH,ethiopia,2021,149130,available,2026-03-03,
ETH,ethiopia,2022,149603,available,2026-03-03,
ETH,ethiopia,2023,158344,available,2026-03-03,
ETH,ethiopia,2024,164423,available,2026-03-03,
ETH,ethiopia,2025,166227,available,2026-03-03,
GEO,georgia,1993,6010,available,2026-03-03,
GEO,georgia,1994,5114,available,2026-03-03,
GEO,georgia,1995,305,available,2026-03-03,
GEO,georgia,1996,48485,available,2026-03-03,
GEO,georgia,1997,47159,available,2026-03-03,
GEO,georgia,1998,35665,available,2026-03-03,
GEO,georgia,1999,29873,available,2026-03-03,
GEO,georgia,2000,21818,available,2026-03-03,
GEO,georgia,2001,17490,available,2026-03-03,
GEO,georgia,2002,16970,available,2026-03-03,
GEO,georgia,2003,12488,available,2026-03-03,
GEO,georgia,2004,6620,available,2026-03-03,
GEO,georgia,2005,7289,available,2026-03-03,
GEO,georgia,2006,6337,available,2026-03-03,
GEO,georgia,2007,11805,available,2026-03-03,
GEO,georgia,2008,12597,available,2026-03-03,
GEO,georgia,2009,15015,available,2026-03-03,
