iso3,country_id,year,value,status,download_date,notes
AFG,afghanistan,1979,0,available,2026-03-03,
AFG,afghanistan,1980,0,available,2026-03-03,
AFG,afghanistan,1981,0,available,2026-03-03,
AFG,afghanistan,1982,540,available,2026-03-03,
AFG,afghanistan,1983,430,available,2026-03-03,
AFG,afghanistan,1984,1220,available,2026-03-03,
AFG,afghanistan,1985,1150,available,2026-03-03,
AFG,afghanistan,1986,1170,available,2026-03-03,
AFG,afghanistan,1987,0,available,2026-03-03,
AFG,afghanistan,1988,660,available,2026-03-03,
AFG,afghanistan,1989,920,available,2026-03-03,
AFG,afghanistan,1990,21580,available,2026-03-03,
AFG,afghanistan,1991,178270,available,2026-03-03,
AFG,afghanistan,1992,1576933,available,2026-03-03,
AFG,afghanistan,1993,1881,available,2026-03-03,
AFG,afghanistan,1994,329327,available,2026-03-03,
AFG,afghanistan,1995,348343,available,2026-03-03,
AFG,afghanistan,1996,158715,available,2026-03-03,
AFG,afghanistan,1997,86500,available,2026-03-03,
AFG,afghanistan,1998,107045,available,2026-03-03,
AFG,afghanistan,1999,253028,available,2026-03-03,
AFG,afghanistan,2000,292484,available,2026-03-03,
AFG,afghanistan,2001,26092,available,2026-03-03,
AFG,afghanistan,2002,1957955,available,2026-03-03,
AFG,afghanistan,2003,645862,available,2026-03-03,
AFG,afghanistan,2004,879780,available,2026-03-03,
AFG,afghanistan,2005,752086,available,2026-03-03,
AFG,afghanistan,2006,387912,available,2026-03-03,
AFG,afghanistan,2007,373855,available,2026-03-03,
AFG,afghanistan,2008,278483,available,2026-03-03,
AFG,afghanistan,2009,57577,available,2026-03-03,
AFG,afghanistan,2010,118031,available,2026-03-03,
AFG,afghanistan,2011,71145,available,2026-03-03,
AFG,afghanistan,2012,98611,available,2026-03-03,
AFG,afghanistan,2013,39665,available,2026-03-03,
AFG,afghanistan,2014,17815,available,2026-03-03,
AFG,afghanistan,2015,61381,available,2026-03-03,
AFG,afghanistan,2016,383950,available,2026-03-03,
AFG,afghanistan,2017,60541,available,2026-03-03,
AFG,afghanistan,2018,16218,available,2026-03-03,
AFG,afghanistan,2019,8404,available,2026-03-03,
AFG,afghanistan,2020,2311,available,2026-03-03,
AFG,afghanistan,2021,1429,available,2026-03-03,
AFG,afghanistan,2022,6506,available,2026-03-03,
AFG,afghanistan,2023,57530,available,2026-03-03,
AFG,afghanistan,2024,364443,available,2026-03-03,
AFG,afghanistan,2025,874837,available,2026-03-03,
ARM,armenia,1964,0,available,2026-03-03,
ARM,armenia,1968,0,available,2026-03-03,
ARM,armenia,1969,0,available,2026-03-03,
ARM,armenia,1970,0,available,2026-03-03,
ARM,armenia,1971,0,available,2026-03-03,
ARM,armenia,1972,0,available,2026-03-03,
ARM,armenia,1977,0,available,2026-03-03,
ARM,armenia,1978,0,available,2026-03-03,
ARM,armenia,1979,0,available,2026-03-03,
ARM,armenia,1980,0,available,2026-03-03,
ARM,armenia,1981,0,available,2026-03-03,
ARM,armenia,1982,0,available,2026-03-03,
ARM,armenia,1983,0,available,2026-03-03,
ARM,armenia,1984,0,available,2026-03-03,
ARM,armenia,1985,0,available,2026-03-03,
ARM,armenia,1986,0,available,2026-03-03,
ARM,armenia,1987,0,available,2026-03-03,
ARM,armenia,1988,0,available,2026-03-03,
ARM,armenia,1992,0,available,2026-03-03,
ARM,armenia,1993,0,available,2026-03-03,
ARM,armenia,1994,0,available,2026-03-03,
ARM,armenia,1995,0,available,2026-03-03,
ARM,armenia,1996,14,available,2026-03-03,
ARM,armenia,1997,0,available,2026-03-03,
ARM,armenia,1998,5,available,2026-03-03,
ARM,armenia,1999,0,available,2026-03-03,
ARM,armenia,2000,0,available,2026-03-03,
ARM,armenia,2001,0,available,2026-03-03,
ARM,armenia,2002,0,available,2026-03-03,
ARM,armenia,2003,0,available,2026-03-03,
ARM,armenia,2004,0,available,2026-03-03,
ARM,armenia,2005,0,available,2026-03-03,
ARM,armenia,2006,0,available,2026-03-03,
ARM,armenia,2007,0,available,2026-03-03,
ARM,armenia,2008,0,available,2026-03-03,
ARM,armenia,2009,0,available,2026-03-03,
ARM,armenia,2010,0,available,2026-03-03,
ARM,armenia,2011,0,available,2026-03-03,
ARM,armenia,2012,0,available,2026-03-03,
ARM,armenia,2013,0,available,2026-03-03,
ARM,armenia,2014,5,available,2026-03-03,
ARM,armenia,2015,0,available,2026-03-03,
ARM,armenia,2016,0,available,2026-03-03,
ARM,armenia,2017,0,available,2026-03-03,
ARM,armenia,2018,0,available,2026-03-03,
ARM,armenia,2019,0,available,2026-03-03,
ARM,armenia,2020,0,available,2026-03-03,
ARM,armenia,2021,0,available,2026-03-03,
ARM,armenia,2022,0,available,2026-03-03,
ARM,armenia,2023,0,available,2026-03-03,
ARM,armenia,2024,18,available,2026-03-03,
ARM,armenia,2025,5,available,2026-03-03,
COD,drc,1964,0,available,2026-03-03,
COD,drc,1965,0,available,2026-03-03,
COD,drc,1966,0,available,2026-03-03,
COD,drc,1967,3700,available,2026-03-03,
COD,drc,1968,9000,available,2026-03-03,
COD,drc,1969,1900,available,2026-03-03,
COD,drc,1970,70,available,2026-03-03,
COD,drc,1971,8790,available,2026-03-03,
COD,drc,1972,700,available,2026-03-03,
COD,drc,1973,310,available,2026-03-03,
COD,drc,1974,0,available,2026-03-03,
COD,drc,1975,0,available,2026-03-03,
COD,drc,1976,0,available,2026-03-03,
COD,drc,1977,470,available,2026-03-03,
COD,drc,1978,140520,available,2026-03-03,
COD,drc,1979,82910,available,2026-03-03,
COD,drc,1980,1000,available,2026-03-03,
COD,drc,1981,400,available,2026-03-03,
COD,drc,1982,0,available,2026-03-03,
COD,drc,1983,4660,available,2026-03-03,
COD,drc,1984,7840,available,2026-03-03,
COD,drc,1985,2530,available,2026-03-03,
COD,drc,1986,3060,available,2026-03-03,
COD,drc,1987,940,available,2026-03-03,
COD,drc,1988,50,available,2026-03-03,
COD,drc,1989,3210,available,2026-03-03,
COD,drc,1990,80,available,2026-03-03,
COD,drc,1991,0,available,2026-03-03,
COD,drc,1992,15260,available,2026-03-03,
COD,drc,1993,120,available,2026-03-03,
COD,drc,1994,509,available,2026-03-03,
COD,drc,1995,2783,available,2026-03-03,
COD,drc,1996,1811,available,2026-03-03,
COD,drc,1997,45115,available,2026-03-03,
COD,drc,1998,66204,available,2026-03-03,
COD,drc,1999,17283,available,2026-03-03,
COD,drc,2000,14001,available,2026-03-03,
COD,drc,2001,1138,available,2026-03-03,
COD,drc,2002,13481,available,2026-03-03,
COD,drc,2003,3161,available,2026-03-03,
COD,drc,2004,13843,available,2026-03-03,
COD,drc,2005,39046,available,2026-03-03,
COD,drc,2006,41228,available,2026-03-03,
COD,drc,2007,59839,available,2026-03-03,
COD,drc,2008,54040,available,2026-03-03,
COD,drc,2009,44291,available,2026-03-03,
COD,drc,2010,16632,available,2026-03-03,
COD,drc,2011,21079,available,2026-03-03,
COD,drc,2012,71922,available,2026-03-03,
COD,drc,2013,68417,available,2026-03-03,
COD,drc,2014,25148,available,2026-03-03,
COD,drc,2015,8535,available,2026-03-03,
COD,drc,2016,13222,available,2026-03-03,
COD,drc,2017,27,available,2026-03-03,
COD,drc,2018,6623,available,2026-03-03,
COD,drc,2019,23860,available,2026-03-03,
COD,drc,2020,390,available,2026-03-03,
COD,drc,2021,715,available,2026-03-03,
COD,drc,2022,11253,available,2026-03-03,
COD,drc,2023,1808,available,2026-03-03,
COD,drc,2024,575,available,2026-03-03,
COD,drc,2025,210,available,2026-03-03,
ETH,ethiopia,1967,0,available,2026-03-03,
ETH,ethiopia,1968,0,available,2026-03-03,
ETH,ethiopia,1969,0,available,2026-03-03,
ETH,ethiopia,1970,0,available,2026-03-03,
ETH,ethiopia,1971,0,available,2026-03-03,
ETH,ethiopia,1972,8090,available,2026-03-03,
ETH,ethiopia,1973,0,available,2026-03-03,
