iso3,country_id,year,value,status,download_date,notes
AFG,afghanistan,1990,57686,available,2026-03-03,
AFG,afghanistan,1995,71522,available,2026-03-03,
AFG,afghanistan,2000,75917,available,2026-03-03,
AFG,afghanistan,2005,87314,available,2026-03-03,
AFG,afghanistan,2010,102276,available,2026-03-03,
AFG,afghanistan,2015,339432,available,2026-03-03,
AFG,afghanistan,2020,144098,available,2026-03-03,
AFG,afghanistan,2024,98110,available,2026-03-03,
ARM,armenia,1990,433541,available,2026-03-03,
ARM,armenia,1995,622042,available,2026-03-03,
ARM,armenia,2000,588242,available,2026-03-03,
ARM,armenia,2005,476812,available,2026-03-03,
ARM,armenia,2010,210873,available,2026-03-03,
ARM,armenia,2015,190896,available,2026-03-03,
ARM,armenia,2020,207139,available,2026-03-03,
ARM,armenia,2024,274645,available,2026-03-03,
BFA,burkina_faso,1990,349652,available,2026-03-03,
BFA,burkina_faso,1995,464104,available,2026-03-03,
BFA,burkina_faso,2000,520363,available,2026-03-03,
BFA,burkina_faso,2005,597658,available,2026-03-03,
BFA,burkina_faso,2010,674438,available,2026-03-03,
BFA,burkina_faso,2015,704676,available,2026-03-03,
BFA,burkina_faso,2020,723989,available,2026-03-03,
BFA,burkina_faso,2024,739820,available,2026-03-03,
CAF,car,1990,67234,available,2026-03-03,
CAF,car,1995,99712,available,2026-03-03,
CAF,car,2000,123529,available,2026-03-03,
CAF,car,2005,96409,available,2026-03-03,
CAF,car,2010,94685,available,2026-03-03,
CAF,car,2015,81568,available,2026-03-03,
CAF,car,2020,88546,available,2026-03-03,
CAF,car,2024,94556,available,2026-03-03,
CIV,cote_divoire,1990,1822374,available,2026-03-03,
CIV,cote_divoire,1995,1992981,available,2026-03-03,
CIV,cote_divoire,2000,2157339,available,2026-03-03,
CIV,cote_divoire,2005,2308068,available,2026-03-03,
CIV,cote_divoire,2010,2458796,available,2026-03-03,
CIV,cote_divoire,2015,2609525,available,2026-03-03,
CIV,cote_divoire,2020,2760255,available,2026-03-03,
CIV,cote_divoire,2024,2880839,available,2026-03-03,
COD,drc,1990,754194,available,2026-03-03,
COD,drc,1995,1816963,available,2026-03-03,
COD,drc,2000,744387,available,2026-03-03,
COD,drc,2005,623009,available,2026-03-03,
COD,drc,2010,589882,available,2026-03-03,
COD,drc,2015,810018,available,2026-03-03,
COD,drc,2020,952871,available,2026-03-03,
COD,drc,2024,1085090,available,2026-03-03,
DZA,algeria,1990,273954,available,2026-03-03,
DZA,algeria,1995,262032,available,2026-03-03,
DZA,algeria,2000,250110,available,2026-03-03,
DZA,algeria,2005,197728,available,2026-03-03,
DZA,algeria,2010,217268,available,2026-03-03,
DZA,algeria,2015,239473,available,2026-03-03,
DZA,algeria,2020,250378,available,2026-03-03,
DZA,algeria,2024,259458,available,2026-03-03,
EGY,egypt,1990,144713,available,2026-03-03,
EGY,egypt,1995,160802,available,2026-03-03,
EGY,egypt,2000,179364,available,2026-03-03,
EGY,egypt,2005,288944,available,2026-03-03,
EGY,egypt,2010,323177,available,2026-03-03,
EGY,egypt,2015,499292,available,2026-03-03,
EGY,egypt,2020,602472,available,2026-03-03,
EGY,egypt,2024,1139820,available,2026-03-03,
ETH,ethiopia,1990,875325,available,2026-03-03,
ETH,ethiopia,1995,478712,available,2026-03-03,
ETH,ethiopia,2000,311441,available,2026-03-03,
ETH,ethiopia,2005,170773,available,2026-03-03,
ETH,ethiopia,2010,227078,available,2026-03-03,
ETH,ethiopia,2015,797374,available,2026-03-03,
ETH,ethiopia,2020,875170,available,2026-03-03,
ETH,ethiopia,2024,1168455,available,2026-03-03,
GEO,georgia,1990,304470,available,2026-03-03,
GEO,georgia,1995,152235,available,2026-03-03,
GEO,georgia,2000,76117,available,2026-03-03,
GEO,georgia,2005,71296,available,2026-03-03,
GEO,georgia,2010,73078,available,2026-03-03,
GEO,georgia,2015,76685,available,2026-03-03,
GEO,georgia,2020,79368,available,2026-03-03,
GEO,georgia,2024,81582,available,2026-03-03,
GHA,ghana,1990,164851,available,2026-03-03,
GHA,ghana,1995,252879,available,2026-03-03,
GHA,ghana,2000,191601,available,2026-03-03,
GHA,ghana,2005,309932,available,2026-03-03,
GHA,ghana,2010,337766,available,2026-03-03,
GHA,ghana,2015,414744,available,2026-03-03,
GHA,ghana,2020,476412,available,2026-03-03,
GHA,ghana,2024,532286,available,2026-03-03,
GMB,gambia,1990,118123,available,2026-03-03,
GMB,gambia,1995,150890,available,2026-03-03,
GMB,gambia,2000,182514,available,2026-03-03,
GMB,gambia,2005,181839,available,2026-03-03,
GMB,gambia,2010,185837,available,2026-03-03,
GMB,gambia,2015,192540,available,2026-03-03,
GMB,gambia,2020,215659,available,2026-03-03,
GMB,gambia,2024,236137,available,2026-03-03,
HRV,croatia,1990,475438,available,2026-03-03,
HRV,croatia,1995,674085,available,2026-03-03,
HRV,croatia,2000,585298,available,2026-03-03,
HRV,croatia,2005,579273,available,2026-03-03,
HRV,croatia,2010,573248,available,2026-03-03,
HRV,croatia,2015,561093,available,2026-03-03,
HRV,croatia,2020,528056,available,2026-03-03,
HRV,croatia,2024,527831,available,2026-03-03,
IDN,indonesia,1990,92058,available,2026-03-03,
IDN,indonesia,1995,114419,available,2026-03-03,
IDN,indonesia,2000,287645,available,2026-03-03,
IDN,indonesia,2005,87508,available,2026-03-03,
IDN,indonesia,2010,113288,available,2026-03-03,
IDN,indonesia,2015,192119,available,2026-03-03,
IDN,indonesia,2020,306702,available,2026-03-03,
IDN,indonesia,2024,445726,available,2026-03-03,
IRN,iran,1990,4291601,available,2026-03-03,
IRN,iran,1995,2937668,available,2026-03-03,
IRN,iran,2000,2476469,available,2026-03-03,
IRN,iran,2005,2552206,available,2026-03-03,
IRN,iran,2010,2722397,available,2026-03-03,
IRN,iran,2015,2729939,available,2026-03-03,
