country,year,dimension,indicator,score,source_type,data_status
iraq,1988,economic,gdp_per_capita,95.0,quantitative,partial
iraq,1988,economic,inflation,39.5,quantitative,partial
iraq,1988,economic,unemployment,80,qualitative,partial
iraq,1988,economic,trade_openness,60,qualitative,partial
iraq,1988,economic,fiscal_health,20,qualitative,partial
iraq,1988,economic,_dimension_score,58.9,aggregated,derived
iraq,1988,international,sanctions,95,qualitative,complete
iraq,1988,international,diplomatic_integration,80,qualitative,complete
iraq,1988,international,foreign_military,95,qualitative,complete
iraq,1988,international,fdi,20,qualitative,partial
iraq,1988,international,refugee_flows,80,qualitative,partial
iraq,1988,international,_dimension_score,74.0,aggregated,derived
iraq,1988,_composite,_composite_score,66.5,aggregated,derived
iraq,1989,economic,gdp_per_capita,95.0,quantitative,partial
iraq,1989,economic,inflation,39.5,quantitative,partial
iraq,1989,economic,unemployment,80,qualitative,partial
iraq,1989,economic,trade_openness,60,qualitative,partial
iraq,1989,economic,fiscal_health,20,qualitative,partial
iraq,1989,economic,_dimension_score,58.9,aggregated,derived
iraq,1989,international,sanctions,95,qualitative,complete
iraq,1989,international,diplomatic_integration,80,qualitative,complete
iraq,1989,international,foreign_military,95,qualitative,complete
iraq,1989,international,fdi,20,qualitative,partial
iraq,1989,international,refugee_flows,80,qualitative,partial
iraq,1989,international,_dimension_score,74.0,aggregated,derived
iraq,1989,_composite,_composite_score,66.5,aggregated,derived
iraq,1990,economic,gdp_per_capita,95.0,quantitative,partial
iraq,1990,economic,inflation,19.5,quantitative,partial
iraq,1990,economic,unemployment,60,qualitative,partial
iraq,1990,economic,trade_openness,20,qualitative,partial
iraq,1990,economic,fiscal_health,5,qualitative,partial
iraq,1990,economic,_dimension_score,39.9,aggregated,derived
iraq,1990,international,sanctions,20,qualitative,complete
iraq,1990,international,diplomatic_integration,40,qualitative,complete
iraq,1990,international,foreign_military,95,qualitative,complete
iraq,1990,international,fdi,20,qualitative,partial
iraq,1990,international,refugee_flows,60,qualitative,partial
iraq,1990,international,_dimension_score,47.0,aggregated,derived
iraq,1990,_composite,_composite_score,43.5,aggregated,derived
iraq,1991,economic,gdp_per_capita,95.0,quantitative,partial
iraq,1991,economic,inflation,5,qualitative,partial
iraq,1991,economic,unemployment,40,qualitative,partial
iraq,1991,economic,trade_openness,5,qualitative,partial
iraq,1991,economic,fiscal_health,5,qualitative,partial
iraq,1991,economic,_dimension_score,30.0,aggregated,derived
iraq,1991,international,sanctions,20,qualitative,complete
iraq,1991,international,diplomatic_integration,20,qualitative,complete
iraq,1991,international,foreign_military,5,qualitative,complete
iraq,1991,international,fdi,19.5,quantitative,complete
iraq,1991,international,refugee_flows,19.5,quantitative,complete
iraq,1991,international,_dimension_score,16.8,aggregated,derived
iraq,1991,_composite,_composite_score,23.4,aggregated,derived
iraq,1992,economic,gdp_per_capita,95.0,quantitative,partial
iraq,1992,economic,inflation,5,qualitative,partial
iraq,1992,economic,unemployment,40,qualitative,partial
iraq,1992,economic,trade_openness,5,qualitative,partial
iraq,1992,economic,fiscal_health,5,qualitative,partial
iraq,1992,economic,_dimension_score,30.0,aggregated,derived
iraq,1992,international,sanctions,20,qualitative,complete
iraq,1992,international,diplomatic_integration,20,qualitative,complete
iraq,1992,international,foreign_military,40,qualitative,complete
iraq,1992,international,fdi,19.5,quantitative,complete
iraq,1992,international,refugee_flows,40,qualitative,partial
iraq,1992,international,_dimension_score,27.9,aggregated,derived
iraq,1992,_composite,_composite_score,28.9,aggregated,derived
iraq,1993,economic,gdp_per_capita,95.0,quantitative,partial
iraq,1993,economic,inflation,5,qualitative,partial
iraq,1993,economic,unemployment,20,qualitative,partial
iraq,1993,economic,trade_openness,5,qualitative,partial
iraq,1993,economic,fiscal_health,5,qualitative,partial
iraq,1993,economic,_dimension_score,26.0,aggregated,derived
iraq,1993,international,sanctions,20,qualitative,complete
iraq,1993,international,diplomatic_integration,20,qualitative,complete
iraq,1993,international,foreign_military,40,qualitative,complete
iraq,1993,international,fdi,19.5,quantitative,complete
iraq,1993,international,refugee_flows,40,qualitative,partial
iraq,1993,international,_dimension_score,27.9,aggregated,derived
iraq,1993,_composite,_composite_score,26.9,aggregated,derived
iraq,1994,economic,gdp_per_capita,95.0,quantitative,partial
iraq,1994,economic,inflation,5,qualitative,partial
iraq,1994,economic,unemployment,20,qualitative,partial
iraq,1994,economic,trade_openness,5,qualitative,partial
iraq,1994,economic,fiscal_health,5,qualitative,partial
iraq,1994,economic,_dimension_score,26.0,aggregated,derived
iraq,1994,international,sanctions,20,qualitative,complete
iraq,1994,international,diplomatic_integration,20,qualitative,complete
iraq,1994,international,foreign_military,40,qualitative,complete
iraq,1994,international,fdi,19.5,quantitative,complete
iraq,1994,international,refugee_flows,60,qualitative,partial
iraq,1994,international,_dimension_score,31.9,aggregated,derived
iraq,1994,_composite,_composite_score,28.9,aggregated,derived
iraq,1995,economic,gdp_per_capita,95.0,quantitative,partial
iraq,1995,economic,inflation,20,qualitative,partial
iraq,1995,economic,unemployment,20,qualitative,partial
iraq,1995,economic,trade_openness,5,qualitative,partial
iraq,1995,economic,fiscal_health,5,qualitative,partial
iraq,1995,economic,_dimension_score,29.0,aggregated,derived
iraq,1995,international,sanctions,20,qualitative,complete
iraq,1995,international,diplomatic_integration,20,qualitative,complete
iraq,1995,international,foreign_military,40,qualitative,complete
iraq,1995,international,fdi,19.5,quantitative,complete
iraq,1995,international,refugee_flows,60,qualitative,partial
iraq,1995,international,_dimension_score,31.9,aggregated,derived
iraq,1995,_composite,_composite_score,30.4,aggregated,derived
iraq,1996,economic,gdp_per_capita,95.0,quantitative,partial
iraq,1996,economic,inflation,20,qualitative,partial
iraq,1996,economic,unemployment,20,qualitative,partial
iraq,1996,economic,trade_openness,20,qualitative,partial
iraq,1996,economic,fiscal_health,5,qualitative,partial
