country,year,dimension,indicator,score,source_type,data_status
afghanistan,1986,population_mobility,net_migration,17,qualitative,complete
afghanistan,1986,population_mobility,_dimension_score,17,aggregated,derived
afghanistan,1986,social,life_expectancy,0,quantitative,complete
afghanistan,1986,social,infant_mortality,0,quantitative,complete
afghanistan,1986,social,_dimension_score,0,aggregated,derived
afghanistan,1986,_composite,_composite_score,8,aggregated,derived
afghanistan,1987,population_mobility,net_migration,17,qualitative,complete
afghanistan,1987,population_mobility,_dimension_score,17,aggregated,derived
afghanistan,1987,social,life_expectancy,0,quantitative,complete
afghanistan,1987,social,infant_mortality,0,quantitative,complete
afghanistan,1987,social,_dimension_score,0,aggregated,derived
afghanistan,1987,_composite,_composite_score,8,aggregated,derived
afghanistan,1988,population_mobility,net_migration,52,qualitative,complete
afghanistan,1988,population_mobility,_dimension_score,52,aggregated,derived
afghanistan,1988,social,life_expectancy,6,quantitative,complete
afghanistan,1988,social,infant_mortality,1,quantitative,complete
afghanistan,1988,social,_dimension_score,4,aggregated,derived
afghanistan,1988,_composite,_composite_score,28,aggregated,derived
afghanistan,1989,population_mobility,net_migration,52,qualitative,complete
afghanistan,1989,population_mobility,_dimension_score,52,aggregated,derived
afghanistan,1989,social,life_expectancy,9,quantitative,complete
afghanistan,1989,social,infant_mortality,1,quantitative,complete
afghanistan,1989,social,_dimension_score,5,aggregated,derived
afghanistan,1989,_composite,_composite_score,28,aggregated,derived
afghanistan,1990,population_mobility,net_migration,17,qualitative,complete
afghanistan,1990,population_mobility,_dimension_score,17,aggregated,derived
afghanistan,1990,social,life_expectancy,10,quantitative,complete
afghanistan,1990,social,infant_mortality,1,quantitative,complete
afghanistan,1990,social,internet_users,0,quantitative,complete
afghanistan,1990,social,hdi,28,quantitative,complete
afghanistan,1990,social,_dimension_score,10,aggregated,derived
afghanistan,1990,_composite,_composite_score,14,aggregated,derived
afghanistan,1991,economic,youth_unemployment,60,quantitative,complete
afghanistan,1991,economic,_dimension_score,60,aggregated,derived
afghanistan,1991,population_mobility,net_migration,52,qualitative,complete
afghanistan,1991,population_mobility,_dimension_score,52,aggregated,derived
afghanistan,1991,social,life_expectancy,11,quantitative,complete
afghanistan,1991,social,infant_mortality,1,quantitative,complete
afghanistan,1991,social,hdi,29,quantitative,complete
afghanistan,1991,social,_dimension_score,14,aggregated,derived
