country,year,dimension,indicator,score,source_type,data_status
croatia,1985,political,territorial_control,,,missing
croatia,1985,political,political_violence,,,missing
croatia,1985,political,institutional_functioning,,,missing
croatia,1985,political,civil_liberties,,,missing
croatia,1985,political,elite_cohesion,,,missing
croatia,1985,political,_dimension_score,,aggregated,derived
croatia,1985,economic,gdp_per_capita,,,missing
croatia,1985,economic,inflation,,,missing
croatia,1985,economic,unemployment,,,missing
croatia,1985,economic,trade_openness,,,missing
croatia,1985,economic,fiscal_health,,,missing
croatia,1985,economic,_dimension_score,,aggregated,derived
croatia,1985,international,sanctions,,,missing
croatia,1985,international,diplomatic_integration,,,missing
croatia,1985,international,foreign_military,,,missing
croatia,1985,international,fdi,,,missing
croatia,1985,international,refugee_flows,,,missing
croatia,1985,international,_dimension_score,,aggregated,derived
croatia,1985,transparency,budget_transparency,,,missing
croatia,1985,transparency,press_freedom,,,missing
croatia,1985,transparency,statistical_transparency,,,missing
croatia,1985,transparency,legal_transparency,,,missing
croatia,1985,transparency,extractive_transparency,,,missing
croatia,1985,transparency,_dimension_score,,aggregated,derived
croatia,1985,_composite,_composite_score,,aggregated,derived
croatia,1986,political,territorial_control,,,missing
croatia,1986,political,political_violence,,,missing
croatia,1986,political,institutional_functioning,,,missing
croatia,1986,political,civil_liberties,,,missing
croatia,1986,political,elite_cohesion,,,missing
croatia,1986,political,_dimension_score,,aggregated,derived
croatia,1986,economic,gdp_per_capita,,,missing
croatia,1986,economic,inflation,,,missing
croatia,1986,economic,unemployment,,,missing
croatia,1986,economic,trade_openness,,,missing
croatia,1986,economic,fiscal_health,,,missing
croatia,1986,economic,_dimension_score,,aggregated,derived
croatia,1986,international,sanctions,,,missing
croatia,1986,international,diplomatic_integration,,,missing
croatia,1986,international,foreign_military,,,missing
croatia,1986,international,fdi,,,missing
croatia,1986,international,refugee_flows,,,missing
croatia,1986,international,_dimension_score,,aggregated,derived
croatia,1986,transparency,budget_transparency,,,missing
croatia,1986,transparency,press_freedom,,,missing
croatia,1986,transparency,statistical_transparency,,,missing
croatia,1986,transparency,legal_transparency,,,missing
croatia,1986,transparency,extractive_transparency,,,missing
croatia,1986,transparency,_dimension_score,,aggregated,derived
croatia,1986,_composite,_composite_score,,aggregated,derived
croatia,1987,political,territorial_control,,,missing
croatia,1987,political,political_violence,,,missing
croatia,1987,political,institutional_functioning,,,missing
croatia,1987,political,civil_liberties,,,missing
croatia,1987,political,elite_cohesion,,,missing
croatia,1987,political,_dimension_score,,aggregated,derived
croatia,1987,economic,gdp_per_capita,,,missing
croatia,1987,economic,inflation,,,missing
croatia,1987,economic,unemployment,,,missing
croatia,1987,economic,trade_openness,,,missing
croatia,1987,economic,fiscal_health,,,missing
croatia,1987,economic,_dimension_score,,aggregated,derived
croatia,1987,international,sanctions,,,missing
croatia,1987,international,diplomatic_integration,,,missing
croatia,1987,international,foreign_military,,,missing
croatia,1987,international,fdi,,,missing
croatia,1987,international,refugee_flows,,,missing
croatia,1987,international,_dimension_score,,aggregated,derived
croatia,1987,transparency,budget_transparency,,,missing
croatia,1987,transparency,press_freedom,,,missing
croatia,1987,transparency,statistical_transparency,,,missing
croatia,1987,transparency,legal_transparency,,,missing
croatia,1987,transparency,extractive_transparency,,,missing
croatia,1987,transparency,_dimension_score,,aggregated,derived
croatia,1987,_composite,_composite_score,,aggregated,derived
croatia,1988,political,territorial_control,,,missing
croatia,1988,political,political_violence,,,missing
croatia,1988,political,institutional_functioning,,,missing
croatia,1988,political,civil_liberties,,,missing
croatia,1988,political,elite_cohesion,,,missing
croatia,1988,political,_dimension_score,,aggregated,derived
croatia,1988,economic,gdp_per_capita,,,missing
croatia,1988,economic,inflation,,,missing
croatia,1988,economic,unemployment,,,missing
croatia,1988,economic,trade_openness,,,missing
croatia,1988,economic,fiscal_health,,,missing
croatia,1988,economic,_dimension_score,,aggregated,derived
croatia,1988,international,sanctions,,,missing
croatia,1988,international,diplomatic_integration,,,missing
croatia,1988,international,foreign_military,,,missing
croatia,1988,international,fdi,,,missing
croatia,1988,international,refugee_flows,,,missing
croatia,1988,international,_dimension_score,,aggregated,derived
croatia,1988,transparency,budget_transparency,,,missing
croatia,1988,transparency,press_freedom,,,missing
croatia,1988,transparency,statistical_transparency,,,missing
croatia,1988,transparency,legal_transparency,,,missing
croatia,1988,transparency,extractive_transparency,,,missing
croatia,1988,transparency,_dimension_score,,aggregated,derived
croatia,1988,_composite,_composite_score,,aggregated,derived
