country,year,dimension,indicator,score,source_type,data_status
drc,1990,political,territorial_control,60,qualitative,partial
drc,1990,political,political_violence,80,qualitative,partial
drc,1990,political,institutional_functioning,20,qualitative,partial
drc,1990,political,civil_liberties,4.5,quantitative,complete
drc,1990,political,elite_cohesion,60,qualitative,partial
drc,1990,political,_dimension_score,44.9,aggregated,derived
drc,1990,economic,gdp_per_capita,95.0,quantitative,complete
drc,1990,economic,inflation,19.5,quantitative,complete
drc,1990,economic,unemployment,5,qualitative,partial
drc,1990,economic,trade_openness,59.5,quantitative,partial
drc,1990,economic,fiscal_health,5,qualitative,partial
drc,1990,economic,_dimension_score,36.8,aggregated,derived
drc,1990,international,sanctions,95,qualitative,complete
drc,1990,international,diplomatic_integration,60,qualitative,partial
drc,1990,international,foreign_military,80,qualitative,complete
drc,1990,international,fdi,19.5,quantitative,complete
drc,1990,international,_dimension_score,63.6,aggregated,derived
drc,1990,_composite,_composite_score,48.4,aggregated,derived
drc,1991,political,territorial_control,60,qualitative,partial
drc,1991,political,political_violence,80,qualitative,partial
drc,1991,political,institutional_functioning,40,qualitative,partial
drc,1991,political,civil_liberties,4.5,quantitative,complete
drc,1991,political,elite_cohesion,40,qualitative,partial
drc,1991,political,_dimension_score,44.9,aggregated,derived
drc,1991,economic,gdp_per_capita,95.0,quantitative,complete
drc,1991,economic,inflation,4.5,quantitative,complete
drc,1991,economic,unemployment,5,qualitative,partial
drc,1991,economic,trade_openness,59.5,quantitative,partial
drc,1991,economic,fiscal_health,5,qualitative,partial
drc,1991,economic,_dimension_score,33.8,aggregated,derived
drc,1991,international,sanctions,95,qualitative,complete
drc,1991,international,diplomatic_integration,60,qualitative,partial
drc,1991,international,foreign_military,80,qualitative,complete
drc,1991,international,fdi,19.5,quantitative,complete
drc,1991,international,_dimension_score,63.6,aggregated,derived
drc,1991,_composite,_composite_score,47.4,aggregated,derived
drc,1992,political,territorial_control,40,qualitative,partial
drc,1992,political,political_violence,60,qualitative,partial
drc,1992,political,institutional_functioning,40,qualitative,partial
drc,1992,political,civil_liberties,4.5,quantitative,complete
drc,1992,political,elite_cohesion,20,qualitative,partial
drc,1992,political,_dimension_score,32.9,aggregated,derived
drc,1992,economic,gdp_per_capita,95.0,quantitative,complete
drc,1992,economic,inflation,4.5,quantitative,complete
drc,1992,economic,unemployment,5,qualitative,partial
drc,1992,economic,trade_openness,39.5,quantitative,partial
drc,1992,economic,fiscal_health,5,qualitative,partial
drc,1992,economic,_dimension_score,29.8,aggregated,derived
drc,1992,international,sanctions,95,qualitative,complete
drc,1992,international,diplomatic_integration,60,qualitative,partial
drc,1992,international,foreign_military,95,qualitative,complete
