country,year,dimension,indicator,score,source_type,data_status
east_timor,1999,political,political_violence,80,quantitative,complete
east_timor,1999,political,institutional_functioning,5,qualitative,complete
east_timor,1999,political,civil_liberties,29,quantitative,complete
east_timor,1999,political,elite_cohesion,95,qualitative,complete
east_timor,1999,political,_dimension_score,52,aggregated,derived
east_timor,1999,economic,gdp_per_capita,10,quantitative,complete
east_timor,1999,economic,inflation,60,qualitative,partial
east_timor,1999,economic,unemployment,40,qualitative,partial
east_timor,1999,economic,trade_openness,60,qualitative,partial
east_timor,1999,economic,fiscal_health,5,qualitative,partial
east_timor,1999,economic,_dimension_score,35,aggregated,derived
east_timor,1999,international,sanctions,95,qualitative,complete
east_timor,1999,international,diplomatic_integration,5,qualitative,complete
east_timor,1999,international,foreign_military,60,qualitative,complete
east_timor,1999,international,fdi,20,qualitative,partial
east_timor,1999,international,refugee_flows,5,qualitative,complete
east_timor,1999,international,_dimension_score,37,aggregated,derived
east_timor,1999,transparency,budget_transparency,0,qualitative,complete
east_timor,1999,transparency,_dimension_score,0,aggregated,derived
east_timor,1999,_composite,_composite_score,31,aggregated,derived
east_timor,2000,political,territorial_control,95,quantitative,complete
east_timor,2000,political,political_violence,98,quantitative,complete
east_timor,2000,political,institutional_functioning,20,qualitative,complete
east_timor,2000,political,civil_liberties,57,quantitative,complete
east_timor,2000,political,elite_cohesion,80,qualitative,complete
east_timor,2000,political,_dimension_score,70,aggregated,derived
east_timor,2000,economic,gdp_per_capita,18,quantitative,complete
east_timor,2000,economic,inflation,80,qualitative,partial
east_timor,2000,economic,unemployment,40,qualitative,partial
east_timor,2000,economic,trade_openness,100,quantitative,complete
east_timor,2000,economic,fiscal_health,95,qualitative,partial
east_timor,2000,economic,_dimension_score,67,aggregated,derived
east_timor,2000,international,sanctions,95,qualitative,complete
east_timor,2000,international,diplomatic_integration,60,qualitative,complete
east_timor,2000,international,foreign_military,60,qualitative,complete
east_timor,2000,international,fdi,20,qualitative,partial
east_timor,2000,international,refugee_flows,95,qualitative,complete
east_timor,2000,international,_dimension_score,66,aggregated,derived
east_timor,2000,transparency,budget_transparency,0,qualitative,complete
east_timor,2000,transparency,press_freedom,45,qualitative,partial
east_timor,2000,transparency,legal_transparency,20,qualitative,partial
east_timor,2000,transparency,_dimension_score,22,aggregated,derived
east_timor,2000,_composite,_composite_score,56,aggregated,derived
east_timor,2001,political,territorial_control,95,quantitative,complete
east_timor,2001,political,political_violence,99,quantitative,complete
east_timor,2001,political,institutional_functioning,40,qualitative,complete
east_timor,2001,political,civil_liberties,57,quantitative,complete
east_timor,2001,political,elite_cohesion,80,qualitative,complete
east_timor,2001,political,_dimension_score,74,aggregated,derived
east_timor,2001,economic,gdp_per_capita,22,quantitative,complete
east_timor,2001,economic,inflation,80,qualitative,partial
east_timor,2001,economic,unemployment,40,qualitative,partial
east_timor,2001,economic,trade_openness,100,quantitative,complete
east_timor,2001,economic,fiscal_health,95,qualitative,partial
east_timor,2001,economic,_dimension_score,67,aggregated,derived
east_timor,2001,international,sanctions,95,qualitative,complete
east_timor,2001,international,diplomatic_integration,60,qualitative,complete
east_timor,2001,international,foreign_military,60,qualitative,complete
east_timor,2001,international,fdi,20,qualitative,partial
east_timor,2001,international,refugee_flows,95,qualitative,complete
east_timor,2001,international,_dimension_score,66,aggregated,derived
east_timor,2001,transparency,budget_transparency,0,qualitative,complete
east_timor,2001,transparency,press_freedom,45,qualitative,partial
east_timor,2001,transparency,legal_transparency,20,qualitative,partial
east_timor,2001,transparency,_dimension_score,22,aggregated,derived
east_timor,2001,_composite,_composite_score,57,aggregated,derived
east_timor,2002,political,territorial_control,95,quantitative,complete
east_timor,2002,political,political_violence,99,quantitative,complete
east_timor,2002,political,institutional_functioning,40,qualitative,complete
east_timor,2002,political,civil_liberties,71,quantitative,complete
east_timor,2002,political,elite_cohesion,80,qualitative,complete
east_timor,2002,political,_dimension_score,77,aggregated,derived
east_timor,2002,economic,gdp_per_capita,20,quantitative,complete
east_timor,2002,economic,inflation,80,qualitative,partial
east_timor,2002,economic,unemployment,60,qualitative,partial
east_timor,2002,economic,trade_openness,100,quantitative,complete
east_timor,2002,economic,fiscal_health,95,qualitative,partial
east_timor,2002,economic,_dimension_score,71,aggregated,derived
east_timor,2002,international,sanctions,95,qualitative,complete
east_timor,2002,international,diplomatic_integration,95,qualitative,complete
east_timor,2002,international,foreign_military,60,qualitative,complete
east_timor,2002,international,fdi,20,qualitative,partial
east_timor,2002,international,refugee_flows,95,qualitative,complete
east_timor,2002,international,_dimension_score,73,aggregated,derived
east_timor,2002,transparency,budget_transparency,10,qualitative,complete
east_timor,2002,transparency,press_freedom,44,quantitative,partial
east_timor,2002,transparency,legal_transparency,40,qualitative,partial
east_timor,2002,transparency,_dimension_score,31,aggregated,derived
east_timor,2002,_composite,_composite_score,63,aggregated,derived
east_timor,2003,political,territorial_control,95,quantitative,complete
east_timor,2003,political,political_violence,99,quantitative,complete
east_timor,2003,political,institutional_functioning,40,qualitative,complete
east_timor,2003,political,civil_liberties,71,quantitative,complete
east_timor,2003,political,elite_cohesion,80,qualitative,complete
east_timor,2003,political,_dimension_score,77,aggregated,derived
east_timor,2003,economic,gdp_per_capita,20,quantitative,complete
east_timor,2003,economic,inflation,84,quantitative,complete
east_timor,2003,economic,unemployment,78,quantitative,complete
east_timor,2003,economic,trade_openness,100,quantitative,complete
east_timor,2003,economic,fiscal_health,95,qualitative,partial
east_timor,2003,economic,_dimension_score,75,aggregated,derived
east_timor,2003,international,sanctions,95,qualitative,complete
east_timor,2003,international,diplomatic_integration,95,qualitative,complete
east_timor,2003,international,foreign_military,60,qualitative,complete
east_timor,2003,international,fdi,49,quantitative,complete
east_timor,2003,international,refugee_flows,80,qualitative,complete
east_timor,2003,international,_dimension_score,76,aggregated,derived
east_timor,2003,transparency,budget_transparency,10,qualitative,complete
east_timor,2003,transparency,press_freedom,45,quantitative,partial
east_timor,2003,transparency,legal_transparency,40,qualitative,partial
east_timor,2003,transparency,_dimension_score,32,aggregated,derived
east_timor,2003,_composite,_composite_score,65,aggregated,derived
east_timor,2004,political,territorial_control,95,quantitative,complete
east_timor,2004,political,political_violence,99,quantitative,complete
east_timor,2004,political,institutional_functioning,55,qualitative,complete
east_timor,2004,political,civil_liberties,71,quantitative,complete
east_timor,2004,political,elite_cohesion,60,qualitative,complete
east_timor,2004,political,_dimension_score,76,aggregated,derived
east_timor,2004,economic,gdp_per_capita,18,quantitative,complete
east_timor,2004,economic,inflation,92,quantitative,complete
east_timor,2004,economic,unemployment,78,quantitative,complete
east_timor,2004,economic,trade_openness,100,quantitative,complete
east_timor,2004,economic,fiscal_health,95,qualitative,partial
east_timor,2004,economic,_dimension_score,77,aggregated,derived
east_timor,2004,international,sanctions,95,qualitative,complete
east_timor,2004,international,diplomatic_integration,95,qualitative,complete
east_timor,2004,international,foreign_military,80,qualitative,complete
east_timor,2004,international,fdi,42,quantitative,complete
east_timor,2004,international,refugee_flows,80,qualitative,complete
east_timor,2004,international,_dimension_score,78,aggregated,derived
east_timor,2004,transparency,budget_transparency,10,qualitative,complete
east_timor,2004,transparency,press_freedom,46,quantitative,partial
east_timor,2004,transparency,statistical_transparency,30,quantitative,partial
east_timor,2004,transparency,legal_transparency,40,qualitative,partial
east_timor,2004,transparency,_dimension_score,32,aggregated,derived
east_timor,2004,_composite,_composite_score,66,aggregated,derived
east_timor,2005,political,territorial_control,95,quantitative,complete
east_timor,2005,political,political_violence,99,quantitative,complete
east_timor,2005,political,institutional_functioning,55,qualitative,complete
east_timor,2005,political,civil_liberties,71,quantitative,complete
east_timor,2005,political,elite_cohesion,60,qualitative,complete
east_timor,2005,political,_dimension_score,76,aggregated,derived
east_timor,2005,economic,gdp_per_capita,18,quantitative,complete
east_timor,2005,economic,inflation,97,quantitative,complete
east_timor,2005,economic,unemployment,79,quantitative,complete
east_timor,2005,economic,trade_openness,99,quantitative,complete
east_timor,2005,economic,fiscal_health,91,quantitative,complete
east_timor,2005,economic,_dimension_score,77,aggregated,derived
east_timor,2005,international,sanctions,95,qualitative,complete
east_timor,2005,international,diplomatic_integration,95,qualitative,complete
east_timor,2005,international,foreign_military,80,qualitative,complete
east_timor,2005,international,fdi,42,quantitative,complete
east_timor,2005,international,refugee_flows,80,qualitative,complete
east_timor,2005,international,_dimension_score,78,aggregated,derived
east_timor,2005,transparency,budget_transparency,10,qualitative,complete
east_timor,2005,transparency,press_freedom,47,quantitative,partial
east_timor,2005,transparency,statistical_transparency,32,quantitative,partial
east_timor,2005,transparency,legal_transparency,40,qualitative,partial
east_timor,2005,transparency,_dimension_score,32,aggregated,derived
east_timor,2005,_composite,_composite_score,66,aggregated,derived
east_timor,2006,political,territorial_control,60,quantitative,complete
east_timor,2006,political,political_violence,94,quantitative,complete
east_timor,2006,political,institutional_functioning,40,qualitative,complete
east_timor,2006,political,civil_liberties,57,quantitative,complete
east_timor,2006,political,elite_cohesion,20,qualitative,complete
east_timor,2006,political,_dimension_score,54,aggregated,derived
east_timor,2006,economic,gdp_per_capita,17,quantitative,complete
east_timor,2006,economic,inflation,91,quantitative,complete
east_timor,2006,economic,unemployment,79,quantitative,complete
east_timor,2006,economic,trade_openness,77,quantitative,complete
east_timor,2006,economic,fiscal_health,89,quantitative,complete
east_timor,2006,economic,_dimension_score,71,aggregated,derived
east_timor,2006,international,sanctions,95,qualitative,complete
east_timor,2006,international,diplomatic_integration,95,qualitative,complete
east_timor,2006,international,foreign_military,60,qualitative,complete
east_timor,2006,international,fdi,59,quantitative,complete
east_timor,2006,international,refugee_flows,40,qualitative,complete
east_timor,2006,international,_dimension_score,70,aggregated,derived
east_timor,2006,transparency,budget_transparency,10,qualitative,complete
east_timor,2006,transparency,press_freedom,56,quantitative,partial
east_timor,2006,transparency,statistical_transparency,31,quantitative,partial
east_timor,2006,transparency,legal_transparency,40,qualitative,partial
east_timor,2006,transparency,_dimension_score,34,aggregated,derived
east_timor,2006,_composite,_composite_score,57,aggregated,derived
east_timor,2007,political,territorial_control,80,quantitative,complete
east_timor,2007,political,political_violence,98,quantitative,complete
east_timor,2007,political,institutional_functioning,55,qualitative,complete
east_timor,2007,political,civil_liberties,71,quantitative,complete
east_timor,2007,political,elite_cohesion,60,qualitative,complete
east_timor,2007,political,_dimension_score,73,aggregated,derived
east_timor,2007,economic,gdp_per_capita,20,quantitative,complete
east_timor,2007,economic,inflation,77,quantitative,complete
east_timor,2007,economic,unemployment,79,quantitative,complete
east_timor,2007,economic,trade_openness,73,quantitative,complete
east_timor,2007,economic,fiscal_health,88,quantitative,complete
east_timor,2007,economic,_dimension_score,67,aggregated,derived
east_timor,2007,international,sanctions,95,qualitative,complete
east_timor,2007,international,diplomatic_integration,95,qualitative,complete
east_timor,2007,international,foreign_military,60,qualitative,complete
east_timor,2007,international,fdi,56,quantitative,complete
east_timor,2007,international,refugee_flows,60,qualitative,complete
east_timor,2007,international,_dimension_score,73,aggregated,derived
east_timor,2007,transparency,budget_transparency,30,qualitative,complete
east_timor,2007,transparency,press_freedom,50,quantitative,partial
east_timor,2007,transparency,statistical_transparency,35,quantitative,partial
east_timor,2007,transparency,legal_transparency,60,qualitative,partial
east_timor,2007,transparency,_dimension_score,44,aggregated,derived
east_timor,2007,_composite,_composite_score,64,aggregated,derived
east_timor,2008,political,territorial_control,95,quantitative,complete
east_timor,2008,political,political_violence,99,quantitative,complete
east_timor,2008,political,institutional_functioning,55,qualitative,complete
east_timor,2008,political,civil_liberties,71,quantitative,complete
east_timor,2008,political,elite_cohesion,80,qualitative,complete
east_timor,2008,political,_dimension_score,80,aggregated,derived
east_timor,2008,economic,gdp_per_capita,23,quantitative,complete
east_timor,2008,economic,inflation,80,quantitative,complete
east_timor,2008,economic,unemployment,80,quantitative,complete
east_timor,2008,economic,trade_openness,78,quantitative,complete
east_timor,2008,economic,fiscal_health,87,quantitative,complete
east_timor,2008,economic,_dimension_score,70,aggregated,derived
east_timor,2008,international,sanctions,95,qualitative,complete
east_timor,2008,international,diplomatic_integration,95,qualitative,complete
east_timor,2008,international,foreign_military,60,qualitative,complete
east_timor,2008,international,fdi,100,quantitative,complete
east_timor,2008,international,refugee_flows,95,qualitative,complete
east_timor,2008,international,_dimension_score,89,aggregated,derived
east_timor,2008,transparency,budget_transparency,26,quantitative,complete
east_timor,2008,transparency,press_freedom,49,quantitative,partial
east_timor,2008,transparency,statistical_transparency,38,quantitative,partial
east_timor,2008,transparency,legal_transparency,60,qualitative,partial
east_timor,2008,transparency,_dimension_score,43,aggregated,derived
east_timor,2008,_composite,_composite_score,70,aggregated,derived
east_timor,2009,political,territorial_control,95,quantitative,complete
east_timor,2009,political,political_violence,99,quantitative,complete
east_timor,2009,political,institutional_functioning,55,qualitative,complete
east_timor,2009,political,civil_liberties,71,quantitative,complete
east_timor,2009,political,elite_cohesion,80,qualitative,complete
east_timor,2009,political,_dimension_score,80,aggregated,derived
east_timor,2009,economic,gdp_per_capita,26,quantitative,complete
east_timor,2009,economic,inflation,98,quantitative,complete
east_timor,2009,economic,unemployment,80,quantitative,complete
east_timor,2009,economic,trade_openness,85,quantitative,complete
east_timor,2009,economic,fiscal_health,86,quantitative,complete
east_timor,2009,economic,_dimension_score,75,aggregated,derived
east_timor,2009,international,sanctions,95,qualitative,complete
east_timor,2009,international,diplomatic_integration,95,qualitative,complete
east_timor,2009,international,foreign_military,80,qualitative,complete
east_timor,2009,international,fdi,100,quantitative,complete
east_timor,2009,international,refugee_flows,80,qualitative,complete
east_timor,2009,international,_dimension_score,90,aggregated,derived
east_timor,2009,transparency,budget_transparency,27,quantitative,complete
east_timor,2009,transparency,press_freedom,47,quantitative,partial
east_timor,2009,transparency,statistical_transparency,40,quantitative,partial
east_timor,2009,transparency,legal_transparency,60,qualitative,partial
east_timor,2009,transparency,_dimension_score,44,aggregated,derived
east_timor,2009,_composite,_composite_score,72,aggregated,derived
east_timor,2010,political,territorial_control,95,quantitative,complete
east_timor,2010,political,political_violence,100,quantitative,complete
east_timor,2010,political,institutional_functioning,80,qualitative,complete
east_timor,2010,political,civil_liberties,71,quantitative,complete
east_timor,2010,political,elite_cohesion,80,qualitative,complete
east_timor,2010,political,_dimension_score,85,aggregated,derived
east_timor,2010,economic,gdp_per_capita,30,quantitative,complete
east_timor,2010,economic,inflation,84,quantitative,complete
east_timor,2010,economic,unemployment,81,quantitative,complete
east_timor,2010,economic,trade_openness,98,quantitative,complete
east_timor,2010,economic,fiscal_health,87,quantitative,complete
east_timor,2010,economic,_dimension_score,76,aggregated,derived
east_timor,2010,international,sanctions,95,qualitative,complete
east_timor,2010,international,diplomatic_integration,95,qualitative,complete
east_timor,2010,international,foreign_military,80,qualitative,complete
east_timor,2010,international,fdi,74,quantitative,complete
east_timor,2010,international,refugee_flows,80,qualitative,complete
east_timor,2010,international,_dimension_score,85,aggregated,derived
east_timor,2010,transparency,budget_transparency,27,quantitative,complete
east_timor,2010,transparency,press_freedom,46,quantitative,partial
east_timor,2010,transparency,statistical_transparency,43,quantitative,partial
east_timor,2010,transparency,legal_transparency,60,qualitative,partial
east_timor,2010,transparency,_dimension_score,44,aggregated,derived
east_timor,2010,_composite,_composite_score,72,aggregated,derived
east_timor,2011,political,territorial_control,95,quantitative,complete
east_timor,2011,political,political_violence,100,quantitative,complete
east_timor,2011,political,institutional_functioning,80,qualitative,complete
east_timor,2011,political,civil_liberties,71,quantitative,complete
east_timor,2011,political,elite_cohesion,80,qualitative,complete
east_timor,2011,political,_dimension_score,85,aggregated,derived
east_timor,2011,economic,gdp_per_capita,35,quantitative,complete
east_timor,2011,economic,inflation,71,quantitative,complete
east_timor,2011,economic,unemployment,81,quantitative,complete
east_timor,2011,economic,trade_openness,87,quantitative,complete
east_timor,2011,economic,fiscal_health,88,quantitative,complete
east_timor,2011,economic,_dimension_score,72,aggregated,derived
east_timor,2011,international,sanctions,95,qualitative,complete
