country,year,dimension,indicator,score,source_type,data_status
egypt,1996,political,territorial_control,95,qualitative,partial
egypt,1996,political,political_violence,95,qualitative,partial
egypt,1996,political,institutional_functioning,40,qualitative,partial
egypt,1996,political,civil_liberties,29,quantitative,complete
egypt,1996,political,elite_cohesion,95,qualitative,partial
egypt,1996,political,_dimension_score,71,aggregated,derived
egypt,1996,economic,gdp_per_capita,34,quantitative,complete
egypt,1996,economic,inflation,84,quantitative,complete
egypt,1996,economic,unemployment,54,quantitative,complete
egypt,1996,economic,trade_openness,44,quantitative,complete
egypt,1996,economic,fiscal_health,48,quantitative,complete
egypt,1996,economic,gini_adjusted_gdp_per_capita,50,quantitative,complete
egypt,1996,economic,gini_adjusted_gdp_per_capita_ppp,50,quantitative,complete
egypt,1996,economic,export_diversification,70,quantitative,complete
egypt,1996,economic,non_resource_export_share,32,quantitative,complete
egypt,1996,economic,_dimension_score,52,aggregated,derived
egypt,1996,international,sanctions,95,qualitative,complete
egypt,1996,international,diplomatic_integration,95,qualitative,complete
egypt,1996,international,foreign_military,80,qualitative,complete
egypt,1996,international,fdi,49,quantitative,complete
egypt,1996,international,refugee_flows,0,quantitative,complete
egypt,1996,international,_dimension_score,64,aggregated,derived
egypt,1996,transparency,budget_transparency,10,qualitative,partial
egypt,1996,transparency,press_freedom,28,quantitative,complete
egypt,1996,transparency,statistical_transparency,30,qualitative,complete
egypt,1996,transparency,legal_transparency,40,qualitative,complete
egypt,1996,transparency,_dimension_score,27,aggregated,derived
egypt,1996,social,hdi,62,quantitative,complete
egypt,1996,social,_dimension_score,62,aggregated,derived
egypt,1996,_composite,_composite_score,55,aggregated,derived
egypt,1997,political,territorial_control,95,qualitative,partial
egypt,1997,political,political_violence,99,quantitative,partial
egypt,1997,political,institutional_functioning,40,qualitative,partial
egypt,1997,political,civil_liberties,29,quantitative,complete
egypt,1997,political,elite_cohesion,95,qualitative,partial
egypt,1997,political,_dimension_score,72,aggregated,derived
egypt,1997,economic,gdp_per_capita,36,quantitative,complete
egypt,1997,economic,inflation,86,quantitative,complete
egypt,1997,economic,unemployment,56,quantitative,complete
egypt,1997,economic,trade_openness,44,quantitative,complete
egypt,1997,economic,fiscal_health,49,quantitative,complete
egypt,1997,economic,gini_adjusted_gdp_per_capita,52,quantitative,complete
egypt,1997,economic,gini_adjusted_gdp_per_capita_ppp,52,quantitative,complete
egypt,1997,economic,export_diversification,73,quantitative,complete
egypt,1997,economic,non_resource_export_share,38,quantitative,complete
egypt,1997,economic,_dimension_score,54,aggregated,derived
egypt,1997,international,sanctions,95,qualitative,complete
egypt,1997,international,diplomatic_integration,95,qualitative,complete
egypt,1997,international,foreign_military,80,qualitative,complete
egypt,1997,international,fdi,52,quantitative,complete
egypt,1997,international,refugee_flows,0,quantitative,complete
egypt,1997,international,_dimension_score,64,aggregated,derived
egypt,1997,transparency,budget_transparency,10,qualitative,partial
egypt,1997,transparency,press_freedom,27,quantitative,complete
egypt,1997,transparency,statistical_transparency,30,qualitative,complete
egypt,1997,transparency,legal_transparency,40,qualitative,complete
egypt,1997,transparency,_dimension_score,27,aggregated,derived
egypt,1997,social,hdi,62,quantitative,complete
egypt,1997,social,_dimension_score,62,aggregated,derived
egypt,1997,_composite,_composite_score,56,aggregated,derived
egypt,1998,political,territorial_control,95,qualitative,partial
egypt,1998,political,political_violence,100,quantitative,partial
egypt,1998,political,institutional_functioning,40,qualitative,partial
egypt,1998,political,civil_liberties,29,quantitative,complete
egypt,1998,political,elite_cohesion,95,qualitative,partial
egypt,1998,political,_dimension_score,72,aggregated,derived
egypt,1998,economic,gdp_per_capita,37,quantitative,complete
egypt,1998,economic,inflation,90,quantitative,complete
egypt,1998,economic,unemployment,56,quantitative,complete
egypt,1998,economic,trade_openness,42,quantitative,complete
egypt,1998,economic,fiscal_health,50,quantitative,complete
