country,year,dimension,indicator,score,source_type,data_status
ethiopia,2005,political,territorial_control,95,qualitative,complete
ethiopia,2005,political,political_violence,96,quantitative,complete
ethiopia,2005,political,institutional_functioning,40,qualitative,complete
ethiopia,2005,political,civil_liberties,0,quantitative,complete
ethiopia,2005,political,elite_cohesion,95,qualitative,complete
ethiopia,2005,political,_dimension_score,65,aggregated,derived
ethiopia,2005,economic,gdp_per_capita,16,quantitative,complete
ethiopia,2005,economic,inflation,84,quantitative,complete
ethiopia,2005,economic,unemployment,70,quantitative,complete
ethiopia,2005,economic,trade_openness,42,quantitative,complete
ethiopia,2005,economic,fiscal_health,100,quantitative,complete
ethiopia,2005,economic,_dimension_score,62,aggregated,derived
ethiopia,2005,international,sanctions,95,qualitative,complete
ethiopia,2005,international,diplomatic_integration,80,qualitative,complete
ethiopia,2005,international,foreign_military,80,qualitative,complete
ethiopia,2005,international,fdi,69,quantitative,complete
ethiopia,2005,international,refugee_flows,100,quantitative,complete
ethiopia,2005,international,_dimension_score,85,aggregated,derived
ethiopia,2005,transparency,budget_transparency,10,qualitative,partial
ethiopia,2005,transparency,press_freedom,85,quantitative,complete
ethiopia,2005,transparency,statistical_transparency,42,quantitative,complete
ethiopia,2005,transparency,legal_transparency,20,qualitative,complete
ethiopia,2005,transparency,extractive_transparency,20,qualitative,complete
ethiopia,2005,transparency,_dimension_score,35,aggregated,derived
ethiopia,2005,_composite,_composite_score,62,aggregated,derived
ethiopia,2006,political,territorial_control,95,qualitative,complete
ethiopia,2006,political,political_violence,98,quantitative,complete
ethiopia,2006,political,institutional_functioning,40,qualitative,complete
ethiopia,2006,political,civil_liberties,0,quantitative,complete
ethiopia,2006,political,elite_cohesion,95,qualitative,complete
ethiopia,2006,political,_dimension_score,66,aggregated,derived
ethiopia,2006,economic,gdp_per_capita,18,quantitative,complete
ethiopia,2006,economic,inflation,74,quantitative,complete
ethiopia,2006,economic,unemployment,70,quantitative,complete
ethiopia,2006,economic,trade_openness,44,quantitative,complete
ethiopia,2006,economic,fiscal_health,100,quantitative,complete
ethiopia,2006,economic,_dimension_score,61,aggregated,derived
ethiopia,2006,international,sanctions,95,qualitative,complete
ethiopia,2006,international,diplomatic_integration,80,qualitative,complete
ethiopia,2006,international,foreign_military,80,qualitative,complete
ethiopia,2006,international,fdi,54,quantitative,complete
ethiopia,2006,international,refugee_flows,100,quantitative,complete
ethiopia,2006,international,_dimension_score,82,aggregated,derived
ethiopia,2006,transparency,budget_transparency,10,qualitative,partial
ethiopia,2006,transparency,press_freedom,88,quantitative,complete
ethiopia,2006,transparency,statistical_transparency,42,quantitative,complete
ethiopia,2006,transparency,legal_transparency,20,qualitative,complete
ethiopia,2006,transparency,extractive_transparency,20,qualitative,complete
ethiopia,2006,transparency,_dimension_score,36,aggregated,derived
ethiopia,2006,_composite,_composite_score,61,aggregated,derived
ethiopia,2007,political,territorial_control,95,qualitative,complete
ethiopia,2007,political,political_violence,97,quantitative,complete
ethiopia,2007,political,institutional_functioning,40,qualitative,complete
ethiopia,2007,political,civil_liberties,0,quantitative,complete
ethiopia,2007,political,elite_cohesion,95,qualitative,complete
ethiopia,2007,political,_dimension_score,65,aggregated,derived
ethiopia,2007,economic,gdp_per_capita,22,quantitative,complete
ethiopia,2007,economic,inflation,65,quantitative,complete
ethiopia,2007,economic,unemployment,73,quantitative,complete
ethiopia,2007,economic,trade_openness,47,quantitative,complete
ethiopia,2007,economic,fiscal_health,100,quantitative,complete
ethiopia,2007,economic,_dimension_score,61,aggregated,derived
ethiopia,2007,international,sanctions,95,qualitative,complete
ethiopia,2007,international,diplomatic_integration,80,qualitative,complete
ethiopia,2007,international,foreign_military,80,qualitative,complete
ethiopia,2007,international,fdi,62,quantitative,complete
ethiopia,2007,international,refugee_flows,100,quantitative,complete
ethiopia,2007,international,_dimension_score,83,aggregated,derived
ethiopia,2007,transparency,budget_transparency,10,qualitative,partial
ethiopia,2007,transparency,press_freedom,88,quantitative,complete
ethiopia,2007,transparency,statistical_transparency,48,quantitative,complete
ethiopia,2007,transparency,legal_transparency,20,qualitative,complete
ethiopia,2007,transparency,extractive_transparency,20,qualitative,complete
ethiopia,2007,transparency,_dimension_score,37,aggregated,derived
ethiopia,2007,_composite,_composite_score,62,aggregated,derived
ethiopia,2008,political,territorial_control,95,qualitative,complete
ethiopia,2008,political,political_violence,98,quantitative,complete
ethiopia,2008,political,institutional_functioning,40,qualitative,complete
ethiopia,2008,political,civil_liberties,0,quantitative,complete
ethiopia,2008,political,elite_cohesion,95,qualitative,complete
ethiopia,2008,political,_dimension_score,66,aggregated,derived
ethiopia,2008,economic,gdp_per_capita,28,quantitative,complete
ethiopia,2008,economic,inflation,33,quantitative,complete
ethiopia,2008,economic,unemployment,73,quantitative,complete
ethiopia,2008,economic,trade_openness,54,quantitative,complete
ethiopia,2008,economic,fiscal_health,100,quantitative,complete
ethiopia,2008,economic,_dimension_score,58,aggregated,derived
ethiopia,2008,international,sanctions,95,qualitative,complete
ethiopia,2008,international,diplomatic_integration,80,qualitative,complete
ethiopia,2008,international,foreign_military,80,qualitative,complete
ethiopia,2008,international,fdi,65,quantitative,complete
ethiopia,2008,international,refugee_flows,100,quantitative,complete
ethiopia,2008,international,_dimension_score,84,aggregated,derived
ethiopia,2008,transparency,budget_transparency,10,qualitative,partial
ethiopia,2008,transparency,press_freedom,90,quantitative,complete
ethiopia,2008,transparency,statistical_transparency,50,quantitative,complete
ethiopia,2008,transparency,legal_transparency,20,qualitative,complete
ethiopia,2008,transparency,extractive_transparency,20,qualitative,complete
ethiopia,2008,transparency,_dimension_score,38,aggregated,derived
ethiopia,2008,_composite,_composite_score,62,aggregated,derived
ethiopia,2009,political,territorial_control,95,qualitative,complete
ethiopia,2009,political,political_violence,99,quantitative,complete
ethiopia,2009,political,institutional_functioning,40,qualitative,complete
ethiopia,2009,political,civil_liberties,0,quantitative,complete
ethiopia,2009,political,elite_cohesion,95,qualitative,complete
ethiopia,2009,political,_dimension_score,66,aggregated,derived
ethiopia,2009,economic,gdp_per_capita,34,quantitative,complete
ethiopia,2009,economic,inflation,81,quantitative,complete
ethiopia,2009,economic,unemployment,69,quantitative,complete
ethiopia,2009,economic,trade_openness,45,quantitative,complete
