country,year,dimension,indicator,score,source_type,data_status
gambia,2002,political,territorial_control,,,missing
gambia,2002,political,political_violence,,,missing
gambia,2002,political,institutional_functioning,,,missing
gambia,2002,political,civil_liberties,,,missing
gambia,2002,political,elite_cohesion,,,missing
gambia,2002,political,military_expenditure,,,missing
gambia,2002,political,political_stability,,,missing
gambia,2002,political,government_effectiveness,,,missing
gambia,2002,political,_dimension_score,,aggregated,derived
gambia,2002,economic,gdp_per_capita,,,missing
gambia,2002,economic,inflation,,,missing
gambia,2002,economic,unemployment,,,missing
gambia,2002,economic,trade_openness,,,missing
gambia,2002,economic,fiscal_health,,,missing
gambia,2002,economic,natural_resource_rents,,,missing
gambia,2002,economic,youth_unemployment,,,missing
gambia,2002,economic,gini,,,missing
gambia,2002,economic,neet_rate,,,missing
gambia,2002,economic,gini_adjusted_gdp_per_capita,,,missing
gambia,2002,economic,poverty_rate,,,missing
gambia,2002,economic,gini_adjusted_gdp_per_capita_ppp,,,missing
gambia,2002,economic,export_diversification,,,missing
gambia,2002,economic,non_resource_export_share,,,missing
gambia,2002,economic,_dimension_score,,aggregated,derived
gambia,2002,international,sanctions,,,missing
gambia,2002,international,diplomatic_integration,,,missing
gambia,2002,international,foreign_military,,,missing
gambia,2002,international,fdi,,,missing
gambia,2002,international,refugee_flows,,,missing
gambia,2002,international,_dimension_score,,aggregated,derived
gambia,2002,transparency,budget_transparency,,,missing
gambia,2002,transparency,press_freedom,,,missing
gambia,2002,transparency,statistical_transparency,,,missing
gambia,2002,transparency,legal_transparency,,,missing
gambia,2002,transparency,extractive_transparency,,,missing
gambia,2002,transparency,control_of_corruption,,,missing
gambia,2002,transparency,_dimension_score,,aggregated,derived
gambia,2002,population_mobility,net_migration,,,missing
gambia,2002,population_mobility,remittances,,,missing
gambia,2002,population_mobility,_dimension_score,,aggregated,derived
gambia,2002,social,life_expectancy,,,missing
gambia,2002,social,infant_mortality,,,missing
gambia,2002,social,internet_users,,,missing
gambia,2002,social,health_expenditure,,,missing
gambia,2002,social,education_expenditure,,,missing
gambia,2002,social,hdi,,,missing
gambia,2002,social,_dimension_score,,aggregated,derived
gambia,2002,_composite,_composite_score,,aggregated,derived
gambia,2003,political,territorial_control,,,missing
gambia,2003,political,political_violence,,,missing
gambia,2003,political,institutional_functioning,,,missing
gambia,2003,political,civil_liberties,,,missing
gambia,2003,political,elite_cohesion,,,missing
gambia,2003,political,military_expenditure,,,missing
gambia,2003,political,political_stability,,,missing
gambia,2003,political,government_effectiveness,,,missing
gambia,2003,political,_dimension_score,,aggregated,derived
gambia,2003,economic,gdp_per_capita,,,missing
gambia,2003,economic,inflation,,,missing
gambia,2003,economic,unemployment,,,missing
gambia,2003,economic,trade_openness,,,missing
gambia,2003,economic,fiscal_health,,,missing
gambia,2003,economic,natural_resource_rents,,,missing
gambia,2003,economic,youth_unemployment,,,missing
gambia,2003,economic,gini,,,missing
gambia,2003,economic,neet_rate,,,missing
gambia,2003,economic,gini_adjusted_gdp_per_capita,,,missing
gambia,2003,economic,poverty_rate,,,missing
gambia,2003,economic,gini_adjusted_gdp_per_capita_ppp,,,missing
gambia,2003,economic,export_diversification,,,missing
gambia,2003,economic,non_resource_export_share,,,missing
gambia,2003,economic,_dimension_score,,aggregated,derived
gambia,2003,international,sanctions,,,missing
gambia,2003,international,diplomatic_integration,,,missing
gambia,2003,international,foreign_military,,,missing
gambia,2003,international,fdi,,,missing
gambia,2003,international,refugee_flows,,,missing
gambia,2003,international,_dimension_score,,aggregated,derived
gambia,2003,transparency,budget_transparency,,,missing
gambia,2003,transparency,press_freedom,,,missing
gambia,2003,transparency,statistical_transparency,,,missing
