country,year,dimension,indicator,score,source_type,data_status
georgia,1988,political,territorial_control,,,unavailable
georgia,1988,political,political_violence,,,unavailable
georgia,1988,political,institutional_functioning,,,unavailable
georgia,1988,political,civil_liberties,,,unavailable
georgia,1988,political,elite_cohesion,,,unavailable
georgia,1988,political,_dimension_score,,aggregated,derived
georgia,1988,economic,gdp_per_capita,,,unavailable
georgia,1988,economic,inflation,,,unavailable
georgia,1988,economic,unemployment,,,unavailable
georgia,1988,economic,trade_openness,,,unavailable
georgia,1988,economic,fiscal_health,,,unavailable
georgia,1988,economic,_dimension_score,,aggregated,derived
georgia,1988,international,sanctions,,,unavailable
georgia,1988,international,diplomatic_integration,,,unavailable
georgia,1988,international,foreign_military,,,unavailable
georgia,1988,international,fdi,,,unavailable
georgia,1988,international,refugee_flows,,,unavailable
georgia,1988,international,_dimension_score,,aggregated,derived
georgia,1988,transparency,budget_transparency,,,unavailable
georgia,1988,transparency,press_freedom,,,unavailable
georgia,1988,transparency,statistical_transparency,,,unavailable
georgia,1988,transparency,legal_transparency,,,unavailable
georgia,1988,transparency,extractive_transparency,,,unavailable
georgia,1988,transparency,_dimension_score,,aggregated,derived
georgia,1988,_composite,_composite_score,,aggregated,derived
georgia,1989,political,territorial_control,,,unavailable
georgia,1989,political,political_violence,95.0,quantitative,partial
georgia,1989,political,institutional_functioning,,,unavailable
georgia,1989,political,civil_liberties,,,unavailable
georgia,1989,political,elite_cohesion,,,unavailable
georgia,1989,political,_dimension_score,95.0,aggregated,derived
georgia,1989,economic,gdp_per_capita,,,unavailable
georgia,1989,economic,inflation,,,unavailable
georgia,1989,economic,unemployment,,,unavailable
georgia,1989,economic,trade_openness,,,unavailable
georgia,1989,economic,fiscal_health,,,unavailable
georgia,1989,economic,_dimension_score,,aggregated,derived
georgia,1989,international,sanctions,,,unavailable
georgia,1989,international,diplomatic_integration,,,unavailable
georgia,1989,international,foreign_military,,,unavailable
georgia,1989,international,fdi,,,unavailable
georgia,1989,international,refugee_flows,,,unavailable
georgia,1989,international,_dimension_score,,aggregated,derived
georgia,1989,transparency,budget_transparency,,,unavailable
georgia,1989,transparency,press_freedom,,,unavailable
georgia,1989,transparency,statistical_transparency,,,unavailable
georgia,1989,transparency,legal_transparency,,,unavailable
georgia,1989,transparency,extractive_transparency,,,unavailable
georgia,1989,transparency,_dimension_score,,aggregated,derived
georgia,1989,_composite,_composite_score,95.0,aggregated,derived
georgia,1990,political,territorial_control,,,unavailable
georgia,1990,political,political_violence,79.5,quantitative,partial
georgia,1990,political,institutional_functioning,,,unavailable
georgia,1990,political,civil_liberties,,,unavailable
georgia,1990,political,elite_cohesion,,,unavailable
georgia,1990,political,_dimension_score,79.5,aggregated,derived
georgia,1990,economic,gdp_per_capita,,,unavailable
georgia,1990,economic,inflation,,,unavailable
georgia,1990,economic,unemployment,,,unavailable
georgia,1990,economic,trade_openness,,,unavailable
georgia,1990,economic,fiscal_health,,,unavailable
georgia,1990,economic,_dimension_score,,aggregated,derived
georgia,1990,international,sanctions,,,unavailable
georgia,1990,international,diplomatic_integration,,,unavailable
georgia,1990,international,foreign_military,,,unavailable
georgia,1990,international,fdi,,,unavailable
georgia,1990,international,refugee_flows,,,unavailable
georgia,1990,international,_dimension_score,,aggregated,derived
georgia,1990,transparency,budget_transparency,,,unavailable
georgia,1990,transparency,press_freedom,,,unavailable
georgia,1990,transparency,statistical_transparency,,,unavailable
georgia,1990,transparency,legal_transparency,,,unavailable
georgia,1990,transparency,extractive_transparency,,,unavailable
georgia,1990,transparency,_dimension_score,,aggregated,derived
georgia,1990,_composite,_composite_score,79.5,aggregated,derived
georgia,1991,political,territorial_control,79.5,quantitative,partial
georgia,1991,political,political_violence,59.5,quantitative,partial
georgia,1991,political,institutional_functioning,19.5,quantitative,partial
georgia,1991,political,civil_liberties,4.5,quantitative,partial
georgia,1991,political,elite_cohesion,20,qualitative,partial
georgia,1991,political,_dimension_score,36.6,aggregated,derived
georgia,1991,economic,gdp_per_capita,,,unavailable
georgia,1991,economic,inflation,4.5,quantitative,partial
georgia,1991,economic,unemployment,,,unavailable
georgia,1991,economic,trade_openness,,,unavailable
georgia,1991,economic,fiscal_health,,,unavailable
georgia,1991,economic,_dimension_score,4.5,aggregated,derived
georgia,1991,international,sanctions,95,qualitative,complete
georgia,1991,international,diplomatic_integration,80,qualitative,complete
georgia,1991,international,foreign_military,20,qualitative,complete
georgia,1991,international,fdi,,,unavailable
georgia,1991,international,refugee_flows,,,unavailable
georgia,1991,international,_dimension_score,65.0,aggregated,derived
georgia,1991,transparency,budget_transparency,,,unavailable
georgia,1991,transparency,press_freedom,5,qualitative,partial
georgia,1991,transparency,statistical_transparency,,,unavailable
georgia,1991,transparency,legal_transparency,,,unavailable
georgia,1991,transparency,extractive_transparency,,,unavailable
georgia,1991,transparency,_dimension_score,5.0,aggregated,derived
georgia,1991,_composite,_composite_score,27.8,aggregated,derived
georgia,1992,political,territorial_control,59.5,quantitative,partial
georgia,1992,political,political_violence,59.5,quantitative,partial
georgia,1992,political,institutional_functioning,19.5,quantitative,partial
georgia,1992,political,civil_liberties,4.5,quantitative,partial
georgia,1992,political,elite_cohesion,95,qualitative,partial
georgia,1992,political,_dimension_score,47.6,aggregated,derived
georgia,1992,economic,gdp_per_capita,,,unavailable
georgia,1992,economic,inflation,4.5,quantitative,partial
georgia,1992,economic,unemployment,,,unavailable
georgia,1992,economic,trade_openness,,,unavailable
georgia,1992,economic,fiscal_health,,,unavailable
georgia,1992,economic,_dimension_score,4.5,aggregated,derived
georgia,1992,international,sanctions,95,qualitative,complete
georgia,1992,international,diplomatic_integration,80,qualitative,complete
georgia,1992,international,foreign_military,40,qualitative,complete
georgia,1992,international,fdi,,,unavailable
georgia,1992,international,refugee_flows,,,unavailable
georgia,1992,international,_dimension_score,71.7,aggregated,derived
georgia,1992,transparency,budget_transparency,,,unavailable
georgia,1992,transparency,press_freedom,25,qualitative,partial
georgia,1992,transparency,statistical_transparency,,,unavailable
georgia,1992,transparency,legal_transparency,,,unavailable
georgia,1992,transparency,extractive_transparency,,,unavailable
georgia,1992,transparency,_dimension_score,25.0,aggregated,derived
georgia,1992,_composite,_composite_score,37.2,aggregated,derived
georgia,1993,political,territorial_control,59.5,quantitative,partial
georgia,1993,political,political_violence,19.5,quantitative,partial
georgia,1993,political,institutional_functioning,19.5,quantitative,partial
georgia,1993,political,civil_liberties,4.5,quantitative,partial
georgia,1993,political,elite_cohesion,5,qualitative,partial
georgia,1993,political,_dimension_score,21.6,aggregated,derived
georgia,1993,economic,gdp_per_capita,95.0,quantitative,partial
georgia,1993,economic,inflation,4.5,quantitative,partial
georgia,1993,economic,unemployment,,,unavailable
georgia,1993,economic,trade_openness,,,unavailable
georgia,1993,economic,fiscal_health,,,unavailable
georgia,1993,economic,_dimension_score,49.8,aggregated,derived
georgia,1993,international,sanctions,95,qualitative,complete
georgia,1993,international,diplomatic_integration,80,qualitative,complete
georgia,1993,international,foreign_military,40,qualitative,complete
georgia,1993,international,fdi,,,unavailable
georgia,1993,international,refugee_flows,4.5,quantitative,partial
georgia,1993,international,_dimension_score,54.9,aggregated,derived
georgia,1993,transparency,budget_transparency,,,unavailable
georgia,1993,transparency,press_freedom,45,qualitative,partial
georgia,1993,transparency,statistical_transparency,,,unavailable
georgia,1993,transparency,legal_transparency,,,unavailable
georgia,1993,transparency,extractive_transparency,,,unavailable
georgia,1993,transparency,_dimension_score,45.0,aggregated,derived
georgia,1993,_composite,_composite_score,42.8,aggregated,derived
georgia,1994,political,territorial_control,59.5,quantitative,partial
georgia,1994,political,political_violence,79.5,quantitative,partial
georgia,1994,political,institutional_functioning,19.5,quantitative,partial
georgia,1994,political,civil_liberties,4.5,quantitative,partial
georgia,1994,political,elite_cohesion,60,qualitative,partial
georgia,1994,political,_dimension_score,44.6,aggregated,derived
georgia,1994,economic,gdp_per_capita,95.0,quantitative,complete
georgia,1994,economic,inflation,4.5,quantitative,complete
georgia,1994,economic,unemployment,,,unavailable
georgia,1994,economic,trade_openness,39.5,quantitative,partial
georgia,1994,economic,fiscal_health,95.0,quantitative,partial
georgia,1994,economic,_dimension_score,58.5,aggregated,derived
georgia,1994,international,sanctions,95,qualitative,complete
georgia,1994,international,diplomatic_integration,80,qualitative,complete
georgia,1994,international,foreign_military,40,qualitative,complete
georgia,1994,international,fdi,19.5,quantitative,partial
georgia,1994,international,refugee_flows,4.5,quantitative,complete
georgia,1994,international,_dimension_score,47.8,aggregated,derived
georgia,1994,transparency,budget_transparency,,,unavailable
georgia,1994,transparency,press_freedom,25,qualitative,partial
georgia,1994,transparency,statistical_transparency,,,unavailable
georgia,1994,transparency,legal_transparency,,,unavailable
georgia,1994,transparency,extractive_transparency,,,unavailable
georgia,1994,transparency,_dimension_score,25.0,aggregated,derived
georgia,1994,_composite,_composite_score,44.0,aggregated,derived
georgia,1995,political,territorial_control,59.5,quantitative,partial
georgia,1995,political,political_violence,95.0,quantitative,partial
georgia,1995,political,institutional_functioning,39.5,quantitative,partial
georgia,1995,political,civil_liberties,4.5,quantitative,partial
georgia,1995,political,elite_cohesion,60,qualitative,partial
georgia,1995,political,_dimension_score,51.7,aggregated,derived
georgia,1995,economic,gdp_per_capita,95.0,quantitative,complete
georgia,1995,economic,inflation,4.5,quantitative,complete
georgia,1995,economic,unemployment,79.5,quantitative,partial
georgia,1995,economic,trade_openness,59.5,quantitative,complete
georgia,1995,economic,fiscal_health,95.0,quantitative,complete
georgia,1995,economic,_dimension_score,66.7,aggregated,derived
georgia,1995,international,sanctions,95,qualitative,complete
georgia,1995,international,diplomatic_integration,80,qualitative,complete
georgia,1995,international,foreign_military,40,qualitative,complete
georgia,1995,international,fdi,59.5,quantitative,complete
georgia,1995,international,refugee_flows,4.5,quantitative,complete
georgia,1995,international,_dimension_score,55.8,aggregated,derived
georgia,1995,transparency,budget_transparency,,,unavailable
georgia,1995,transparency,press_freedom,25,qualitative,partial
georgia,1995,transparency,statistical_transparency,,,unavailable
georgia,1995,transparency,legal_transparency,,,unavailable
georgia,1995,transparency,extractive_transparency,,,unavailable
georgia,1995,transparency,_dimension_score,25.0,aggregated,derived
georgia,1995,_composite,_composite_score,49.8,aggregated,derived
georgia,1996,political,territorial_control,59.5,quantitative,partial
georgia,1996,political,political_violence,95.0,quantitative,partial
georgia,1996,political,institutional_functioning,39.5,quantitative,partial
georgia,1996,political,civil_liberties,4.5,quantitative,partial
georgia,1996,political,elite_cohesion,60,qualitative,partial
georgia,1996,political,_dimension_score,51.7,aggregated,derived
georgia,1996,economic,gdp_per_capita,95.0,quantitative,complete
georgia,1996,economic,inflation,39.5,quantitative,complete
georgia,1996,economic,unemployment,79.5,quantitative,partial
georgia,1996,economic,trade_openness,59.5,quantitative,complete
georgia,1996,economic,fiscal_health,95.0,quantitative,complete
georgia,1996,economic,_dimension_score,73.7,aggregated,derived
georgia,1996,international,sanctions,95,qualitative,complete
georgia,1996,international,diplomatic_integration,80,qualitative,complete
georgia,1996,international,foreign_military,40,qualitative,complete
georgia,1996,international,fdi,79.5,quantitative,complete
georgia,1996,international,refugee_flows,4.5,quantitative,complete
georgia,1996,international,_dimension_score,59.8,aggregated,derived
georgia,1996,transparency,budget_transparency,,,unavailable
georgia,1996,transparency,press_freedom,45,qualitative,partial
georgia,1996,transparency,statistical_transparency,,,unavailable
georgia,1996,transparency,legal_transparency,,,unavailable
georgia,1996,transparency,extractive_transparency,,,unavailable
georgia,1996,transparency,_dimension_score,45.0,aggregated,derived
georgia,1996,_composite,_composite_score,57.5,aggregated,derived
georgia,1997,political,territorial_control,59.5,quantitative,partial
georgia,1997,political,political_violence,95.0,quantitative,partial
georgia,1997,political,institutional_functioning,39.5,quantitative,partial
georgia,1997,political,civil_liberties,4.5,quantitative,partial
georgia,1997,political,elite_cohesion,60,qualitative,partial
georgia,1997,political,_dimension_score,51.7,aggregated,derived
georgia,1997,economic,gdp_per_capita,95.0,quantitative,complete
georgia,1997,economic,inflation,79.5,quantitative,complete
georgia,1997,economic,unemployment,59.5,quantitative,complete
georgia,1997,economic,trade_openness,79.5,quantitative,complete
georgia,1997,economic,fiscal_health,95.0,quantitative,complete
georgia,1997,economic,_dimension_score,81.7,aggregated,derived
georgia,1997,international,sanctions,95,qualitative,complete
georgia,1997,international,diplomatic_integration,80,qualitative,complete
georgia,1997,international,foreign_military,40,qualitative,complete
georgia,1997,international,fdi,79.5,quantitative,complete
georgia,1997,international,refugee_flows,4.5,quantitative,complete
georgia,1997,international,_dimension_score,59.8,aggregated,derived
georgia,1997,transparency,budget_transparency,,,unavailable
georgia,1997,transparency,press_freedom,45,qualitative,partial
georgia,1997,transparency,statistical_transparency,,,unavailable
