country,year,dimension,indicator,score,source_type,data_status
ghana,1990,political,territorial_control,95,qualitative,complete
ghana,1990,political,political_violence,99,quantitative,complete
ghana,1990,political,institutional_functioning,40,qualitative,complete
ghana,1990,political,civil_liberties,0,quantitative,complete
ghana,1990,political,elite_cohesion,95,qualitative,complete
ghana,1990,political,_dimension_score,66,aggregated,derived
ghana,1990,economic,gdp_per_capita,17,quantitative,complete
ghana,1990,economic,inflation,39,quantitative,complete
ghana,1990,economic,unemployment,77,quantitative,complete
ghana,1990,economic,trade_openness,47,quantitative,complete
ghana,1990,economic,fiscal_health,30,quantitative,complete
ghana,1990,economic,_dimension_score,42,aggregated,derived
ghana,1990,international,sanctions,95,qualitative,complete
ghana,1990,international,diplomatic_integration,80,qualitative,complete
ghana,1990,international,foreign_military,95,qualitative,complete
ghana,1990,international,fdi,43,quantitative,complete
ghana,1990,international,refugee_flows,100,quantitative,complete
ghana,1990,international,_dimension_score,83,aggregated,derived
ghana,1990,transparency,budget_transparency,10,qualitative,complete
ghana,1990,transparency,press_freedom,5,qualitative,complete
ghana,1990,transparency,statistical_transparency,50,qualitative,complete
ghana,1990,transparency,legal_transparency,20,qualitative,complete
ghana,1990,transparency,_dimension_score,21,aggregated,derived
ghana,1990,_composite,_composite_score,53,aggregated,derived
ghana,1991,political,territorial_control,95,qualitative,complete
ghana,1991,political,political_violence,100,quantitative,complete
ghana,1991,political,institutional_functioning,40,qualitative,complete
ghana,1991,political,civil_liberties,0,quantitative,complete
ghana,1991,political,elite_cohesion,95,qualitative,complete
ghana,1991,political,_dimension_score,66,aggregated,derived
ghana,1991,economic,gdp_per_capita,17,quantitative,complete
ghana,1991,economic,inflation,64,quantitative,complete
ghana,1991,economic,unemployment,79,quantitative,complete
ghana,1991,economic,trade_openness,48,quantitative,complete
ghana,1991,economic,fiscal_health,34,quantitative,complete
ghana,1991,economic,_dimension_score,48,aggregated,derived
ghana,1991,international,sanctions,95,qualitative,complete
ghana,1991,international,diplomatic_integration,80,qualitative,complete
ghana,1991,international,foreign_military,95,qualitative,complete
ghana,1991,international,fdi,43,quantitative,complete
ghana,1991,international,refugee_flows,100,quantitative,complete
ghana,1991,international,_dimension_score,83,aggregated,derived
ghana,1991,transparency,budget_transparency,10,qualitative,complete
ghana,1991,transparency,press_freedom,5,qualitative,complete
ghana,1991,transparency,statistical_transparency,50,qualitative,complete
ghana,1991,transparency,legal_transparency,20,qualitative,complete
ghana,1991,transparency,_dimension_score,21,aggregated,derived
ghana,1991,_composite,_composite_score,54,aggregated,derived
ghana,1992,political,territorial_control,95,qualitative,complete
ghana,1992,political,political_violence,100,quantitative,complete
ghana,1992,political,institutional_functioning,55,qualitative,complete
ghana,1992,political,civil_liberties,0,quantitative,complete
ghana,1992,political,elite_cohesion,95,qualitative,complete
ghana,1992,political,_dimension_score,69,aggregated,derived
ghana,1992,economic,gdp_per_capita,17,quantitative,complete
ghana,1992,economic,inflation,78,quantitative,complete
ghana,1992,economic,unemployment,79,quantitative,complete
ghana,1992,economic,trade_openness,48,quantitative,complete
ghana,1992,economic,fiscal_health,37,quantitative,complete
ghana,1992,economic,_dimension_score,52,aggregated,derived
ghana,1992,international,sanctions,95,qualitative,complete
ghana,1992,international,diplomatic_integration,95,qualitative,complete
ghana,1992,international,foreign_military,95,qualitative,complete
ghana,1992,international,fdi,45,quantitative,complete
ghana,1992,international,refugee_flows,100,quantitative,complete
ghana,1992,international,_dimension_score,86,aggregated,derived
ghana,1992,transparency,budget_transparency,10,qualitative,complete
ghana,1992,transparency,press_freedom,25,qualitative,complete
