country,year,dimension,indicator,score,source_type,data_status
indonesia,1983,political,territorial_control,,,missing
indonesia,1983,political,political_violence,,,missing
indonesia,1983,political,institutional_functioning,,,missing
indonesia,1983,political,civil_liberties,,,missing
indonesia,1983,political,elite_cohesion,,,missing
indonesia,1983,political,military_expenditure,,,missing
indonesia,1983,political,political_stability,,,missing
indonesia,1983,political,government_effectiveness,,,missing
indonesia,1983,political,_dimension_score,,aggregated,derived
indonesia,1983,economic,gdp_per_capita,,,missing
indonesia,1983,economic,inflation,,,missing
indonesia,1983,economic,unemployment,,,missing
indonesia,1983,economic,trade_openness,,,missing
indonesia,1983,economic,fiscal_health,,,missing
indonesia,1983,economic,natural_resource_rents,,,missing
indonesia,1983,economic,youth_unemployment,,,missing
indonesia,1983,economic,gini,,,missing
indonesia,1983,economic,neet_rate,,,missing
indonesia,1983,economic,gini_adjusted_gdp_per_capita,,,missing
indonesia,1983,economic,poverty_rate,,,missing
indonesia,1983,economic,gini_adjusted_gdp_per_capita_ppp,,,missing
indonesia,1983,economic,export_diversification,,,missing
indonesia,1983,economic,non_resource_export_share,,,missing
indonesia,1983,economic,_dimension_score,,aggregated,derived
indonesia,1983,international,sanctions,,,missing
indonesia,1983,international,diplomatic_integration,,,missing
indonesia,1983,international,foreign_military,,,missing
indonesia,1983,international,fdi,,,missing
indonesia,1983,international,refugee_flows,,,missing
indonesia,1983,international,_dimension_score,,aggregated,derived
indonesia,1983,transparency,budget_transparency,,,missing
indonesia,1983,transparency,press_freedom,,,missing
indonesia,1983,transparency,statistical_transparency,,,missing
indonesia,1983,transparency,legal_transparency,,,missing
indonesia,1983,transparency,extractive_transparency,,,missing
indonesia,1983,transparency,control_of_corruption,,,missing
indonesia,1983,transparency,_dimension_score,,aggregated,derived
indonesia,1983,population_mobility,net_migration,,,missing
indonesia,1983,population_mobility,remittances,,,missing
indonesia,1983,population_mobility,_dimension_score,,aggregated,derived
indonesia,1983,social,life_expectancy,,,missing
indonesia,1983,social,infant_mortality,,,missing
indonesia,1983,social,internet_users,,,missing
indonesia,1983,social,health_expenditure,,,missing
indonesia,1983,social,education_expenditure,,,missing
indonesia,1983,social,hdi,,,missing
indonesia,1983,social,_dimension_score,,aggregated,derived
indonesia,1983,_composite,_composite_score,,aggregated,derived
indonesia,1984,political,territorial_control,,,missing
indonesia,1984,political,political_violence,,,missing
indonesia,1984,political,institutional_functioning,,,missing
indonesia,1984,political,civil_liberties,,,missing
indonesia,1984,political,elite_cohesion,,,missing
indonesia,1984,political,military_expenditure,,,missing
indonesia,1984,political,political_stability,,,missing
indonesia,1984,political,government_effectiveness,,,missing
indonesia,1984,political,_dimension_score,,aggregated,derived
indonesia,1984,economic,gdp_per_capita,,,missing
indonesia,1984,economic,inflation,,,missing
indonesia,1984,economic,unemployment,,,missing
indonesia,1984,economic,trade_openness,,,missing
indonesia,1984,economic,fiscal_health,,,missing
indonesia,1984,economic,natural_resource_rents,,,missing
indonesia,1984,economic,youth_unemployment,,,missing
indonesia,1984,economic,gini,,,missing
indonesia,1984,economic,neet_rate,,,missing
indonesia,1984,economic,gini_adjusted_gdp_per_capita,,,missing
indonesia,1984,economic,poverty_rate,,,missing
indonesia,1984,economic,gini_adjusted_gdp_per_capita_ppp,,,missing
indonesia,1984,economic,export_diversification,,,missing
indonesia,1984,economic,non_resource_export_share,,,missing
indonesia,1984,economic,_dimension_score,,aggregated,derived
indonesia,1984,international,sanctions,,,missing
indonesia,1984,international,diplomatic_integration,,,missing
indonesia,1984,international,foreign_military,,,missing
indonesia,1984,international,fdi,,,missing
indonesia,1984,international,refugee_flows,,,missing
indonesia,1984,international,_dimension_score,,aggregated,derived
indonesia,1984,transparency,budget_transparency,,,missing
indonesia,1984,transparency,press_freedom,,,missing
indonesia,1984,transparency,statistical_transparency,,,missing
indonesia,1984,transparency,legal_transparency,,,missing
indonesia,1984,transparency,extractive_transparency,,,missing
indonesia,1984,transparency,control_of_corruption,,,missing
indonesia,1984,transparency,_dimension_score,,aggregated,derived
indonesia,1984,population_mobility,net_migration,,,missing
indonesia,1984,population_mobility,remittances,,,missing
indonesia,1984,population_mobility,_dimension_score,,aggregated,derived
indonesia,1984,social,life_expectancy,,,missing
indonesia,1984,social,infant_mortality,,,missing
indonesia,1984,social,internet_users,,,missing
indonesia,1984,social,health_expenditure,,,missing
indonesia,1984,social,education_expenditure,,,missing
indonesia,1984,social,hdi,,,missing
indonesia,1984,social,_dimension_score,,aggregated,derived
indonesia,1984,_composite,_composite_score,,aggregated,derived
