country,year,dimension,indicator,score,source_type,data_status
iran,1960,political,territorial_control,95,qualitative,complete
iran,1960,political,political_violence,95,qualitative,complete
iran,1960,political,institutional_functioning,19.5,quantitative,partial
iran,1960,political,civil_liberties,43,qualitative,partial
iran,1960,political,elite_cohesion,60,qualitative,complete
iran,1960,political,military_expenditure,59.5,quantitative,complete
iran,1960,political,political_stability,,,missing
iran,1960,political,government_effectiveness,,,missing
iran,1960,political,_dimension_score,62.0,aggregated,derived
iran,1960,economic,gdp_per_capita,4.5,quantitative,partial
iran,1960,economic,inflation,79.5,quantitative,complete
iran,1960,economic,unemployment,,,missing
iran,1960,economic,trade_openness,39.5,quantitative,complete
iran,1960,economic,fiscal_health,,,missing
iran,1960,economic,natural_resource_rents,,,missing
iran,1960,economic,youth_unemployment,,,missing
iran,1960,economic,gini,,,missing
iran,1960,economic,neet_rate,,,missing
iran,1960,economic,gini_adjusted_gdp_per_capita,,,missing
iran,1960,economic,_dimension_score,41.2,aggregated,derived
iran,1960,international,sanctions,95,qualitative,complete
iran,1960,international,diplomatic_integration,95,qualitative,complete
iran,1960,international,foreign_military,80,qualitative,complete
iran,1960,international,fdi,,,missing
iran,1960,international,refugee_flows,80,qualitative,complete
iran,1960,international,_dimension_score,87.5,aggregated,derived
iran,1960,transparency,budget_transparency,30,qualitative,partial
iran,1960,transparency,press_freedom,25,qualitative,partial
iran,1960,transparency,statistical_transparency,,,missing
iran,1960,transparency,legal_transparency,40,qualitative,partial
iran,1960,transparency,extractive_transparency,5,qualitative,partial
iran,1960,transparency,control_of_corruption,,,missing
iran,1960,transparency,_dimension_score,25.0,aggregated,derived
iran,1960,population_mobility,net_migration,70,qualitative,complete
iran,1960,population_mobility,remittances,,,missing
iran,1960,population_mobility,_dimension_score,70.0,aggregated,derived
iran,1960,social,life_expectancy,14.5,quantitative,complete
iran,1960,social,infant_mortality,,,missing
iran,1960,social,internet_users,,,missing
iran,1960,social,health_expenditure,,,missing
iran,1960,social,education_expenditure,,,missing
iran,1960,social,_dimension_score,14.5,aggregated,derived
iran,1960,_composite,_composite_score,50.0,aggregated,derived
iran,1961,political,territorial_control,95,qualitative,complete
iran,1961,political,political_violence,95,qualitative,complete
iran,1961,political,institutional_functioning,19.5,quantitative,partial
iran,1961,political,civil_liberties,43,qualitative,partial
iran,1961,political,elite_cohesion,60,qualitative,complete
iran,1961,political,military_expenditure,59.5,quantitative,complete
iran,1961,political,political_stability,,,missing
iran,1961,political,government_effectiveness,,,missing
iran,1961,political,_dimension_score,62.0,aggregated,derived
iran,1961,economic,gdp_per_capita,4.5,quantitative,partial
iran,1961,economic,inflation,79.5,quantitative,complete
iran,1961,economic,unemployment,,,missing
iran,1961,economic,trade_openness,39.5,quantitative,complete
iran,1961,economic,fiscal_health,,,missing
iran,1961,economic,natural_resource_rents,,,missing
iran,1961,economic,youth_unemployment,,,missing
iran,1961,economic,gini,,,missing
iran,1961,economic,neet_rate,,,missing
iran,1961,economic,gini_adjusted_gdp_per_capita,,,missing
iran,1961,economic,_dimension_score,41.2,aggregated,derived
iran,1961,international,sanctions,95,qualitative,complete
iran,1961,international,diplomatic_integration,95,qualitative,complete
iran,1961,international,foreign_military,80,qualitative,complete
iran,1961,international,fdi,,,missing
iran,1961,international,refugee_flows,80,qualitative,complete
