country,year,dimension,indicator,score,source_type,data_status
liberia,1988,political,territorial_control,,,missing
liberia,1988,political,political_violence,,,missing
liberia,1988,political,institutional_functioning,,,missing
liberia,1988,political,civil_liberties,,,missing
liberia,1988,political,elite_cohesion,,,missing
liberia,1988,political,military_expenditure,,,missing
liberia,1988,political,political_stability,,,missing
liberia,1988,political,government_effectiveness,,,missing
liberia,1988,political,_dimension_score,,aggregated,derived
liberia,1988,economic,gdp_per_capita,,,missing
liberia,1988,economic,inflation,,,missing
liberia,1988,economic,unemployment,,,missing
liberia,1988,economic,trade_openness,,,missing
liberia,1988,economic,fiscal_health,,,missing
liberia,1988,economic,natural_resource_rents,,,missing
liberia,1988,economic,youth_unemployment,,,missing
liberia,1988,economic,gini,,,missing
liberia,1988,economic,neet_rate,,,missing
liberia,1988,economic,gini_adjusted_gdp_per_capita,,,missing
liberia,1988,economic,_dimension_score,,aggregated,derived
liberia,1988,international,sanctions,,,missing
liberia,1988,international,diplomatic_integration,,,missing
liberia,1988,international,foreign_military,,,missing
liberia,1988,international,fdi,,,missing
liberia,1988,international,refugee_flows,,,missing
liberia,1988,international,_dimension_score,,aggregated,derived
liberia,1988,transparency,budget_transparency,,,missing
liberia,1988,transparency,press_freedom,,,missing
liberia,1988,transparency,statistical_transparency,,,missing
liberia,1988,transparency,legal_transparency,,,missing
liberia,1988,transparency,extractive_transparency,,,missing
liberia,1988,transparency,control_of_corruption,,,missing
liberia,1988,transparency,_dimension_score,,aggregated,derived
liberia,1988,population_mobility,net_migration,,,missing
liberia,1988,population_mobility,remittances,,,missing
liberia,1988,population_mobility,_dimension_score,,aggregated,derived
liberia,1988,social,life_expectancy,,,missing
liberia,1988,social,infant_mortality,,,missing
liberia,1988,social,internet_users,,,missing
liberia,1988,social,health_expenditure,,,missing
liberia,1988,social,education_expenditure,,,missing
liberia,1988,social,_dimension_score,,aggregated,derived
liberia,1988,_composite,_composite_score,,aggregated,derived
liberia,1989,political,territorial_control,,,missing
liberia,1989,political,political_violence,,,missing
liberia,1989,political,institutional_functioning,,,missing
liberia,1989,political,civil_liberties,,,missing
liberia,1989,political,elite_cohesion,,,missing
liberia,1989,political,military_expenditure,,,missing
liberia,1989,political,political_stability,,,missing
liberia,1989,political,government_effectiveness,,,missing
liberia,1989,political,_dimension_score,,aggregated,derived
liberia,1989,economic,gdp_per_capita,,,missing
liberia,1989,economic,inflation,,,missing
liberia,1989,economic,unemployment,,,missing
liberia,1989,economic,trade_openness,,,missing
liberia,1989,economic,fiscal_health,,,missing
liberia,1989,economic,natural_resource_rents,,,missing
liberia,1989,economic,youth_unemployment,,,missing
liberia,1989,economic,gini,,,missing
liberia,1989,economic,neet_rate,,,missing
liberia,1989,economic,gini_adjusted_gdp_per_capita,,,missing
liberia,1989,economic,_dimension_score,,aggregated,derived
liberia,1989,international,sanctions,,,missing
liberia,1989,international,diplomatic_integration,,,missing
liberia,1989,international,foreign_military,,,missing
liberia,1989,international,fdi,,,missing
liberia,1989,international,refugee_flows,,,missing
liberia,1989,international,_dimension_score,,aggregated,derived
liberia,1989,transparency,budget_transparency,,,missing
liberia,1989,transparency,press_freedom,,,missing
liberia,1989,transparency,statistical_transparency,,,missing
liberia,1989,transparency,legal_transparency,,,missing
liberia,1989,transparency,extractive_transparency,,,missing
liberia,1989,transparency,control_of_corruption,,,missing
liberia,1989,transparency,_dimension_score,,aggregated,derived
liberia,1989,population_mobility,net_migration,,,missing
liberia,1989,population_mobility,remittances,,,missing
liberia,1989,population_mobility,_dimension_score,,aggregated,derived
liberia,1989,social,life_expectancy,,,missing
liberia,1989,social,infant_mortality,,,missing
liberia,1989,social,internet_users,,,missing
liberia,1989,social,health_expenditure,,,missing
liberia,1989,social,education_expenditure,,,missing
liberia,1989,social,_dimension_score,,aggregated,derived
liberia,1989,_composite,_composite_score,,aggregated,derived
liberia,1990,political,territorial_control,4.5,quantitative,complete
liberia,1990,political,political_violence,19.5,quantitative,complete
liberia,1990,political,institutional_functioning,20,qualitative,complete
liberia,1990,political,civil_liberties,4.5,quantitative,complete
liberia,1990,political,elite_cohesion,5,qualitative,complete
liberia,1990,political,military_expenditure,,,missing
liberia,1990,political,political_stability,,,missing
liberia,1990,political,government_effectiveness,,,missing
liberia,1990,political,_dimension_score,10.7,aggregated,derived
liberia,1990,economic,gdp_per_capita,59.5,quantitative,complete
liberia,1990,economic,inflation,4.5,quantitative,complete
liberia,1990,economic,unemployment,5,qualitative,complete
liberia,1990,economic,trade_openness,39.5,quantitative,complete
liberia,1990,economic,fiscal_health,5,qualitative,complete
liberia,1990,economic,natural_resource_rents,,,missing
liberia,1990,economic,youth_unemployment,,,missing
liberia,1990,economic,gini,,,missing
liberia,1990,economic,neet_rate,,,missing
liberia,1990,economic,gini_adjusted_gdp_per_capita,,,missing
liberia,1990,economic,_dimension_score,22.7,aggregated,derived
liberia,1990,international,sanctions,95,qualitative,complete
liberia,1990,international,diplomatic_integration,60,qualitative,complete
liberia,1990,international,foreign_military,5,qualitative,complete
liberia,1990,international,fdi,20,qualitative,complete
liberia,1990,international,refugee_flows,4.5,quantitative,complete
liberia,1990,international,_dimension_score,36.9,aggregated,derived
liberia,1990,transparency,budget_transparency,0,qualitative,complete
liberia,1990,transparency,press_freedom,45,qualitative,complete
liberia,1990,transparency,statistical_transparency,0,qualitative,complete
liberia,1990,transparency,legal_transparency,5,qualitative,complete
