country,year,dimension,indicator,score,source_type,data_status
libya,1996,political,territorial_control,95,qualitative,complete
libya,1996,political,political_violence,80,qualitative,complete
libya,1996,political,institutional_functioning,55,qualitative,complete
libya,1996,political,civil_liberties,14,quantitative,complete
libya,1996,political,elite_cohesion,95,qualitative,complete
libya,1996,political,_dimension_score,68,aggregated,derived
libya,1996,economic,gdp_per_capita,28,quantitative,complete
libya,1996,economic,inflation,93,quantitative,complete
libya,1996,economic,unemployment,45,quantitative,partial
libya,1996,economic,trade_openness,51,quantitative,partial
libya,1996,economic,fiscal_health,95,quantitative,partial
libya,1996,economic,_dimension_score,62,aggregated,derived
libya,1996,international,sanctions,60,qualitative,complete
libya,1996,international,diplomatic_integration,40,qualitative,complete
libya,1996,international,foreign_military,95,qualitative,complete
libya,1996,international,fdi,41,quantitative,complete
libya,1996,international,refugee_flows,97,quantitative,complete
libya,1996,international,_dimension_score,67,aggregated,derived
libya,1996,transparency,budget_transparency,10,qualitative,partial
libya,1996,transparency,press_freedom,88,quantitative,complete
libya,1996,transparency,statistical_transparency,30,qualitative,partial
libya,1996,transparency,legal_transparency,20,qualitative,partial
libya,1996,transparency,extractive_transparency,5,qualitative,partial
libya,1996,transparency,_dimension_score,31,aggregated,derived
libya,1996,social,hdi,72,quantitative,complete
libya,1996,social,_dimension_score,72,aggregated,derived
libya,1996,_composite,_composite_score,60,aggregated,derived
libya,1997,political,territorial_control,95,qualitative,complete
libya,1997,political,political_violence,80,qualitative,complete
libya,1997,political,institutional_functioning,55,qualitative,complete
libya,1997,political,civil_liberties,14,quantitative,complete
libya,1997,political,elite_cohesion,95,qualitative,complete
libya,1997,political,_dimension_score,68,aggregated,derived
libya,1997,economic,gdp_per_capita,30,quantitative,complete
libya,1997,economic,inflation,91,quantitative,complete
libya,1997,economic,unemployment,45,quantitative,partial
libya,1997,economic,trade_openness,53,quantitative,partial
libya,1997,economic,fiscal_health,95,quantitative,partial
libya,1997,economic,_dimension_score,63,aggregated,derived
libya,1997,international,sanctions,60,qualitative,complete
libya,1997,international,diplomatic_integration,40,qualitative,complete
libya,1997,international,foreign_military,95,qualitative,complete
libya,1997,international,fdi,41,quantitative,complete
libya,1997,international,refugee_flows,97,quantitative,complete
libya,1997,international,_dimension_score,67,aggregated,derived
libya,1997,transparency,budget_transparency,10,qualitative,partial
libya,1997,transparency,press_freedom,88,quantitative,complete
