country,year,dimension,indicator,score,source_type,data_status
malawi,2005,political,territorial_control,95,qualitative,complete
malawi,2005,political,political_violence,95.0,quantitative,complete
malawi,2005,political,institutional_functioning,39.5,quantitative,complete
malawi,2005,political,civil_liberties,4.5,quantitative,complete
malawi,2005,political,elite_cohesion,60,qualitative,complete
malawi,2005,political,military_expenditure,,,missing
malawi,2005,political,political_stability,,,missing
malawi,2005,political,government_effectiveness,,,missing
malawi,2005,political,_dimension_score,58.8,aggregated,derived
malawi,2005,economic,gdp_per_capita,19.5,quantitative,complete
malawi,2005,economic,inflation,59.5,quantitative,complete
malawi,2005,economic,unemployment,79.5,quantitative,complete
malawi,2005,economic,trade_openness,59.5,quantitative,complete
malawi,2005,economic,fiscal_health,95.0,quantitative,complete
malawi,2005,economic,natural_resource_rents,,,missing
malawi,2005,economic,youth_unemployment,,,missing
malawi,2005,economic,gini,,,missing
malawi,2005,economic,neet_rate,,,missing
malawi,2005,economic,gini_adjusted_gdp_per_capita,,,missing
malawi,2005,economic,poverty_rate,,,missing
malawi,2005,economic,gini_adjusted_gdp_per_capita_ppp,,,missing
malawi,2005,economic,export_diversification,,,missing
malawi,2005,economic,non_resource_export_share,,,missing
malawi,2005,economic,_dimension_score,62.6,aggregated,derived
malawi,2005,international,sanctions,95,qualitative,complete
malawi,2005,international,diplomatic_integration,95,qualitative,complete
malawi,2005,international,foreign_military,95,qualitative,complete
malawi,2005,international,fdi,79.5,quantitative,complete
malawi,2005,international,refugee_flows,79.5,quantitative,complete
malawi,2005,international,_dimension_score,88.8,aggregated,derived
malawi,2005,transparency,budget_transparency,,,missing
malawi,2005,transparency,press_freedom,60,qualitative,partial
malawi,2005,transparency,statistical_transparency,49.5,quantitative,complete
malawi,2005,transparency,legal_transparency,60,qualitative,partial
malawi,2005,transparency,extractive_transparency,,,unavailable
malawi,2005,transparency,control_of_corruption,,,missing
malawi,2005,transparency,_dimension_score,56.5,aggregated,derived
malawi,2005,population_mobility,net_migration,,,missing
malawi,2005,population_mobility,remittances,,,missing
malawi,2005,population_mobility,_dimension_score,,aggregated,derived
malawi,2005,social,life_expectancy,,,missing
malawi,2005,social,infant_mortality,,,missing
malawi,2005,social,internet_users,,,missing
malawi,2005,social,health_expenditure,,,missing
malawi,2005,social,education_expenditure,,,missing
malawi,2005,social,hdi,,,missing
malawi,2005,social,_dimension_score,,aggregated,derived
malawi,2005,_composite,_composite_score,66.7,aggregated,derived
malawi,2006,political,territorial_control,95,qualitative,complete
malawi,2006,political,political_violence,95.0,quantitative,complete
malawi,2006,political,institutional_functioning,39.5,quantitative,complete
malawi,2006,political,civil_liberties,4.5,quantitative,complete
malawi,2006,political,elite_cohesion,60,qualitative,complete
malawi,2006,political,military_expenditure,,,missing
malawi,2006,political,political_stability,,,missing
malawi,2006,political,government_effectiveness,,,missing
malawi,2006,political,_dimension_score,58.8,aggregated,derived
malawi,2006,economic,gdp_per_capita,39.5,quantitative,complete
malawi,2006,economic,inflation,59.5,quantitative,complete
malawi,2006,economic,unemployment,79.5,quantitative,complete
malawi,2006,economic,trade_openness,59.5,quantitative,complete
malawi,2006,economic,fiscal_health,95.0,quantitative,complete
malawi,2006,economic,natural_resource_rents,,,missing
malawi,2006,economic,youth_unemployment,,,missing
malawi,2006,economic,gini,,,missing
malawi,2006,economic,neet_rate,,,missing
malawi,2006,economic,gini_adjusted_gdp_per_capita,,,missing
malawi,2006,economic,poverty_rate,,,missing
malawi,2006,economic,gini_adjusted_gdp_per_capita_ppp,,,missing
malawi,2006,economic,export_diversification,,,missing
malawi,2006,economic,non_resource_export_share,,,missing
malawi,2006,economic,_dimension_score,66.6,aggregated,derived
malawi,2006,international,sanctions,95,qualitative,complete
malawi,2006,international,diplomatic_integration,95,qualitative,complete
malawi,2006,international,foreign_military,95,qualitative,complete
malawi,2006,international,fdi,79.5,quantitative,complete
malawi,2006,international,refugee_flows,79.5,quantitative,complete
malawi,2006,international,_dimension_score,88.8,aggregated,derived
malawi,2006,transparency,budget_transparency,49.5,quantitative,complete
malawi,2006,transparency,press_freedom,60,qualitative,partial
malawi,2006,transparency,statistical_transparency,49.5,quantitative,complete
malawi,2006,transparency,legal_transparency,60,qualitative,partial
malawi,2006,transparency,extractive_transparency,,,unavailable
malawi,2006,transparency,control_of_corruption,,,missing
malawi,2006,transparency,_dimension_score,54.8,aggregated,derived
malawi,2006,population_mobility,net_migration,,,missing
malawi,2006,population_mobility,remittances,,,missing
malawi,2006,population_mobility,_dimension_score,,aggregated,derived
malawi,2006,social,life_expectancy,,,missing
malawi,2006,social,infant_mortality,,,missing
malawi,2006,social,internet_users,,,missing
malawi,2006,social,health_expenditure,,,missing
malawi,2006,social,education_expenditure,,,missing
malawi,2006,social,hdi,,,missing
malawi,2006,social,_dimension_score,,aggregated,derived
malawi,2006,_composite,_composite_score,67.2,aggregated,derived
malawi,2007,political,territorial_control,95,qualitative,complete
malawi,2007,political,political_violence,95.0,quantitative,complete
malawi,2007,political,institutional_functioning,39.5,quantitative,complete
malawi,2007,political,civil_liberties,4.5,quantitative,complete
malawi,2007,political,elite_cohesion,60,qualitative,complete
malawi,2007,political,military_expenditure,,,missing
malawi,2007,political,political_stability,,,missing
malawi,2007,political,government_effectiveness,,,missing
malawi,2007,political,_dimension_score,58.8,aggregated,derived
malawi,2007,economic,gdp_per_capita,39.5,quantitative,complete
malawi,2007,economic,inflation,79.5,quantitative,complete
malawi,2007,economic,unemployment,79.5,quantitative,complete
malawi,2007,economic,trade_openness,59.5,quantitative,complete
malawi,2007,economic,fiscal_health,95.0,quantitative,complete
malawi,2007,economic,natural_resource_rents,,,missing
malawi,2007,economic,youth_unemployment,,,missing
malawi,2007,economic,gini,,,missing
malawi,2007,economic,neet_rate,,,missing
malawi,2007,economic,gini_adjusted_gdp_per_capita,,,missing
malawi,2007,economic,poverty_rate,,,missing
malawi,2007,economic,gini_adjusted_gdp_per_capita_ppp,,,missing
malawi,2007,economic,export_diversification,,,missing
malawi,2007,economic,non_resource_export_share,,,missing
malawi,2007,economic,_dimension_score,70.6,aggregated,derived
malawi,2007,international,sanctions,95,qualitative,complete
malawi,2007,international,diplomatic_integration,95,qualitative,complete
malawi,2007,international,foreign_military,95,qualitative,complete
malawi,2007,international,fdi,79.5,quantitative,complete
malawi,2007,international,refugee_flows,79.5,quantitative,complete
malawi,2007,international,_dimension_score,88.8,aggregated,derived
malawi,2007,transparency,budget_transparency,49.5,quantitative,partial
malawi,2007,transparency,press_freedom,60,qualitative,partial
malawi,2007,transparency,statistical_transparency,69.5,quantitative,complete
malawi,2007,transparency,legal_transparency,60,qualitative,partial
malawi,2007,transparency,extractive_transparency,,,unavailable
malawi,2007,transparency,control_of_corruption,,,missing
malawi,2007,transparency,_dimension_score,59.8,aggregated,derived
malawi,2007,population_mobility,net_migration,,,missing
malawi,2007,population_mobility,remittances,,,missing
malawi,2007,population_mobility,_dimension_score,,aggregated,derived
malawi,2007,social,life_expectancy,,,missing
malawi,2007,social,infant_mortality,,,missing
malawi,2007,social,internet_users,,,missing
malawi,2007,social,health_expenditure,,,missing
malawi,2007,social,education_expenditure,,,missing
malawi,2007,social,hdi,,,missing
malawi,2007,social,_dimension_score,,aggregated,derived
malawi,2007,_composite,_composite_score,69.5,aggregated,derived
malawi,2008,political,territorial_control,95,qualitative,complete
malawi,2008,political,political_violence,95.0,quantitative,complete
malawi,2008,political,institutional_functioning,39.5,quantitative,complete
malawi,2008,political,civil_liberties,4.5,quantitative,complete
malawi,2008,political,elite_cohesion,60,qualitative,complete
malawi,2008,political,military_expenditure,,,missing
malawi,2008,political,political_stability,,,missing
malawi,2008,political,government_effectiveness,,,missing
malawi,2008,political,_dimension_score,58.8,aggregated,derived
malawi,2008,economic,gdp_per_capita,39.5,quantitative,complete
malawi,2008,economic,inflation,79.5,quantitative,complete
malawi,2008,economic,unemployment,79.5,quantitative,complete
malawi,2008,economic,trade_openness,79.5,quantitative,complete
malawi,2008,economic,fiscal_health,95.0,quantitative,complete
malawi,2008,economic,natural_resource_rents,,,missing
malawi,2008,economic,youth_unemployment,,,missing
malawi,2008,economic,gini,,,missing
malawi,2008,economic,neet_rate,,,missing
malawi,2008,economic,gini_adjusted_gdp_per_capita,,,missing
malawi,2008,economic,poverty_rate,,,missing
malawi,2008,economic,gini_adjusted_gdp_per_capita_ppp,,,missing
malawi,2008,economic,export_diversification,,,missing
malawi,2008,economic,non_resource_export_share,,,missing
malawi,2008,economic,_dimension_score,74.6,aggregated,derived
malawi,2008,international,sanctions,95,qualitative,complete
malawi,2008,international,diplomatic_integration,95,qualitative,complete
malawi,2008,international,foreign_military,95,qualitative,complete
malawi,2008,international,fdi,79.5,quantitative,complete
malawi,2008,international,refugee_flows,79.5,quantitative,complete
malawi,2008,international,_dimension_score,88.8,aggregated,derived
malawi,2008,transparency,budget_transparency,49.5,quantitative,complete
malawi,2008,transparency,press_freedom,60,qualitative,partial
malawi,2008,transparency,statistical_transparency,69.5,quantitative,complete
malawi,2008,transparency,legal_transparency,60,qualitative,partial
malawi,2008,transparency,extractive_transparency,,,unavailable
malawi,2008,transparency,control_of_corruption,,,missing
malawi,2008,transparency,_dimension_score,59.8,aggregated,derived
malawi,2008,population_mobility,net_migration,,,missing
malawi,2008,population_mobility,remittances,,,missing
malawi,2008,population_mobility,_dimension_score,,aggregated,derived
malawi,2008,social,life_expectancy,,,missing
malawi,2008,social,infant_mortality,,,missing
malawi,2008,social,internet_users,,,missing
malawi,2008,social,health_expenditure,,,missing
malawi,2008,social,education_expenditure,,,missing
malawi,2008,social,hdi,,,missing
malawi,2008,social,_dimension_score,,aggregated,derived
malawi,2008,_composite,_composite_score,70.5,aggregated,derived
malawi,2009,political,territorial_control,95,qualitative,complete
malawi,2009,political,political_violence,95.0,quantitative,complete
malawi,2009,political,institutional_functioning,39.5,quantitative,complete
malawi,2009,political,civil_liberties,4.5,quantitative,complete
malawi,2009,political,elite_cohesion,80,qualitative,complete
malawi,2009,political,military_expenditure,,,missing
malawi,2009,political,political_stability,,,missing
malawi,2009,political,government_effectiveness,,,missing
malawi,2009,political,_dimension_score,62.8,aggregated,derived
malawi,2009,economic,gdp_per_capita,39.5,quantitative,complete
malawi,2009,economic,inflation,79.5,quantitative,complete
malawi,2009,economic,unemployment,79.5,quantitative,complete
malawi,2009,economic,trade_openness,59.5,quantitative,complete
malawi,2009,economic,fiscal_health,95.0,quantitative,complete
malawi,2009,economic,natural_resource_rents,,,missing
malawi,2009,economic,youth_unemployment,,,missing
malawi,2009,economic,gini,,,missing
malawi,2009,economic,neet_rate,,,missing
