country,year,dimension,indicator,score,source_type,data_status
mexico,1995,political,territorial_control,80,qualitative,complete
mexico,1995,political,political_violence,96,quantitative,complete
mexico,1995,political,institutional_functioning,20,quantitative,complete
mexico,1995,political,civil_liberties,57,quantitative,complete
mexico,1995,political,elite_cohesion,60,qualitative,complete
mexico,1995,political,_dimension_score,63,aggregated,derived
mexico,1995,economic,gdp_per_capita,30,quantitative,complete
mexico,1995,economic,inflation,27,quantitative,complete
mexico,1995,economic,unemployment,65,quantitative,complete
mexico,1995,economic,trade_openness,51,quantitative,complete
mexico,1995,economic,fiscal_health,100,quantitative,complete
mexico,1995,economic,_dimension_score,55,aggregated,derived
mexico,1995,international,sanctions,95,qualitative,complete
mexico,1995,international,diplomatic_integration,95,qualitative,complete
mexico,1995,international,foreign_military,95,qualitative,complete
mexico,1995,international,fdi,73,quantitative,complete
mexico,1995,international,refugee_flows,97,quantitative,complete
mexico,1995,international,_dimension_score,91,aggregated,derived
mexico,1995,transparency,budget_transparency,30,quantitative,partial
mexico,1995,transparency,press_freedom,38,quantitative,partial
mexico,1995,transparency,statistical_transparency,65,quantitative,partial
mexico,1995,transparency,legal_transparency,28,quantitative,partial
mexico,1995,transparency,_dimension_score,40,aggregated,derived
mexico,1995,_composite,_composite_score,62,aggregated,derived
mexico,1996,political,territorial_control,80,qualitative,complete
mexico,1996,political,political_violence,97,quantitative,complete
mexico,1996,political,institutional_functioning,20,quantitative,complete
mexico,1996,political,civil_liberties,57,quantitative,complete
mexico,1996,political,elite_cohesion,60,qualitative,complete
mexico,1996,political,_dimension_score,63,aggregated,derived
mexico,1996,economic,gdp_per_capita,32,quantitative,complete
mexico,1996,economic,inflation,50,quantitative,complete
mexico,1996,economic,unemployment,68,quantitative,complete
mexico,1996,economic,trade_openness,57,quantitative,complete
mexico,1996,economic,fiscal_health,100,quantitative,complete
mexico,1996,economic,_dimension_score,61,aggregated,derived
mexico,1996,international,sanctions,95,qualitative,complete
mexico,1996,international,diplomatic_integration,95,qualitative,complete
mexico,1996,international,foreign_military,95,qualitative,complete
