country,year,dimension,indicator,score,source_type,data_status
serbia,1995,political,territorial_control,95,quantitative,complete
serbia,1995,political,political_violence,100,quantitative,complete
serbia,1995,political,institutional_functioning,20,quantitative,complete
serbia,1995,political,civil_liberties,0,quantitative,complete
serbia,1995,political,elite_cohesion,95,qualitative,complete
serbia,1995,political,_dimension_score,62,aggregated,derived
serbia,1995,economic,gdp_per_capita,17,quantitative,partial
serbia,1995,economic,inflation,14,quantitative,partial
serbia,1995,economic,unemployment,40,qualitative,partial
serbia,1995,economic,trade_openness,40,qualitative,partial
serbia,1995,economic,fiscal_health,40,qualitative,partial
serbia,1995,economic,_dimension_score,30,aggregated,derived
serbia,1995,international,sanctions,20,qualitative,complete
serbia,1995,international,diplomatic_integration,20,qualitative,complete
serbia,1995,international,foreign_military,95,qualitative,complete
serbia,1995,international,fdi,20,qualitative,partial
serbia,1995,international,refugee_flows,0,quantitative,complete
serbia,1995,international,_dimension_score,31,aggregated,derived
serbia,1995,transparency,press_freedom,5,qualitative,complete
serbia,1995,transparency,_dimension_score,5,aggregated,derived
serbia,1995,_composite,_composite_score,32,aggregated,derived
serbia,1996,political,territorial_control,95,quantitative,complete
serbia,1996,political,political_violence,100,quantitative,complete
serbia,1996,political,institutional_functioning,20,quantitative,complete
serbia,1996,political,civil_liberties,0,quantitative,complete
serbia,1996,political,elite_cohesion,60,qualitative,complete
serbia,1996,political,_dimension_score,55,aggregated,derived
serbia,1996,economic,gdp_per_capita,18,quantitative,partial
serbia,1996,economic,inflation,9,quantitative,partial
serbia,1996,economic,unemployment,40,qualitative,partial
serbia,1996,economic,trade_openness,40,qualitative,partial
serbia,1996,economic,fiscal_health,40,qualitative,partial
serbia,1996,economic,_dimension_score,29,aggregated,derived
serbia,1996,international,sanctions,80,qualitative,complete
serbia,1996,international,diplomatic_integration,40,qualitative,complete
serbia,1996,international,foreign_military,95,qualitative,complete
serbia,1996,international,fdi,41,quantitative,partial
serbia,1996,international,refugee_flows,0,quantitative,complete
serbia,1996,international,_dimension_score,51,aggregated,derived
serbia,1996,transparency,press_freedom,5,qualitative,complete
serbia,1996,transparency,_dimension_score,5,aggregated,derived
serbia,1996,_composite,_composite_score,35,aggregated,derived
serbia,1997,political,territorial_control,95,quantitative,complete
serbia,1997,political,political_violence,100,quantitative,complete
serbia,1997,political,institutional_functioning,20,quantitative,complete
serbia,1997,political,civil_liberties,0,quantitative,complete
serbia,1997,political,elite_cohesion,95,qualitative,complete
serbia,1997,political,_dimension_score,62,aggregated,derived
serbia,1997,economic,gdp_per_capita,20,quantitative,partial
serbia,1997,economic,inflation,58,quantitative,partial
serbia,1997,economic,unemployment,40,qualitative,partial
serbia,1997,economic,trade_openness,40,qualitative,partial
serbia,1997,economic,fiscal_health,40,qualitative,partial
serbia,1997,economic,_dimension_score,40,aggregated,derived
serbia,1997,international,sanctions,60,qualitative,complete
serbia,1997,international,diplomatic_integration,60,qualitative,complete
serbia,1997,international,foreign_military,95,qualitative,complete
serbia,1997,international,fdi,42,quantitative,partial
serbia,1997,international,refugee_flows,0,quantitative,complete
serbia,1997,international,_dimension_score,51,aggregated,derived
serbia,1997,transparency,press_freedom,5,qualitative,complete
serbia,1997,transparency,_dimension_score,5,aggregated,derived
serbia,1997,_composite,_composite_score,40,aggregated,derived
serbia,1998,political,territorial_control,60,quantitative,complete
serbia,1998,political,political_violence,80,quantitative,complete
serbia,1998,political,institutional_functioning,20,quantitative,complete
serbia,1998,political,civil_liberties,0,quantitative,complete
serbia,1998,political,elite_cohesion,60,qualitative,complete
serbia,1998,political,_dimension_score,44,aggregated,derived
serbia,1998,economic,gdp_per_capita,18,quantitative,partial
serbia,1998,economic,inflation,48,quantitative,partial
serbia,1998,economic,unemployment,40,qualitative,partial
serbia,1998,economic,trade_openness,40,qualitative,partial
serbia,1998,economic,fiscal_health,40,qualitative,partial
serbia,1998,economic,_dimension_score,37,aggregated,derived
serbia,1998,international,sanctions,20,qualitative,complete
serbia,1998,international,diplomatic_integration,40,qualitative,complete
serbia,1998,international,foreign_military,80,qualitative,complete
serbia,1998,international,fdi,41,quantitative,partial
serbia,1998,international,refugee_flows,0,quantitative,complete
serbia,1998,international,_dimension_score,36,aggregated,derived
serbia,1998,transparency,press_freedom,5,qualitative,complete
serbia,1998,transparency,_dimension_score,5,aggregated,derived
serbia,1998,_composite,_composite_score,30,aggregated,derived
serbia,1999,political,territorial_control,60,quantitative,complete
serbia,1999,political,political_violence,13,quantitative,complete
serbia,1999,political,institutional_functioning,20,quantitative,complete
serbia,1999,political,civil_liberties,0,quantitative,complete
serbia,1999,political,elite_cohesion,60,qualitative,complete
serbia,1999,political,_dimension_score,31,aggregated,derived
serbia,1999,economic,gdp_per_capita,12,quantitative,partial
serbia,1999,economic,inflation,35,quantitative,partial
serbia,1999,economic,unemployment,20,qualitative,partial
serbia,1999,economic,trade_openness,20,qualitative,partial
serbia,1999,economic,fiscal_health,20,qualitative,partial
serbia,1999,economic,_dimension_score,21,aggregated,derived
serbia,1999,international,sanctions,20,qualitative,complete
serbia,1999,international,diplomatic_integration,20,qualitative,complete
serbia,1999,international,foreign_military,5,qualitative,complete
serbia,1999,international,fdi,40,quantitative,partial
serbia,1999,international,refugee_flows,0,quantitative,complete
serbia,1999,international,_dimension_score,17,aggregated,derived
serbia,1999,transparency,press_freedom,5,qualitative,complete
serbia,1999,transparency,_dimension_score,5,aggregated,derived
serbia,1999,_composite,_composite_score,18,aggregated,derived
serbia,2000,political,territorial_control,60,quantitative,complete
serbia,2000,political,political_violence,100,quantitative,complete
serbia,2000,political,institutional_functioning,40,quantitative,complete
serbia,2000,political,civil_liberties,0,quantitative,complete
serbia,2000,political,elite_cohesion,20,qualitative,complete
serbia,2000,political,_dimension_score,44,aggregated,derived
serbia,2000,economic,gdp_per_capita,12,quantitative,complete
serbia,2000,economic,inflation,17,quantitative,complete
serbia,2000,economic,unemployment,16,quantitative,complete
serbia,2000,economic,trade_openness,55,quantitative,complete
serbia,2000,economic,fiscal_health,100,quantitative,complete
serbia,2000,economic,_dimension_score,40,aggregated,derived
serbia,2000,international,sanctions,80,qualitative,complete
serbia,2000,international,diplomatic_integration,60,qualitative,complete
serbia,2000,international,foreign_military,40,qualitative,complete
serbia,2000,international,fdi,45,quantitative,complete
serbia,2000,international,refugee_flows,0,quantitative,complete
serbia,2000,international,_dimension_score,45,aggregated,derived
serbia,2000,transparency,press_freedom,60,qualitative,complete
serbia,2000,transparency,_dimension_score,60,aggregated,derived
serbia,2000,_composite,_composite_score,47,aggregated,derived
serbia,2001,political,territorial_control,60,quantitative,complete
serbia,2001,political,political_violence,100,quantitative,complete
serbia,2001,political,institutional_functioning,60,quantitative,complete
serbia,2001,political,civil_liberties,0,quantitative,complete
serbia,2001,political,elite_cohesion,60,qualitative,complete
serbia,2001,political,_dimension_score,56,aggregated,derived
serbia,2001,economic,gdp_per_capita,14,quantitative,complete
serbia,2001,economic,inflation,10,quantitative,complete
serbia,2001,economic,unemployment,15,quantitative,complete
serbia,2001,economic,trade_openness,70,quantitative,complete
serbia,2001,economic,fiscal_health,100,quantitative,complete
serbia,2001,economic,_dimension_score,42,aggregated,derived
serbia,2001,international,sanctions,80,qualitative,complete
serbia,2001,international,diplomatic_integration,60,qualitative,complete
serbia,2001,international,foreign_military,95,qualitative,complete
serbia,2001,international,fdi,57,quantitative,complete
serbia,2001,international,refugee_flows,0,quantitative,complete
serbia,2001,international,_dimension_score,58,aggregated,derived
serbia,2001,transparency,press_freedom,55,quantitative,partial
serbia,2001,transparency,_dimension_score,55,aggregated,derived
serbia,2001,_composite,_composite_score,53,aggregated,derived
serbia,2002,political,territorial_control,60,quantitative,complete
serbia,2002,political,political_violence,100,quantitative,complete
serbia,2002,political,institutional_functioning,60,quantitative,complete
serbia,2002,political,civil_liberties,0,quantitative,complete
serbia,2002,political,elite_cohesion,20,qualitative,complete
serbia,2002,political,_dimension_score,48,aggregated,derived
serbia,2002,economic,gdp_per_capita,18,quantitative,complete
serbia,2002,economic,inflation,61,quantitative,complete
serbia,2002,economic,unemployment,13,quantitative,complete
serbia,2002,economic,trade_openness,73,quantitative,complete
serbia,2002,economic,fiscal_health,100,quantitative,complete
serbia,2002,economic,_dimension_score,53,aggregated,derived
serbia,2002,international,sanctions,80,qualitative,complete
serbia,2002,international,diplomatic_integration,60,qualitative,complete
serbia,2002,international,foreign_military,95,qualitative,complete
serbia,2002,international,fdi,74,quantitative,complete
serbia,2002,international,refugee_flows,0,quantitative,complete
serbia,2002,international,_dimension_score,62,aggregated,derived
serbia,2002,transparency,press_freedom,60,quantitative,complete
serbia,2002,transparency,_dimension_score,60,aggregated,derived
serbia,2002,_composite,_composite_score,56,aggregated,derived
serbia,2003,political,territorial_control,60,quantitative,complete
serbia,2003,political,political_violence,100,quantitative,complete
serbia,2003,political,institutional_functioning,60,quantitative,complete
serbia,2003,political,civil_liberties,0,quantitative,complete
serbia,2003,political,elite_cohesion,40,qualitative,complete
serbia,2003,political,_dimension_score,52,aggregated,derived
serbia,2003,economic,gdp_per_capita,23,quantitative,complete
serbia,2003,economic,inflation,75,quantitative,complete
serbia,2003,economic,unemployment,11,quantitative,complete
serbia,2003,economic,trade_openness,78,quantitative,complete
serbia,2003,economic,fiscal_health,100,quantitative,complete
serbia,2003,economic,_dimension_score,57,aggregated,derived
serbia,2003,international,sanctions,95,qualitative,complete
serbia,2003,international,diplomatic_integration,60,qualitative,complete
serbia,2003,international,foreign_military,95,qualitative,complete
serbia,2003,international,fdi,100,quantitative,complete
serbia,2003,international,refugee_flows,0,quantitative,complete
serbia,2003,international,_dimension_score,70,aggregated,derived
serbia,2003,transparency,press_freedom,53,quantitative,complete
serbia,2003,transparency,_dimension_score,53,aggregated,derived
serbia,2003,_composite,_composite_score,58,aggregated,derived
serbia,2004,political,territorial_control,60,quantitative,complete
serbia,2004,political,political_violence,100,quantitative,complete
serbia,2004,political,institutional_functioning,60,quantitative,complete
serbia,2004,political,civil_liberties,0,quantitative,complete
serbia,2004,political,elite_cohesion,60,qualitative,complete
serbia,2004,political,_dimension_score,56,aggregated,derived
serbia,2004,economic,gdp_per_capita,27,quantitative,complete
serbia,2004,economic,inflation,78,quantitative,complete
serbia,2004,economic,unemployment,12,quantitative,complete
serbia,2004,economic,trade_openness,85,quantitative,complete
serbia,2004,economic,fiscal_health,100,quantitative,complete
serbia,2004,economic,_dimension_score,60,aggregated,derived
serbia,2004,international,sanctions,95,qualitative,complete
serbia,2004,international,diplomatic_integration,60,qualitative,complete
serbia,2004,international,foreign_military,40,qualitative,complete
serbia,2004,international,fdi,87,quantitative,complete
serbia,2004,international,refugee_flows,0,quantitative,complete
serbia,2004,international,_dimension_score,56,aggregated,derived
serbia,2004,transparency,press_freedom,56,quantitative,complete
serbia,2004,transparency,statistical_transparency,73,quantitative,complete
serbia,2004,transparency,_dimension_score,64,aggregated,derived
serbia,2004,_composite,_composite_score,59,aggregated,derived
serbia,2005,political,territorial_control,60,quantitative,complete
serbia,2005,political,political_violence,100,quantitative,complete
serbia,2005,political,institutional_functioning,60,quantitative,complete
serbia,2005,political,civil_liberties,0,quantitative,complete
serbia,2005,political,elite_cohesion,60,qualitative,complete
serbia,2005,political,_dimension_score,56,aggregated,derived
serbia,2005,economic,gdp_per_capita,32,quantitative,complete
serbia,2005,economic,inflation,66,quantitative,complete
serbia,2005,economic,unemployment,14,quantitative,complete
serbia,2005,economic,trade_openness,87,quantitative,complete
serbia,2005,economic,fiscal_health,100,quantitative,complete
serbia,2005,economic,_dimension_score,60,aggregated,derived
serbia,2005,international,sanctions,95,qualitative,complete
serbia,2005,international,diplomatic_integration,60,qualitative,complete
serbia,2005,international,foreign_military,95,qualitative,complete
serbia,2005,international,fdi,100,quantitative,complete
serbia,2005,international,refugee_flows,0,quantitative,complete
serbia,2005,international,_dimension_score,70,aggregated,derived
serbia,2005,transparency,press_freedom,58,quantitative,complete
serbia,2005,transparency,statistical_transparency,76,quantitative,complete
serbia,2005,transparency,_dimension_score,67,aggregated,derived
serbia,2005,_composite,_composite_score,63,aggregated,derived
serbia,2006,political,territorial_control,60,quantitative,complete
serbia,2006,political,political_violence,100,quantitative,complete
serbia,2006,political,institutional_functioning,60,quantitative,complete
serbia,2006,political,civil_liberties,0,quantitative,complete
serbia,2006,political,elite_cohesion,40,qualitative,complete
serbia,2006,political,_dimension_score,52,aggregated,derived
serbia,2006,economic,gdp_per_capita,37,quantitative,complete
serbia,2006,economic,inflation,73,quantitative,complete
serbia,2006,economic,unemployment,18,quantitative,complete
serbia,2006,economic,trade_openness,89,quantitative,complete
serbia,2006,economic,fiscal_health,100,quantitative,complete
serbia,2006,economic,_dimension_score,63,aggregated,derived
serbia,2006,international,sanctions,95,qualitative,complete
serbia,2006,international,diplomatic_integration,60,qualitative,complete
serbia,2006,international,foreign_military,95,qualitative,complete
serbia,2006,international,fdi,100,quantitative,complete
serbia,2006,international,refugee_flows,0,quantitative,complete
serbia,2006,international,_dimension_score,70,aggregated,derived
serbia,2006,transparency,budget_transparency,43,quantitative,complete
serbia,2006,transparency,press_freedom,55,quantitative,complete
serbia,2006,transparency,statistical_transparency,78,quantitative,complete
serbia,2006,transparency,_dimension_score,59,aggregated,derived
serbia,2006,_composite,_composite_score,61,aggregated,derived
serbia,2007,political,territorial_control,60,quantitative,complete
serbia,2007,political,political_violence,100,quantitative,complete
serbia,2007,political,institutional_functioning,60,quantitative,complete
serbia,2007,political,civil_liberties,0,quantitative,complete
serbia,2007,political,elite_cohesion,40,qualitative,complete
serbia,2007,political,_dimension_score,52,aggregated,derived
serbia,2007,economic,gdp_per_capita,45,quantitative,complete
serbia,2007,economic,inflation,84,quantitative,complete
serbia,2007,economic,unemployment,21,quantitative,complete
serbia,2007,economic,trade_openness,92,quantitative,complete
serbia,2007,economic,fiscal_health,100,quantitative,complete
serbia,2007,economic,_dimension_score,68,aggregated,derived
serbia,2007,international,sanctions,95,qualitative,complete
serbia,2007,international,diplomatic_integration,60,qualitative,complete
serbia,2007,international,foreign_military,95,qualitative,complete
serbia,2007,international,fdi,100,quantitative,complete
serbia,2007,international,refugee_flows,0,quantitative,complete
serbia,2007,international,_dimension_score,70,aggregated,derived
serbia,2007,transparency,budget_transparency,43,quantitative,partial
serbia,2007,transparency,press_freedom,52,quantitative,complete
serbia,2007,transparency,statistical_transparency,79,quantitative,complete
serbia,2007,transparency,_dimension_score,58,aggregated,derived
serbia,2007,_composite,_composite_score,62,aggregated,derived
serbia,2008,political,territorial_control,60,quantitative,complete
serbia,2008,political,political_violence,100,quantitative,complete
serbia,2008,political,institutional_functioning,60,quantitative,complete
serbia,2008,political,civil_liberties,0,quantitative,complete
serbia,2008,political,elite_cohesion,40,qualitative,complete
serbia,2008,political,_dimension_score,52,aggregated,derived
serbia,2008,economic,gdp_per_capita,55,quantitative,complete
serbia,2008,economic,inflation,73,quantitative,complete
serbia,2008,economic,unemployment,30,quantitative,complete
serbia,2008,economic,trade_openness,88,quantitative,complete
serbia,2008,economic,fiscal_health,100,quantitative,complete
serbia,2008,economic,_dimension_score,69,aggregated,derived
serbia,2008,international,sanctions,95,qualitative,complete
