country,year,dimension,indicator,score,source_type,data_status
sierra_leone,1987,political,territorial_control,,,missing
sierra_leone,1987,political,political_violence,,,missing
sierra_leone,1987,political,institutional_functioning,,,missing
sierra_leone,1987,political,civil_liberties,,,missing
sierra_leone,1987,political,elite_cohesion,,,missing
sierra_leone,1987,political,_dimension_score,,aggregated,derived
sierra_leone,1987,economic,gdp_per_capita,,,missing
sierra_leone,1987,economic,inflation,,,missing
sierra_leone,1987,economic,unemployment,,,missing
sierra_leone,1987,economic,trade_openness,,,missing
sierra_leone,1987,economic,fiscal_health,,,missing
sierra_leone,1987,economic,_dimension_score,,aggregated,derived
sierra_leone,1987,international,sanctions,,,missing
sierra_leone,1987,international,diplomatic_integration,,,missing
sierra_leone,1987,international,foreign_military,,,missing
sierra_leone,1987,international,fdi,,,missing
sierra_leone,1987,international,refugee_flows,,,missing
sierra_leone,1987,international,_dimension_score,,aggregated,derived
sierra_leone,1987,transparency,budget_transparency,,,missing
sierra_leone,1987,transparency,press_freedom,,,missing
sierra_leone,1987,transparency,statistical_transparency,,,missing
sierra_leone,1987,transparency,legal_transparency,,,missing
sierra_leone,1987,transparency,extractive_transparency,,,missing
sierra_leone,1987,transparency,_dimension_score,,aggregated,derived
sierra_leone,1987,_composite,_composite_score,,aggregated,derived
sierra_leone,1988,political,territorial_control,,,missing
sierra_leone,1988,political,political_violence,,,missing
sierra_leone,1988,political,institutional_functioning,,,missing
sierra_leone,1988,political,civil_liberties,,,missing
sierra_leone,1988,political,elite_cohesion,,,missing
sierra_leone,1988,political,_dimension_score,,aggregated,derived
sierra_leone,1988,economic,gdp_per_capita,,,missing
sierra_leone,1988,economic,inflation,,,missing
sierra_leone,1988,economic,unemployment,,,missing
sierra_leone,1988,economic,trade_openness,,,missing
sierra_leone,1988,economic,fiscal_health,,,missing
sierra_leone,1988,economic,_dimension_score,,aggregated,derived
sierra_leone,1988,international,sanctions,,,missing
sierra_leone,1988,international,diplomatic_integration,,,missing
sierra_leone,1988,international,foreign_military,,,missing
sierra_leone,1988,international,fdi,,,missing
sierra_leone,1988,international,refugee_flows,,,missing
sierra_leone,1988,international,_dimension_score,,aggregated,derived
sierra_leone,1988,transparency,budget_transparency,,,missing
sierra_leone,1988,transparency,press_freedom,,,missing
sierra_leone,1988,transparency,statistical_transparency,,,missing
sierra_leone,1988,transparency,legal_transparency,,,missing
sierra_leone,1988,transparency,extractive_transparency,,,missing
sierra_leone,1988,transparency,_dimension_score,,aggregated,derived
sierra_leone,1988,_composite,_composite_score,,aggregated,derived
sierra_leone,1989,political,territorial_control,,,missing
sierra_leone,1989,political,political_violence,,,missing
sierra_leone,1989,political,institutional_functioning,,,missing
sierra_leone,1989,political,civil_liberties,,,missing
sierra_leone,1989,political,elite_cohesion,,,missing
sierra_leone,1989,political,_dimension_score,,aggregated,derived
sierra_leone,1989,economic,gdp_per_capita,,,missing
sierra_leone,1989,economic,inflation,,,missing
