country,year,dimension,indicator,score,source_type,data_status
south_africa,1979,political,territorial_control,,,missing
south_africa,1979,political,political_violence,,,missing
south_africa,1979,political,institutional_functioning,,,missing
south_africa,1979,political,civil_liberties,,,missing
south_africa,1979,political,elite_cohesion,,,missing
south_africa,1979,political,military_expenditure,,,missing
south_africa,1979,political,political_stability,,,missing
south_africa,1979,political,government_effectiveness,,,missing
south_africa,1979,political,_dimension_score,,aggregated,derived
south_africa,1979,economic,gdp_per_capita,,,missing
south_africa,1979,economic,inflation,,,missing
south_africa,1979,economic,unemployment,,,missing
south_africa,1979,economic,trade_openness,,,missing
south_africa,1979,economic,fiscal_health,,,missing
south_africa,1979,economic,natural_resource_rents,,,missing
south_africa,1979,economic,youth_unemployment,,,missing
south_africa,1979,economic,gini,,,missing
south_africa,1979,economic,neet_rate,,,missing
south_africa,1979,economic,gini_adjusted_gdp_per_capita,,,missing
south_africa,1979,economic,poverty_rate,,,missing
south_africa,1979,economic,gini_adjusted_gdp_per_capita_ppp,,,missing
south_africa,1979,economic,export_diversification,,,missing
south_africa,1979,economic,non_resource_export_share,,,missing
south_africa,1979,economic,_dimension_score,,aggregated,derived
south_africa,1979,international,sanctions,,,missing
south_africa,1979,international,diplomatic_integration,,,missing
south_africa,1979,international,foreign_military,,,missing
south_africa,1979,international,fdi,,,missing
south_africa,1979,international,refugee_flows,,,missing
south_africa,1979,international,_dimension_score,,aggregated,derived
south_africa,1979,transparency,budget_transparency,,,missing
south_africa,1979,transparency,press_freedom,,,missing
south_africa,1979,transparency,statistical_transparency,,,missing
south_africa,1979,transparency,legal_transparency,,,missing
south_africa,1979,transparency,extractive_transparency,,,missing
south_africa,1979,transparency,control_of_corruption,,,missing
south_africa,1979,transparency,_dimension_score,,aggregated,derived
south_africa,1979,population_mobility,net_migration,,,missing
south_africa,1979,population_mobility,remittances,,,missing
south_africa,1979,population_mobility,_dimension_score,,aggregated,derived
south_africa,1979,social,life_expectancy,,,missing
south_africa,1979,social,infant_mortality,,,missing
south_africa,1979,social,internet_users,,,missing
south_africa,1979,social,health_expenditure,,,missing
south_africa,1979,social,education_expenditure,,,missing
south_africa,1979,social,hdi,,,missing
south_africa,1979,social,_dimension_score,,aggregated,derived
south_africa,1979,_composite,_composite_score,,aggregated,derived
south_africa,1980,political,territorial_control,,,missing
south_africa,1980,political,political_violence,,,missing
south_africa,1980,political,institutional_functioning,,,missing
south_africa,1980,political,civil_liberties,,,missing
south_africa,1980,political,elite_cohesion,,,missing
south_africa,1980,political,military_expenditure,,,missing
south_africa,1980,political,political_stability,,,missing
south_africa,1980,political,government_effectiveness,,,missing
south_africa,1980,political,_dimension_score,,aggregated,derived
south_africa,1980,economic,gdp_per_capita,,,missing
south_africa,1980,economic,inflation,,,missing
south_africa,1980,economic,unemployment,,,missing
south_africa,1980,economic,trade_openness,,,missing
south_africa,1980,economic,fiscal_health,,,missing
south_africa,1980,economic,natural_resource_rents,,,missing
south_africa,1980,economic,youth_unemployment,,,missing
south_africa,1980,economic,gini,,,missing
south_africa,1980,economic,neet_rate,,,missing
south_africa,1980,economic,gini_adjusted_gdp_per_capita,,,missing
south_africa,1980,economic,poverty_rate,,,missing
south_africa,1980,economic,gini_adjusted_gdp_per_capita_ppp,,,missing
south_africa,1980,economic,export_diversification,,,missing
south_africa,1980,economic,non_resource_export_share,,,missing
south_africa,1980,economic,_dimension_score,,aggregated,derived
