country,year,dimension,indicator,score,source_type,data_status
sudan,2004,political,territorial_control,25,qualitative,partial
sudan,2004,political,political_violence,20,qualitative,partial
sudan,2004,political,institutional_functioning,40,qualitative,partial
sudan,2004,political,civil_liberties,4.5,quantitative,partial
sudan,2004,political,elite_cohesion,95,qualitative,partial
sudan,2004,political,_dimension_score,36.9,aggregated,derived
sudan,2004,economic,gdp_per_capita,95.0,quantitative,partial
sudan,2004,economic,inflation,79.5,quantitative,partial
sudan,2004,economic,unemployment,39.5,quantitative,partial
sudan,2004,economic,trade_openness,59.5,quantitative,partial
sudan,2004,economic,fiscal_health,95.0,quantitative,partial
sudan,2004,economic,_dimension_score,73.7,aggregated,derived
sudan,2004,international,sanctions,40,qualitative,partial
sudan,2004,international,diplomatic_integration,40,qualitative,partial
sudan,2004,international,foreign_military,80,qualitative,partial
sudan,2004,international,fdi,79.5,quantitative,partial
sudan,2004,international,refugee_flows,20,qualitative,partial
sudan,2004,international,_dimension_score,51.9,aggregated,derived
sudan,2004,transparency,budget_transparency,10,qualitative,partial
sudan,2004,transparency,press_freedom,7.0,quantitative,complete
sudan,2004,transparency,statistical_transparency,49.5,quantitative,partial
sudan,2004,transparency,legal_transparency,5,qualitative,partial
sudan,2004,transparency,extractive_transparency,5,qualitative,partial
sudan,2004,transparency,_dimension_score,15.3,aggregated,derived
sudan,2004,_composite,_composite_score,44.5,aggregated,derived
sudan,2005,political,territorial_control,25,qualitative,partial
sudan,2005,political,political_violence,40,qualitative,partial
sudan,2005,political,institutional_functioning,40,qualitative,partial
sudan,2005,political,civil_liberties,4.5,quantitative,partial
sudan,2005,political,elite_cohesion,60,qualitative,partial
sudan,2005,political,_dimension_score,33.9,aggregated,derived
sudan,2005,economic,gdp_per_capita,95.0,quantitative,partial
sudan,2005,economic,inflation,79.5,quantitative,partial
sudan,2005,economic,unemployment,39.5,quantitative,partial
sudan,2005,economic,trade_openness,59.5,quantitative,partial
sudan,2005,economic,fiscal_health,95.0,quantitative,partial
sudan,2005,economic,_dimension_score,73.7,aggregated,derived
sudan,2005,international,sanctions,40,qualitative,partial
sudan,2005,international,diplomatic_integration,40,qualitative,partial
sudan,2005,international,foreign_military,80,qualitative,partial
sudan,2005,international,fdi,79.5,quantitative,partial
sudan,2005,international,refugee_flows,20,qualitative,partial
sudan,2005,international,_dimension_score,51.9,aggregated,derived
sudan,2005,transparency,budget_transparency,10,qualitative,partial
sudan,2005,transparency,press_freedom,7.0,quantitative,complete
sudan,2005,transparency,statistical_transparency,49.5,quantitative,partial
sudan,2005,transparency,legal_transparency,5,qualitative,partial
sudan,2005,transparency,extractive_transparency,5,qualitative,partial
sudan,2005,transparency,_dimension_score,15.3,aggregated,derived
sudan,2005,_composite,_composite_score,43.7,aggregated,derived
sudan,2006,political,territorial_control,25,qualitative,partial
sudan,2006,political,political_violence,40,qualitative,partial
sudan,2006,political,institutional_functioning,40,qualitative,partial
sudan,2006,political,civil_liberties,4.5,quantitative,partial
sudan,2006,political,elite_cohesion,80,qualitative,partial
sudan,2006,political,_dimension_score,37.9,aggregated,derived
sudan,2006,economic,gdp_per_capita,95.0,quantitative,partial
sudan,2006,economic,inflation,79.5,quantitative,partial
sudan,2006,economic,unemployment,39.5,quantitative,partial
sudan,2006,economic,trade_openness,59.5,quantitative,partial
sudan,2006,economic,fiscal_health,95.0,quantitative,partial
sudan,2006,economic,_dimension_score,73.7,aggregated,derived
sudan,2006,international,sanctions,40,qualitative,partial
sudan,2006,international,diplomatic_integration,40,qualitative,partial
sudan,2006,international,foreign_military,80,qualitative,partial
sudan,2006,international,fdi,95.0,quantitative,partial
