country,year,dimension,indicator,score,source_type,data_status
syria,2009,political,territorial_control,95,quantitative,partial
syria,2009,political,political_violence,99,quantitative,partial
syria,2009,political,institutional_functioning,55,qualitative,partial
syria,2009,political,civil_liberties,14,quantitative,complete
syria,2009,political,elite_cohesion,80,qualitative,partial
syria,2009,political,military_expenditure,55,quantitative,complete
syria,2009,political,political_stability,65,qualitative,complete
syria,2009,political,government_effectiveness,37,qualitative,complete
syria,2009,political,_dimension_score,62,aggregated,derived
syria,2009,economic,gdp_per_capita,100,quantitative,complete
syria,2009,economic,inflation,93,quantitative,complete
syria,2009,economic,unemployment,57,quantitative,complete
syria,2009,economic,trade_openness,67,quantitative,complete
syria,2009,economic,fiscal_health,87,quantitative,partial
syria,2009,economic,natural_resource_rents,80,quantitative,complete
syria,2009,economic,youth_unemployment,44,quantitative,complete
syria,2009,economic,gini,66,quantitative,complete
syria,2009,economic,gini_adjusted_gdp_per_capita,100,quantitative,complete
syria,2009,economic,poverty_rate,100,quantitative,complete
syria,2009,economic,gini_adjusted_gdp_per_capita_ppp,100,quantitative,complete
syria,2009,economic,export_diversification,55,qualitative,complete
syria,2009,economic,non_resource_export_share,62,quantitative,complete
syria,2009,economic,_dimension_score,78,aggregated,derived
syria,2009,international,sanctions,60,qualitative,complete
syria,2009,international,diplomatic_integration,80,qualitative,complete
syria,2009,international,foreign_military,95,qualitative,complete
syria,2009,international,fdi,66,quantitative,complete
syria,2009,international,refugee_flows,74,quantitative,complete
syria,2009,international,_dimension_score,75,aggregated,derived
syria,2009,transparency,budget_transparency,10,qualitative,partial
syria,2009,transparency,press_freedom,93,quantitative,complete
syria,2009,transparency,statistical_transparency,57,quantitative,partial
syria,2009,transparency,legal_transparency,40,qualitative,partial
syria,2009,transparency,extractive_transparency,20,qualitative,complete
syria,2009,transparency,control_of_corruption,7,qualitative,complete
syria,2009,transparency,_dimension_score,38,aggregated,derived
syria,2009,population_mobility,net_migration,35,qualitative,complete
syria,2009,population_mobility,remittances,62,qualitative,complete
syria,2009,population_mobility,_dimension_score,48,aggregated,derived
syria,2009,social,life_expectancy,67,quantitative,complete
syria,2009,social,infant_mortality,59,quantitative,complete
syria,2009,social,internet_users,17,quantitative,complete
syria,2009,social,health_expenditure,36,quantitative,complete
syria,2009,social,education_expenditure,62,quantitative,complete
syria,2009,social,hdi,67,quantitative,complete
syria,2009,social,_dimension_score,51,aggregated,derived
syria,2009,_composite,_composite_score,59,aggregated,derived
syria,2010,political,territorial_control,95,quantitative,partial
syria,2010,political,political_violence,99,quantitative,partial
syria,2010,political,institutional_functioning,55,qualitative,partial
syria,2010,political,civil_liberties,14,quantitative,complete
syria,2010,political,elite_cohesion,80,qualitative,partial
syria,2010,political,military_expenditure,54,quantitative,complete
syria,2010,political,political_stability,45,qualitative,complete
syria,2010,political,government_effectiveness,37,qualitative,complete
syria,2010,political,_dimension_score,60,aggregated,derived
syria,2010,economic,gdp_per_capita,97,quantitative,complete
syria,2010,economic,inflation,90,quantitative,complete
syria,2010,economic,unemployment,56,quantitative,complete
syria,2010,economic,trade_openness,68,quantitative,complete
syria,2010,economic,fiscal_health,86,quantitative,partial
syria,2010,economic,natural_resource_rents,79,quantitative,complete
syria,2010,economic,youth_unemployment,36,quantitative,complete
syria,2010,economic,export_diversification,32,qualitative,complete
syria,2010,economic,non_resource_export_share,50,quantitative,complete
syria,2010,economic,_dimension_score,66,aggregated,derived
syria,2010,international,sanctions,60,qualitative,complete
syria,2010,international,diplomatic_integration,95,qualitative,complete
syria,2010,international,foreign_military,95,qualitative,complete
syria,2010,international,fdi,65,quantitative,complete
syria,2010,international,refugee_flows,74,quantitative,complete
syria,2010,international,_dimension_score,78,aggregated,derived
syria,2010,transparency,budget_transparency,10,qualitative,partial
syria,2010,transparency,press_freedom,93,quantitative,complete
syria,2010,transparency,statistical_transparency,59,quantitative,partial
syria,2010,transparency,legal_transparency,40,qualitative,partial
syria,2010,transparency,extractive_transparency,20,qualitative,complete
syria,2010,transparency,control_of_corruption,7,qualitative,complete
syria,2010,transparency,_dimension_score,38,aggregated,derived
syria,2010,population_mobility,remittances,62,qualitative,complete
syria,2010,population_mobility,_dimension_score,62,aggregated,derived
syria,2010,social,life_expectancy,67,quantitative,complete
syria,2010,social,infant_mortality,59,quantitative,complete
syria,2010,social,internet_users,21,quantitative,complete
syria,2010,social,health_expenditure,34,quantitative,complete
syria,2010,social,hdi,67,quantitative,complete
syria,2010,social,_dimension_score,50,aggregated,derived
syria,2010,_composite,_composite_score,59,aggregated,derived
syria,2011,political,territorial_control,80,quantitative,partial
syria,2011,political,political_violence,47,quantitative,partial
syria,2011,political,institutional_functioning,40,qualitative,partial
syria,2011,political,civil_liberties,14,quantitative,complete
syria,2011,political,elite_cohesion,60,qualitative,partial
syria,2011,political,political_stability,7,qualitative,complete
syria,2011,political,government_effectiveness,37,qualitative,complete
syria,2011,political,_dimension_score,41,aggregated,derived
syria,2011,economic,gdp_per_capita,96,quantitative,complete
syria,2011,economic,inflation,89,quantitative,complete
syria,2011,economic,unemployment,35,quantitative,partial
syria,2011,economic,trade_openness,55,quantitative,complete
syria,2011,economic,fiscal_health,79,quantitative,partial
syria,2011,economic,natural_resource_rents,58,quantitative,partial
syria,2011,economic,youth_unemployment,35,quantitative,complete
syria,2011,economic,_dimension_score,64,aggregated,derived
syria,2011,international,sanctions,20,qualitative,complete
syria,2011,international,diplomatic_integration,40,qualitative,complete
syria,2011,international,foreign_military,80,qualitative,complete
syria,2011,international,fdi,51,quantitative,complete
syria,2011,international,refugee_flows,17,quantitative,complete
syria,2011,international,_dimension_score,42,aggregated,derived
syria,2011,transparency,budget_transparency,10,qualitative,partial
syria,2011,transparency,press_freedom,94,quantitative,complete
syria,2011,transparency,statistical_transparency,59,quantitative,partial
syria,2011,transparency,legal_transparency,20,qualitative,partial
syria,2011,transparency,extractive_transparency,20,qualitative,complete
syria,2011,transparency,control_of_corruption,7,qualitative,complete
syria,2011,transparency,_dimension_score,35,aggregated,derived
syria,2011,population_mobility,net_migration,17,qualitative,complete
syria,2011,population_mobility,_dimension_score,17,aggregated,derived
syria,2011,social,life_expectancy,65,quantitative,complete
syria,2011,social,infant_mortality,57,quantitative,complete
syria,2011,social,internet_users,22,quantitative,complete
syria,2011,social,health_expenditure,27,quantitative,complete
syria,2011,social,hdi,66,quantitative,complete
syria,2011,social,_dimension_score,47,aggregated,derived
syria,2011,_composite,_composite_score,41,aggregated,derived
syria,2012,political,territorial_control,40,quantitative,partial
syria,2012,political,political_violence,1,quantitative,partial
syria,2012,political,institutional_functioning,40,qualitative,partial
syria,2012,political,civil_liberties,14,quantitative,complete
syria,2012,political,elite_cohesion,40,qualitative,partial
syria,2012,political,political_stability,7,qualitative,complete
syria,2012,political,government_effectiveness,12,qualitative,complete
syria,2012,political,_dimension_score,22,aggregated,derived
syria,2012,economic,gdp_per_capita,76,quantitative,partial
syria,2012,economic,inflation,40,quantitative,partial
syria,2012,economic,unemployment,12,quantitative,partial
syria,2012,economic,trade_openness,32,quantitative,partial
syria,2012,economic,fiscal_health,67,quantitative,partial
syria,2012,economic,natural_resource_rents,64,quantitative,partial
syria,2012,economic,youth_unemployment,18,quantitative,complete
syria,2012,economic,_dimension_score,44,aggregated,derived
syria,2012,international,sanctions,40,qualitative,complete
syria,2012,international,diplomatic_integration,20,qualitative,complete
syria,2012,international,foreign_military,40,qualitative,complete
syria,2012,international,fdi,43,quantitative,partial
syria,2012,international,refugee_flows,0,quantitative,complete
syria,2012,international,_dimension_score,29,aggregated,derived
syria,2012,transparency,budget_transparency,0,qualitative,partial
syria,2012,transparency,press_freedom,94,quantitative,complete
syria,2012,transparency,statistical_transparency,47,quantitative,partial
syria,2012,transparency,legal_transparency,20,qualitative,partial
syria,2012,transparency,extractive_transparency,20,qualitative,complete
syria,2012,transparency,control_of_corruption,7,qualitative,complete
syria,2012,transparency,_dimension_score,31,aggregated,derived
syria,2012,social,life_expectancy,52,quantitative,complete
syria,2012,social,infant_mortality,49,quantitative,complete
syria,2012,social,internet_users,24,quantitative,complete
syria,2012,social,health_expenditure,32,quantitative,complete
syria,2012,social,hdi,63,quantitative,complete
syria,2012,social,_dimension_score,44,aggregated,derived
syria,2012,_composite,_composite_score,34,aggregated,derived
syria,2013,political,territorial_control,40,quantitative,partial
syria,2013,political,political_violence,0,quantitative,partial
syria,2013,political,institutional_functioning,20,qualitative,partial
syria,2013,political,civil_liberties,14,quantitative,complete
syria,2013,political,elite_cohesion,40,qualitative,partial
syria,2013,political,political_stability,7,qualitative,complete
syria,2013,political,government_effectiveness,12,qualitative,complete
syria,2013,political,_dimension_score,19,aggregated,derived
syria,2013,economic,gdp_per_capita,62,quantitative,partial
syria,2013,economic,inflation,11,quantitative,partial
syria,2013,economic,unemployment,4,quantitative,partial
