country,year,dimension,indicator,score,source_type,data_status
tunisia,1996,political,territorial_control,95,quantitative,complete
tunisia,1996,political,political_violence,95,qualitative,complete
tunisia,1996,political,institutional_functioning,20,quantitative,complete
tunisia,1996,political,civil_liberties,43,quantitative,complete
tunisia,1996,political,elite_cohesion,95,qualitative,complete
tunisia,1996,political,_dimension_score,70,aggregated,derived
tunisia,1996,economic,gdp_per_capita,49,quantitative,complete
tunisia,1996,economic,inflation,91,quantitative,complete
tunisia,1996,economic,unemployment,33,quantitative,complete
tunisia,1996,economic,trade_openness,93,quantitative,complete
tunisia,1996,economic,fiscal_health,100,quantitative,complete
tunisia,1996,economic,gini_adjusted_gdp_per_capita,52,quantitative,complete
tunisia,1996,economic,gini_adjusted_gdp_per_capita_ppp,52,quantitative,complete
tunisia,1996,economic,export_diversification,78,quantitative,complete
tunisia,1996,economic,non_resource_export_share,80,quantitative,complete
tunisia,1996,economic,_dimension_score,70,aggregated,derived
tunisia,1996,international,sanctions,95,qualitative,complete
tunisia,1996,international,diplomatic_integration,95,qualitative,complete
tunisia,1996,international,foreign_military,80,qualitative,complete
tunisia,1996,international,fdi,55,quantitative,complete
tunisia,1996,international,refugee_flows,80,qualitative,complete
tunisia,1996,international,_dimension_score,81,aggregated,derived
tunisia,1996,transparency,statistical_transparency,65,quantitative,partial
tunisia,1996,transparency,_dimension_score,65,aggregated,derived
tunisia,1996,social,hdi,62,quantitative,complete
tunisia,1996,social,_dimension_score,62,aggregated,derived
tunisia,1996,_composite,_composite_score,70,aggregated,derived
tunisia,1997,political,territorial_control,95,quantitative,complete
tunisia,1997,political,political_violence,95,qualitative,complete
tunisia,1997,political,institutional_functioning,20,quantitative,complete
tunisia,1997,political,civil_liberties,43,quantitative,complete
tunisia,1997,political,elite_cohesion,95,qualitative,complete
tunisia,1997,political,_dimension_score,70,aggregated,derived
tunisia,1997,economic,gdp_per_capita,51,quantitative,complete
tunisia,1997,economic,inflation,91,quantitative,complete
tunisia,1997,economic,unemployment,34,quantitative,complete
tunisia,1997,economic,trade_openness,94,quantitative,complete
tunisia,1997,economic,fiscal_health,100,quantitative,complete
tunisia,1997,economic,gini_adjusted_gdp_per_capita,54,quantitative,complete
tunisia,1997,economic,gini_adjusted_gdp_per_capita_ppp,54,quantitative,complete
tunisia,1997,economic,export_diversification,79,quantitative,complete
tunisia,1997,economic,non_resource_export_share,78,quantitative,complete
tunisia,1997,economic,_dimension_score,71,aggregated,derived
tunisia,1997,international,sanctions,95,qualitative,complete
tunisia,1997,international,diplomatic_integration,95,qualitative,complete
tunisia,1997,international,foreign_military,80,qualitative,complete
tunisia,1997,international,fdi,57,quantitative,complete
tunisia,1997,international,refugee_flows,80,qualitative,complete
tunisia,1997,international,_dimension_score,81,aggregated,derived
tunisia,1997,transparency,statistical_transparency,65,quantitative,partial
tunisia,1997,transparency,_dimension_score,65,aggregated,derived
tunisia,1997,social,hdi,62,quantitative,complete
tunisia,1997,social,_dimension_score,62,aggregated,derived
tunisia,1997,_composite,_composite_score,70,aggregated,derived
tunisia,1998,political,territorial_control,95,quantitative,complete
tunisia,1998,political,political_violence,95,qualitative,complete
tunisia,1998,political,institutional_functioning,20,quantitative,complete
tunisia,1998,political,civil_liberties,43,quantitative,complete
tunisia,1998,political,elite_cohesion,95,qualitative,complete
tunisia,1998,political,_dimension_score,70,aggregated,derived
tunisia,1998,economic,gdp_per_capita,51,quantitative,complete
tunisia,1998,economic,inflation,93,quantitative,complete
tunisia,1998,economic,unemployment,34,quantitative,complete
tunisia,1998,economic,trade_openness,93,quantitative,complete
tunisia,1998,economic,fiscal_health,100,quantitative,complete
tunisia,1998,economic,gini_adjusted_gdp_per_capita,56,quantitative,complete
tunisia,1998,economic,gini_adjusted_gdp_per_capita_ppp,56,quantitative,complete
tunisia,1998,economic,export_diversification,78,quantitative,complete
tunisia,1998,economic,non_resource_export_share,82,quantitative,complete
tunisia,1998,economic,_dimension_score,71,aggregated,derived
tunisia,1998,international,sanctions,95,qualitative,complete
tunisia,1998,international,diplomatic_integration,95,qualitative,complete
tunisia,1998,international,foreign_military,80,qualitative,complete
tunisia,1998,international,fdi,60,quantitative,complete
tunisia,1998,international,refugee_flows,80,qualitative,complete
tunisia,1998,international,_dimension_score,82,aggregated,derived
tunisia,1998,transparency,statistical_transparency,66,quantitative,partial
tunisia,1998,transparency,_dimension_score,66,aggregated,derived
tunisia,1998,social,hdi,64,quantitative,complete
tunisia,1998,social,_dimension_score,64,aggregated,derived
tunisia,1998,_composite,_composite_score,71,aggregated,derived
