country,year,dimension,indicator,score,source_type,data_status
ukraine,1999,political,territorial_control,95.0,quantitative,complete
ukraine,1999,political,political_violence,95.0,quantitative,complete
ukraine,1999,political,institutional_functioning,39.5,quantitative,complete
ukraine,1999,political,civil_liberties,4.5,quantitative,complete
ukraine,1999,political,elite_cohesion,5,qualitative,complete
ukraine,1999,political,_dimension_score,47.8,aggregated,derived
ukraine,1999,economic,gdp_per_capita,4.5,quantitative,complete
ukraine,1999,economic,inflation,59.5,quantitative,complete
ukraine,1999,economic,unemployment,59.5,quantitative,complete
ukraine,1999,economic,trade_openness,79.5,quantitative,complete
ukraine,1999,economic,fiscal_health,95.0,quantitative,complete
ukraine,1999,economic,_dimension_score,59.6,aggregated,derived
ukraine,1999,international,sanctions,95,qualitative,complete
ukraine,1999,international,diplomatic_integration,80,qualitative,complete
ukraine,1999,international,foreign_military,5,qualitative,complete
ukraine,1999,international,fdi,39.5,quantitative,complete
ukraine,1999,international,refugee_flows,80,qualitative,partial
ukraine,1999,international,_dimension_score,59.9,aggregated,derived
ukraine,1999,transparency,budget_transparency,,,unavailable
ukraine,1999,transparency,press_freedom,77.0,quantitative,complete
ukraine,1999,transparency,statistical_transparency,,,unavailable
ukraine,1999,transparency,legal_transparency,,,unavailable
ukraine,1999,transparency,extractive_transparency,,,unavailable
ukraine,1999,transparency,_dimension_score,77.0,aggregated,derived
ukraine,1999,_composite,_composite_score,61.1,aggregated,derived
ukraine,2000,political,territorial_control,95.0,quantitative,complete
ukraine,2000,political,political_violence,95.0,quantitative,complete
ukraine,2000,political,institutional_functioning,39.5,quantitative,complete
ukraine,2000,political,civil_liberties,4.5,quantitative,complete
ukraine,2000,political,elite_cohesion,5,qualitative,complete
ukraine,2000,political,_dimension_score,47.8,aggregated,derived
ukraine,2000,economic,gdp_per_capita,4.5,quantitative,complete
ukraine,2000,economic,inflation,39.5,quantitative,complete
ukraine,2000,economic,unemployment,59.5,quantitative,complete
ukraine,2000,economic,trade_openness,95.0,quantitative,complete
ukraine,2000,economic,fiscal_health,95.0,quantitative,complete
ukraine,2000,economic,_dimension_score,58.7,aggregated,derived
ukraine,2000,international,sanctions,95,qualitative,complete
ukraine,2000,international,diplomatic_integration,80,qualitative,complete
ukraine,2000,international,foreign_military,95,qualitative,complete
ukraine,2000,international,fdi,59.5,quantitative,complete
ukraine,2000,international,refugee_flows,80,qualitative,partial
ukraine,2000,international,_dimension_score,81.9,aggregated,derived
ukraine,2000,transparency,budget_transparency,,,unavailable
ukraine,2000,transparency,press_freedom,77.0,quantitative,complete
ukraine,2000,transparency,statistical_transparency,,,unavailable
ukraine,2000,transparency,legal_transparency,,,unavailable
ukraine,2000,transparency,extractive_transparency,,,unavailable
ukraine,2000,transparency,_dimension_score,77.0,aggregated,derived
ukraine,2000,_composite,_composite_score,66.3,aggregated,derived
ukraine,2001,political,territorial_control,95.0,quantitative,complete
ukraine,2001,political,political_violence,95.0,quantitative,complete
ukraine,2001,political,institutional_functioning,39.5,quantitative,complete
ukraine,2001,political,civil_liberties,4.5,quantitative,complete
ukraine,2001,political,elite_cohesion,5,qualitative,complete
ukraine,2001,political,_dimension_score,47.8,aggregated,derived
ukraine,2001,economic,gdp_per_capita,4.5,quantitative,complete
ukraine,2001,economic,inflation,59.5,quantitative,complete
ukraine,2001,economic,unemployment,59.5,quantitative,complete
ukraine,2001,economic,trade_openness,95.0,quantitative,complete
