country,year,dimension,indicator,score,source_type,data_status
venezuela,1995,political,territorial_control,95,qualitative,complete
venezuela,1995,political,political_violence,98,quantitative,complete
venezuela,1995,political,institutional_functioning,80,qualitative,complete
venezuela,1995,political,civil_liberties,71,quantitative,complete
venezuela,1995,political,elite_cohesion,60,qualitative,complete
venezuela,1995,political,_dimension_score,81,aggregated,derived
venezuela,1995,economic,gdp_per_capita,25,quantitative,complete
venezuela,1995,economic,inflation,22,quantitative,complete
venezuela,1995,economic,unemployment,49,quantitative,complete
venezuela,1995,economic,trade_openness,52,quantitative,complete
venezuela,1995,economic,fiscal_health,76,quantitative,complete
venezuela,1995,economic,_dimension_score,45,aggregated,derived
venezuela,1995,international,sanctions,95,qualitative,complete
venezuela,1995,international,diplomatic_integration,95,qualitative,complete
venezuela,1995,international,foreign_military,95,qualitative,complete
venezuela,1995,international,fdi,82,quantitative,complete
venezuela,1995,international,refugee_flows,86,quantitative,complete
venezuela,1995,international,_dimension_score,91,aggregated,derived
venezuela,1995,transparency,budget_transparency,22,quantitative,partial
venezuela,1995,transparency,press_freedom,68,quantitative,partial
venezuela,1995,transparency,statistical_transparency,55,quantitative,partial
venezuela,1995,transparency,legal_transparency,36,quantitative,partial
venezuela,1995,transparency,extractive_transparency,20,qualitative,complete
venezuela,1995,transparency,_dimension_score,40,aggregated,derived
venezuela,1995,_composite,_composite_score,64,aggregated,derived
venezuela,1996,political,territorial_control,95,qualitative,complete
venezuela,1996,political,political_violence,98,quantitative,complete
venezuela,1996,political,institutional_functioning,80,qualitative,complete
venezuela,1996,political,civil_liberties,71,quantitative,complete
venezuela,1996,political,elite_cohesion,80,qualitative,complete
venezuela,1996,political,_dimension_score,85,aggregated,derived
venezuela,1996,economic,gdp_per_capita,24,quantitative,complete
venezuela,1996,economic,inflation,8,quantitative,complete
venezuela,1996,economic,unemployment,44,quantitative,complete
venezuela,1996,economic,trade_openness,55,quantitative,complete
venezuela,1996,economic,fiscal_health,75,quantitative,complete
venezuela,1996,economic,_dimension_score,41,aggregated,derived
venezuela,1996,international,sanctions,95,qualitative,complete
venezuela,1996,international,diplomatic_integration,95,qualitative,complete
venezuela,1996,international,foreign_military,95,qualitative,complete
venezuela,1996,international,fdi,88,quantitative,complete
venezuela,1996,international,refugee_flows,86,quantitative,complete
venezuela,1996,international,_dimension_score,92,aggregated,derived
venezuela,1996,transparency,budget_transparency,22,quantitative,partial
venezuela,1996,transparency,press_freedom,67,quantitative,partial
venezuela,1996,transparency,statistical_transparency,55,quantitative,partial
venezuela,1996,transparency,legal_transparency,36,quantitative,partial
venezuela,1996,transparency,extractive_transparency,20,qualitative,complete
venezuela,1996,transparency,_dimension_score,40,aggregated,derived
venezuela,1996,_composite,_composite_score,64,aggregated,derived
venezuela,1997,political,territorial_control,95,qualitative,complete
venezuela,1997,political,political_violence,98,quantitative,complete
venezuela,1997,political,institutional_functioning,80,qualitative,complete
venezuela,1997,political,civil_liberties,71,quantitative,complete
venezuela,1997,political,elite_cohesion,60,qualitative,complete
venezuela,1997,political,_dimension_score,81,aggregated,derived
venezuela,1997,economic,gdp_per_capita,27,quantitative,complete
venezuela,1997,economic,inflation,29,quantitative,complete
venezuela,1997,economic,unemployment,48,quantitative,complete
venezuela,1997,economic,trade_openness,54,quantitative,complete
venezuela,1997,economic,fiscal_health,81,quantitative,complete
venezuela,1997,economic,_dimension_score,48,aggregated,derived
venezuela,1997,international,sanctions,95,qualitative,complete
venezuela,1997,international,diplomatic_integration,95,qualitative,complete
venezuela,1997,international,foreign_military,95,qualitative,complete
